年份,普通本科在校学生数,师范普通本科在校学生数,哲学普通本科在校学生数,经济学普通本科在校学生数,法学普通本科在校学生数,教育学普通本科在校学生数,文学普通本科在校学生数,外语普通本科在校学生数,艺术普通本科在校学生数,历史学普通本科在校学生数,理学普通本科在校学生数,工学普通本科在校学生数,农学普通本科在校学生数,医学普通本科在校学生数,管理学普通本科在校学生数
2021,,,,,,,,,,,,,,,
2020,1825.746,,,,,,,,,,,,,,
2019,1750.8204,,,,,,,,,,,,,,
2018,1697.3343,,,,,,,,,,,,,,
2017,1648.632,,,,,,,,,,,,,,
2016,1612.9535,,,,,,,,,,,,,,
2015,1576.6848,147.6598,0.9357,92.3866,55.1095,56.9142,147.401,79.0795,148.9311,7.3419,107.7234,524.7875,27.5293,115.2058,292.4188
2014,1541.0653,149.1135,0.9249,90.8196,54.3271,54.4314,147.6075,80.1342,142.4925,7.2078,107.3015,511.9977,26.9252,111.1699,285.8602
2013,1494.4353,143.6507,0.9205,88.289,53.5423,51.7344,147.9974,81.3777,134.4716,7.0836,107.6027,495.3334,25.9837,106.4363,275.0404
2012,1427.0888,144.3936,0.884,83.8204,51.6789,51.759,266.89,81.0846,121.5535,7.0769,131.4644,452.2917,24.4261,100.641,256.1564
2011,1349.6577,135.0393,0.9187,80.5844,50.1979,47.4661,253.4078,79.9245,111.5002,6.7854,128.7275,427.5808,23.5342,94.2912,236.1637
2010,1265.6132,129.7515,0.9001,75.9948,48.675,43.6683,238.8028,78.3068,101.4672,6.4907,125.128,399.5779,22.603,88.3847,215.3879
2009,1179.8511,122.787,0.893,71.0993,46.5406,40.7479,222.0049,74.9122,91.4529,6.0634,120.1046,371.8959,21.3986,83.005,196.0979
2008,1104.2207,118.4012,0.8316,66.8269,45.7098,38.0564,205.8291,70.63,82.5133,5.7444,115.2206,347.574,20.4809,77.8706,180.0764
2007,1024.303,,,,,,,,,,,,,,
2006,943.3395,,0.6846,57.4452,44.109,33.942,167.7537,,,5.2514,104.1387,295.8802,18.8067,68.8777,146.4503
2005,848.8188,,0.6323,51.8989,41.4309,30.7402,145.5454,,,4.939,95.9757,269.9776,17.4783,62.7249,127.4756
2004,737.8436,,0.5886,44.3792,36.6541,26.5726,119.1886,,,4.5299,84.5784,242.4903,16.4514,55.8369,106.5736
2003,629.2089,,0.5558,36.0683,31.3131,22.3837,95.0274,,,4.2543,72.3579,215.6584,15.1756,49.6136,86.8008
2002,527.0845,,0.5624,28.4348,26.4039,18.3528,74.609,,,4.0333,60.048,188.6996,14.0868,42.4401,69.4138
2001,424.3744,,0.4975,22.2,21.3278,14.1998,55.4018,,,3.6504,48.029,157.3665,12.6579,36.1084,52.9353
2000,340.0181,,0.4917,48.4579,14.7963,13.0533,41.3974,,,4.0288,36.3637,138.2357,12.6949,30.4984,
