年份,各级各类非学历教育结业生数,高等教育结业生数,研究生课程进修班结业生数,自考助学班结业生数,普通预科生结业生数,高等教育进修及培训结业生数,高等教育资格证书培训结业生数,高等教育岗位证书培训结业生数,中等职业教育结业生数,中等职业教育资格证书培训结业生数,中等职业教育岗位证书培训结业生数,中等职业学校结业生数,中等职业学校资格证书培训结业生数,中等职业学校岗位证书培训结业生数,职业技术培训机构结业生数,职业技术培训机构资格证书培训结业生数,职业技术培训机构岗位证书培训结业生数
2021,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,5724.9115,980.8395,0.9244,11.6214,,968.2937,223.4987,248.5345,4744.072,763.784,1126.6732,463.9952,173.0703,154.7596,4280.0768,590.7137,971.9136
2016,,,,,,,,,,,,,,,,,
2015,5816.613,907.5383,3.126,13.0855,,891.3268,242.6509,276.8653,4909.0747,775.9027,1224.0823,529.5781,204.7174,169.6505,4379.4966,571.1853,1054.4318
2014,6004.7595,920.2798,3.4836,14.9228,,901.8734,223.3496,251.7423,5084.4797,828.3003,1182.1244,604.9504,249.0008,185.8154,4479.5293,579.2995,996.309
2013,6274.1102,933.7748,4.8329,19.4882,,909.4537,235.1305,250.4684,5340.3354,869.3004,1278.1963,624.7386,246.7512,204.8427,4715.5968,622.5492,1073.3536
2012,6315.5796,778.5349,5.0284,18.4933,0.0,755.0132,225.0573,215.9604,5537.0447,863.0967,1227.2059,713.6842,268.349,208.8129,4823.3605,594.7477,1018.393
2011,6519.6816,677.1796,4.8873,24.2067,,648.0856,201.7012,178.5514,5842.502,761.4303,979.8624,695.9144,264.6761,201.8994,5146.5876,496.7542,777.963
2010,6698.9254,712.555,4.829,19.4889,,688.2371,131.551,106.9856,5986.3704,579.2588,679.2619,734.0783,208.854,172.8991,5252.2921,370.4048,506.3628
2009,6644.4523,531.702,4.6803,19.6768,,507.3449,109.4037,118.488,6112.7503,601.471,700.2076,682.2378,198.2254,169.3276,5430.5125,403.2456,530.88
2008,,,4.5457,21.4769,,411.9157,,,,,,,,,5720.9955,,
2007,,,,,,,,,,,,,,,6003.1763,,
2006,,,,,,,,,,,,,,,5733.6156,,
2005,,,,,,,,,,,,,,,5934.188,,
2004,,,,,,,,,,,,,,,6176.9903,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
