年份,各级各类非学历教育注册生数,高等教育注册生数,研究生课程进修班注册生数,自考助学班注册生数,普通预科生注册生数,进修及培训注册生数,资格证书培训注册生数_x,岗位证书培训注册生数_x,中等职业教育注册生数,资格证书培训注册生数_y,岗位证书培训注册生数_y,中等职业学校注册生数,资格证书培训注册生数_x,岗位证书培训注册生数_x,职业技术培训机构注册生数,资格证书培训注册生数_y,岗位证书培训注册生数_y
2021,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,
2017,5465.6731,927.3706,1.2237,23.0086,4.542,898.5963,225.2372,218.8331,4538.3025,727.4609,1055.0536,331.8076,140.619,112.3283,4206.4949,586.8419,942.7253
2016,,,,,,,,,,,,,,,,,
2015,5287.3698,725.8406,3.4799,28.9818,5.0048,688.3741,230.344,188.3342,4561.5292,718.6436,1122.1371,343.1361,150.3999,103.8118,4218.3931,568.2437,1018.3253
2014,5350.328,736.6574,5.6427,37.6213,4.4451,688.9483,207.8655,211.6553,4613.6706,735.6309,1070.4491,375.9486,161.7346,112.5192,4237.722,573.8963,957.9299
2013,5593.2104,678.5562,6.9321,40.5329,4.2514,626.8398,197.9966,171.3103,4914.6542,802.837,1167.0337,398.6943,175.7692,118.2845,4515.9599,627.0678,1048.7492
2012,5364.6475,394.8377,7.3796,39.7381,3.7668,343.9532,106.3044,69.6245,4969.8098,757.7578,1050.0068,402.456,176.9758,109.4172,4567.3538,580.782,940.5896
2011,5838.2188,405.1425,6.7112,47.0423,3.2274,348.1616,89.3784,97.6309,5433.0763,646.1557,844.1784,411.9561,163.0942,105.532,5021.1202,483.0615,738.6464
2010,5624.8072,332.8944,6.4978,59.5048,3.197,263.6948,41.0652,36.4497,5291.9128,452.5384,524.9313,366.9083,105.1545,83.2142,4925.0045,347.3839,441.7171
2009,5700.6717,289.4578,6.8646,69.6503,3.0649,209.878,40.909,69.8173,5411.2139,477.9729,536.8904,398.1864,110.7193,86.9602,5013.0275,367.2536,449.9302
2008,,,,,,,,,,,,,,,5019.5384,,
2007,,,,,,,,,,,,,,,5067.7419,,
2006,,,,,,,,,,,,,,,5078.6504,,
2005,,,,,,,,,,,,,,,4882.7147,,
2004,,,,,,,,,,,,,,,5748.1382,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
