年份,成人专科在校生数,成人高等学校办成人专科在校生数,成人高等学校办师范成人专科在校学生数,成人高等学校办农林牧渔大类成人专科在校学生数,成人高等学校办交通运输大类成人专科在校学生数,成人高等学校办生化与药品大类成人专科在校学生数,成人高等学校办资源开发与测绘大类成人专科在校学生数,成人高等学校办材料与能源大类成人专科在校学生数,成人高等学校办土建大类成人专科在校学生数,成人高等学校办水利大类成人专科在校学生数,成人高等学校办制造大类成人专科在校学生数,成人高等学校办电子信息大类成人专科在校学生数,成人高等学校办环保、气象与安全大类成人专科在校学生数,成人高等学校办轻纺食品大类成人专科在校学生数,成人高等学校办财经大类成人专科在校学生数,成人高等学校办医药卫生大类成人专科在校学生数,成人高等学校办旅游大类成人专科在校学生数,成人高等学校办公共事业大类成人专科在校学生数,成人高等学校办文化教育大类成人专科在校学生数,成人高等学校办艺术设计传媒大类成人专科在校学生数,成人高等学校办公安大类成人专科在校学生数,成人高等学校办法律大类成人专科在校学生数,普通高等学校办成人专科在校生数,普通高等学校办师范成人专科在校学生数,普通高等学校办农林牧渔大类成人专科在校学生数,普通高等学校办交通运输大类成人专科在校学生数,普通高等学校办生化与药品大类成人专科在校学生数,普通高等学校办资源开发与测绘大类成人专科在校学生数,普通高等学校办材料与能源大类成人专科在校学生数,普通高等学校办土建大类成人专科在校学生数,普通高等学校办水利大类成人专科在校学生数,普通高等学校办制造大类成人专科在校学生数,普通高等学校办电子信息大类成人专科在校学生数,普通高等学校办环保、气象与安全大类成人专科在校学生数,普通高等学校办轻纺食品大类成人专科在校学生数,普通高等学校办财经大类成人专科在校学生数,普通高等学校办医药卫生大类成人专科在校学生数,普通高等学校办旅游大类成人专科在校学生数,普通高等学校办公共事业大类成人专科在校学生数,普通高等学校办文化教育大类成人专科在校学生数,普通高等学校办艺术设计传媒大类成人专科在校学生数,普通高等学校办公安大类成人专科在校学生数,普通高等学校办法律大类成人专科在校学生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,372.1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,327.2429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,293.8744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,285.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,315.7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,356.5998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,373.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,360.9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,335.5628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,313.883,37.8467,2.2058,0.197,1.1472,0.3255,1.0291,0.494,1.8435,0.1183,5.7779,2.8173,0.0977,0.1247,10.939,3.8833,0.6525,1.3856,4.9476,1.3804,0.0147,0.6714,276.0363,14.764,5.8961,9.4395,3.6289,7.6623,3.4884,18.8844,1.1589,35.5745,23.0028,0.5369,1.7877,74.4593,43.1231,4.4911,7.2538,25.9342,6.0334,0.4839,3.1971
2010,310.9931,41.4565,,,,,,,,,,,,,,,,,,,,,269.5366,,,,,,,,,,,,,,,,,,,,
2009,315.6851,46.1725,,,,,,,,,,,,,,,,,,,,,269.5126,,,,,,,,,,,,,,,,,,,,
2008,313.0117,48.8356,,,,,,,,,,,,,,,,,,,,,264.1761,,,,,,,,,,,,,,,,,,,,
2007,301.4332,50.9441,,,,,,,,,,,,,,,,,,,,,250.4891,,,,,,,,,,,,,,,,,,,,
2006,312.8468,55.8854,,,,,,,,,,,,,,,,,,,,,256.9614,,,,,,,,,,,,,,,,,,,,
2005,274.9565,58.2214,,,,,,,,,,,,,,,,,,,,,216.7351,,,,,,,,,,,,,,,,,,,,
2004,278.2002,63.475,,,,,,,,,,,,,,,,,,,,,214.7252,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
