年份,博士招生数,哲学博士招生数,经济学博士招生数,法学博士招生数,教育学博士招生数,文学博士招生数,历史学博士招生数,理学博士招生数,工学博士招生数,农学博士招生数,医学博士招生数,军事学博士招生数,管理学博士招生数,普通高校博士招生数,普通高校哲学博士招生数,普通高校经济学博士招生数,普通高校法学博士招生数,普通高校教育学博士招生数,普通高校文学博士招生数,普通高校历史学博士招生数,普通高校理学博士招生数,普通高校工学博士招生数,普通高校农学博士招生数,普通高校医学博士招生数,普通高校军事学博士招生数,普通高校管理学博士招生数,科研机构博士招生数,科研机构哲学博士招生数,科研机构经济学博士招生数,科研机构法学博士招生数,科研机构教育学博士招生数,科研机构文学博士招生数,科研机构历史学博士招生数,科研机构理学博士招生数,科研机构工学博士招生数,科研机构农学博士招生数,科研机构医学博士招生数,科研机构军事学博士招生数,科研机构管理学博士招生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,11.6047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10.5169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9.5502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8.3878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7.7252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7.4416,0.0833,0.2861,0.3873,0.1434,0.2433,0.098,1.5492,2.8462,0.3172,0.9751,0.0027,0.4435,7.2524,0.0763,0.2605,0.3569,0.1434,0.2385,0.0944,1.5299,2.7942,0.301,0.96,0.0027,0.4338,0.1892,0.007,0.0256,0.0304,,0.0048,0.0036,0.0193,0.052,0.0162,0.0151,,0.0097
2014,7.2634,0.086,0.2917,0.3702,0.1364,0.2438,0.0984,1.4855,2.7605,0.3181,0.9575,0.0026,0.4489,7.0713,0.0795,0.2663,0.3488,0.1364,0.2396,0.0946,1.4646,2.7051,0.2938,0.9425,0.0026,0.4393,0.1921,0.0065,0.0254,0.0214,,0.0042,0.0038,0.0209,0.0554,0.0243,0.015,,0.0096
2013,7.0462,0.0894,0.2919,0.3604,0.1353,0.2415,0.0957,1.4158,2.6588,0.3092,0.909,0.0034,0.4701,6.5785,0.0854,0.2668,0.3447,0.1353,0.2381,0.0927,1.2233,2.5044,0.2809,0.8829,0.0034,0.4606,0.4677,0.004,0.0251,0.0157,,0.0034,0.003,0.1925,0.1544,0.0283,0.0261,,0.0095
2012,6.837,0.0864,0.2946,0.361,0.1339,0.2424,0.0939,1.3336,2.5651,0.3105,0.8798,0.0042,0.4723,6.4118,0.0824,0.2706,0.3455,0.1339,0.2368,0.0931,1.158,2.4337,0.282,0.8539,0.0042,0.4639,0.4252,0.004,0.024,0.0155,,0.0056,0.0008,0.1756,0.1314,0.0285,0.0259,,0.0084
2011,6.5559,0.0814,0.282,0.3526,0.1361,0.2877,0.0938,1.2794,2.4604,0.2979,0.811,0.0044,0.4692,5.8882,0.0761,0.2562,0.3379,0.1321,0.2786,0.0921,0.9546,2.2462,0.27,0.7878,0.0044,0.4522,0.6677,0.0053,0.0258,0.0147,0.004,0.0091,0.0017,0.3248,0.2142,0.0279,0.0232,,0.017
2010,6.3762,0.0838,0.2781,0.3529,0.1153,0.2807,0.0945,1.2216,2.3977,0.2831,0.6524,0.0026,0.4629,5.7392,0.0766,0.2537,0.3391,0.111,0.2713,0.092,0.9094,2.1899,0.2593,0.6367,0.0026,0.4473,0.637,0.0072,0.0244,0.0138,0.0043,0.0094,0.0025,0.3122,0.2078,0.0238,0.0157,,0.0156
2009,6.1911,0.0833,0.2773,0.3355,0.1108,0.2799,0.0909,1.1638,2.3259,0.2733,0.6832,0.0031,0.479,5.5472,0.0769,0.2557,0.3219,0.1069,0.2703,0.0887,0.8513,2.1104,0.2489,0.6667,0.0031,0.4614,0.6439,0.0064,0.0216,0.0136,0.0039,0.0096,0.0022,0.3125,0.2155,0.0244,0.0165,,0.0176
2008,5.9764,0.085,0.2751,0.323,0.1069,0.2641,0.0925,1.1253,2.2262,0.2591,0.7329,0.0035,0.4828,5.3595,0.0786,0.2564,0.3126,0.1037,0.2572,0.0901,0.8105,2.0267,0.2357,0.7162,0.0035,0.4683,0.6169,0.0064,0.0187,0.0104,0.0032,0.0069,0.0024,0.3148,0.1995,0.0234,0.0167,,0.0145
2007,5.8022,0.0869,0.2737,0.2987,0.1043,0.2576,0.0925,1.1084,2.1647,0.2395,0.7125,0.0032,0.4602,5.1916,0.0811,0.2525,0.2862,0.1009,0.2503,0.0902,0.8018,1.9657,0.2177,0.6946,0.0032,0.4474,0.6106,0.0058,0.0212,0.0125,0.0034,0.0073,0.0023,0.3066,0.199,0.0218,0.0179,,0.0128
2006,5.5955,0.0799,0.264,0.242,0.107,0.2371,0.0958,1.0504,2.1532,0.2289,0.6775,0.003,0.4567,5.0078,0.0756,0.2458,0.2314,0.1037,0.2301,0.0937,0.7387,1.9731,0.2084,0.6614,0.003,0.4429,0.5877,0.0043,0.0182,0.0106,0.0033,0.007,0.0021,0.3117,0.1801,0.0205,0.0161,,0.0138
2005,5.4794,0.0731,0.2662,0.2305,0.1005,0.2334,0.0946,1.0214,2.0983,0.2253,0.6738,0.0034,0.4589,4.8824,0.068,0.2464,0.2185,0.0975,0.227,0.0929,0.7159,1.9102,0.204,0.6533,0.0034,0.4453,0.597,0.0051,0.0198,0.012,0.003,0.0064,0.0017,0.3055,0.1881,0.0213,0.0205,,0.0136
2004,5.3284,0.0684,0.272,0.2233,0.0963,0.2301,0.0926,1.0083,2.0271,0.2169,0.645,0.0031,0.4453,4.7502,0.0649,0.2513,0.2125,0.0935,0.2239,0.0907,0.7029,1.8501,0.1971,0.6276,0.0031,0.4326,0.5782,0.0035,0.0207,0.0108,0.0028,0.0062,0.0019,0.3054,0.177,0.0198,0.0174,,0.0127
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
