年份,研究生在校学生数,哲学研究生在校学生数,经济学研究生在校学生数,法学研究生在校学生数,教育学研究生在校学生数,文学研究生在校学生数,历史学研究生在校学生数,理学研究生在校学生数,工学研究生在校学生数,农学研究生在校学生数,医学研究生在校学生数,军事学研究生在校学生数,管理学研究生在校学生数,普通高校研究生在校学生数,普通高校哲学研究生在校学生数,普通高校经济学研究生在校学生数,普通高校法学研究生在校学生数,普通高校教育学研究生在校学生数,普通高校文学研究生在校学生数,普通高校历史学研究生在校学生数,普通高校理学研究生在校学生数,普通高校工学研究生在校学生数,普通高校农学研究生在校学生数,普通高校医学研究生在校学生数,普通高校军事学研究生在校学生数,普通高校管理学研究生在校学生数,科研机构研究生在校学生数,科研机构哲学研究生在校学生数,科研机构经济学研究生在校学生数,科研机构法学研究生在校学生数,科研机构教育学研究生在校学生数,科研机构文学研究生在校学生数,科研机构历史学研究生在校学生数,科研机构理学研究生在校学生数,科研机构工学研究生在校学生数,科研机构农学研究生在校学生数,科研机构医学研究生在校学生数,科研机构军事学研究生在校学生数,科研机构管理学研究生在校学生数
2021,333.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,313.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,286.3712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,273.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,263.9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,198.1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,191.1406,1.4323,8.1127,12.5335,9.2249,9.3612,1.861,19.6859,68.9597,6.8212,21.5232,0.0688,25.6919,188.5789,1.3857,7.8904,12.2443,9.2249,9.3297,1.8209,19.4602,68.0293,6.5539,21.3177,0.0687,25.4435,2.5617,0.0466,0.2223,0.2892,,0.0315,0.0401,0.2257,0.9304,0.2673,0.2055,0.0001,0.2484
2014,184.7689,1.4604,7.8909,12.2541,8.8615,9.2627,1.7999,18.983,66.9703,6.6068,20.4148,0.0717,24.6846,182.2821,1.4166,7.6788,11.984,8.8615,9.2321,1.7623,18.772,66.0448,6.3385,20.2124,0.0715,24.4537,2.4868,0.0438,0.2121,0.2701,,0.0306,0.0376,0.211,0.9255,0.2683,0.2024,0.0002,0.2309
2013,179.3953,1.4669,7.7548,12.1414,8.5246,9.3482,1.7805,18.3997,64.8218,6.3778,19.6621,0.0888,23.8834,174.9864,1.4266,7.5437,11.8904,8.5246,9.3157,1.7491,17.131,63.0803,6.0758,19.3878,0.0876,23.6827,4.4089,0.0403,0.2111,0.251,,0.0325,0.0314,1.2687,1.7415,0.302,0.2743,0.0012,0.2007
2012,171.9818,1.5082,7.35,12.1217,7.7763,9.3429,1.7735,18.033,61.6173,5.8893,18.8666,0.0831,22.703,167.8607,1.469,7.1673,11.8796,7.7763,9.3098,1.7461,16.8021,60.0147,5.5985,18.6033,0.0828,22.5482,4.1211,0.0392,0.1827,0.2421,,0.0331,0.0274,1.2309,1.6026,0.2908,0.2633,0.0003,0.1548
2011,164.5845,1.5482,6.7503,12.176,7.1423,13.6101,1.8229,18.1072,58.7587,5.6119,18.1129,0.0854,20.8586,158.8462,1.5019,6.5659,11.9286,7.1179,13.5225,1.7981,16.0049,56.4892,5.3402,17.8601,0.0851,20.6318,5.7383,0.0463,0.1844,0.2474,0.0244,0.0876,0.0248,2.1023,2.2695,0.2717,0.2528,0.0003,0.2268
