年份,硕士在校学生数,哲学硕士在校学生数,经济学硕士在校学生数,法学硕士在校学生数,教育学硕士在校学生数,文学硕士在校学生数,历史学硕士在校学生数,理学硕士在校学生数,工学硕士在校学生数,农学硕士在校学生数,医学硕士在校学生数,军事学硕士在校学生数,管理学硕士在校学生数,普通高校硕士在校学生数,普通高校哲学硕士在校学生数,普通高校经济学硕士在校学生数,普通高校法学硕士在校学生数,普通高校教育学硕士在校学生数,普通高校文学硕士在校学生数,普通高校历史学硕士在校学生数,普通高校理学硕士在校学生数,普通高校工学硕士在校学生数,普通高校农学硕士在校学生数,普通高校医学硕士在校学生数,普通高校军事学硕士在校学生数,普通高校管理学硕士在校学生数,科研机构硕士在校学生数,科研机构哲学硕士在校学生数,科研机构经济学硕士在校学生数,科研机构法学硕士在校学生数,科研机构教育学硕士在校学生数,科研机构文学硕士在校学生数,科研机构历史学硕士在校学生数,科研机构理学硕士在校学生数,科研机构工学硕士在校学生数,科研机构农学硕士在校学生数,科研机构医学硕士在校学生数,科研机构军事学硕士在校学生数,科研机构管理学硕士在校学生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,267.3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,243.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,234.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,227.7564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,163.9024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,158.4719,1.0333,6.7776,10.8171,8.5993,8.2567,1.4062,13.7206,55.4667,5.4676,18.0517,0.0523,23.2226,156.6471,1.006,6.6492,10.6037,8.5993,8.2406,1.3784,13.5785,54.7849,5.2808,17.8963,0.0522,23.0126,1.8248,0.0273,0.1284,0.2134,,0.0161,0.0278,0.1421,0.6818,0.1868,0.1554,0.0001,0.21
2014,153.5013,1.0652,6.59,10.6465,8.2745,8.2013,1.3548,13.3418,54.0542,5.3055,17.0674,0.0553,22.287,151.6988,1.0378,6.4668,10.4359,8.2745,8.1845,1.3277,13.2077,53.3649,5.1196,16.9123,0.0551,22.0895,1.8025,0.0274,0.1232,0.2106,,0.0168,0.0271,0.1341,0.6893,0.1859,0.1551,0.0002,0.1975
2013,149.567,1.0879,6.4936,10.5998,7.9791,8.3224,1.3705,13.1314,52.5743,5.1208,16.4199,0.071,21.4852,146.7905,1.0616,6.3697,10.3992,7.9791,8.3039,1.3458,12.5311,51.3999,4.9152,16.2263,0.0698,21.3133,2.7765,0.0263,0.1239,0.2006,,0.0185,0.0247,0.6003,1.1744,0.2056,0.1936,0.0012,0.1719
2012,143.6008,1.147,6.0993,10.6359,7.2682,8.3498,1.3693,13.1112,49.9954,4.6888,15.8065,0.0675,20.3587,140.9806,1.1213,5.9993,10.4434,7.2682,8.3302,1.3481,12.5052,48.8862,4.4926,15.6206,0.0672,20.2305,2.6202,0.0257,0.1,0.1925,,0.0196,0.0212,0.606,1.1092,0.1962,0.1859,0.0003,0.1282
2011,137.4584,1.1947,5.5563,10.7695,6.6684,12.4694,1.4236,13.4463,47.632,4.4396,15.2497,0.0648,18.5441,134.0435,1.1663,5.4561,10.5691,6.6568,12.411,1.4059,12.4579,46.1474,4.2576,15.0714,0.0645,18.3795,3.4149,0.0284,0.1002,0.2004,0.0116,0.0584,0.0177,0.9884,1.4846,0.182,0.1783,0.0003,0.1646
2010,127.9466,1.2469,5.0892,7.7016,4.4212,11.0082,1.3977,13.3462,38.3916,3.4534,10.5654,0.0616,9.519,124.6352,1.2137,4.9936,7.5761,4.4081,10.952,1.3799,12.3318,37.101,3.3083,10.41,0.0612,9.3967,3.3114,0.0332,0.0956,0.1255,0.0131,0.0562,0.0178,1.0144,1.2906,0.1451,0.1554,0.0004,0.1223
