年份,研究生招生数,哲学研究生招生数,经济学研究生招生数,法学研究生招生数,教育学研究生招生数,文学研究生招生数,历史学研究生招生数,理学研究生招生数,工学研究生招生数,农学研究生招生数,医学研究生招生数,军事学研究生招生数,管理学研究生招生数,普通高校研究生招生数,普通高校哲学研究生招生数,普通高校经济学研究生招生数,普通高校法学研究生招生数,普通高校教育学研究生招生数,普通高校文学研究生招生数,普通高校历史学研究生招生数,普通高校理学研究生招生数,普通高校工学研究生招生数,普通高校农学研究生招生数,普通高校医学研究生招生数,普通高校军事学研究生招生数,普通高校管理学研究生招生数,科研机构研究生招生数,科研机构哲学研究生招生数,科研机构经济学研究生招生数,科研机构法学研究生招生数,科研机构教育学研究生招生数,科研机构文学研究生招生数,科研机构历史学研究生招生数,科研机构理学研究生招生数,科研机构工学研究生招生数,科研机构农学研究生招生数,科研机构医学研究生招生数,科研机构军事学研究生招生数,科研机构管理学研究生招生数
2021,117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,110.6551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,91.6503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,85.7966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,80.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,66.7064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,64.5055,0.4218,3.0019,4.2484,3.5046,3.2713,0.5901,6.3571,22.7167,2.4147,7.5325,0.0177,8.3952,63.6961,0.4057,2.9216,4.1449,3.5046,3.2612,0.5753,6.2931,22.44,2.3451,7.4656,0.0177,8.305,0.8094,0.0161,0.0803,0.1035,,0.0101,0.0148,0.064,0.2767,0.0696,0.0669,,0.0902
2014,62.1323,0.4415,2.8064,4.1907,3.4694,3.1967,0.5765,6.2014,21.75,2.3383,7.0466,0.0209,8.1641,61.3152,0.4261,2.7341,4.0945,3.4694,3.187,0.5622,6.1347,21.4709,2.2478,6.9792,0.0209,8.0752,0.8171,0.0154,0.0723,0.0962,,0.0097,0.0143,0.0667,0.2791,0.0905,0.0674,,0.0889
2013,61.1381,0.4402,2.8007,4.1723,3.2594,3.1623,0.5642,6.0202,21.7338,2.3388,6.6525,0.0246,8.1313,59.6368,0.4277,2.728,4.0823,3.2594,3.1535,0.5514,5.5965,21.1562,2.238,6.5573,0.0242,8.0422,1.5013,0.0125,0.0727,0.09,,0.0088,0.0128,0.4237,0.5776,0.1008,0.0952,0.0004,0.0891
2012,58.9673,0.4579,2.7428,4.096,3.0239,3.2115,0.5456,5.8124,20.9244,2.108,6.4868,0.025,7.8151,57.5438,0.4454,2.6706,4.0109,3.0239,3.198,0.536,5.4138,20.3844,2.007,6.3941,0.0249,7.7343,1.4235,0.0125,0.0722,0.0851,,0.0135,0.0096,0.3986,0.54,0.101,0.0927,0.0001,0.0808
