年份,研究生招生数,哲学研究生招生数,经济学研究生招生数,法学研究生招生数,教育学研究生招生数,文学研究生招生数,历史学研究生招生数,理学研究生招生数,工学研究生招生数,农学研究生招生数,医学研究生招生数,军事学研究生招生数,管理学研究生招生数,普通高校研究生招生数,普通高校哲学研究生招生数,普通高校经济学研究生招生数,普通高校法学研究生招生数,普通高校教育学研究生招生数,普通高校文学研究生招生数,普通高校历史学研究生招生数,普通高校理学研究生招生数,普通高校工学研究生招生数,普通高校农学研究生招生数,普通高校医学研究生招生数,普通高校军事学研究生招生数,普通高校管理学研究生招生数,科研机构研究生招生数,科研机构哲学研究生招生数,科研机构经济学研究生招生数,科研机构法学研究生招生数,科研机构教育学研究生招生数,科研机构文学研究生招生数,科研机构历史学研究生招生数,科研机构理学研究生招生数,科研机构工学研究生招生数,科研机构农学研究生招生数,科研机构医学研究生招生数,科研机构军事学研究生招生数,科研机构管理学研究生招生数
2011,56.0168,0.4699,2.5301,4.0446,2.7112,4.8042,0.5705,5.7688,19.5082,2.0063,6.0831,0.0261,7.4938,54.1077,0.4551,2.468,3.9581,2.7027,4.777,0.5623,5.0954,18.752,1.9115,5.9946,0.026,7.405,1.9091,0.0148,0.0621,0.0865,0.0085,0.0272,0.0082,0.6734,0.7562,0.0948,0.0885,0.0001,0.0888
2010,53.8177,0.4874,2.0618,2.933,1.5282,4.0635,0.5487,5.8388,15.3704,1.4874,4.0067,0.0233,3.5386,51.9207,0.4686,2.0052,2.8776,1.5195,4.0357,0.5403,5.1474,14.7202,1.4132,3.9376,0.0232,3.4784,1.897,0.0188,0.0566,0.0554,0.0087,0.0278,0.0084,0.6914,0.6502,0.0742,0.0691,0.0001,0.0602
2009,51.0953,0.5254,2.1576,3.1085,1.6683,4.1845,0.5842,5.9279,15.8703,1.48,4.4713,0.0233,3.8701,49.28,0.5073,2.106,3.056,1.6594,4.1551,0.5758,5.2278,15.1925,1.4073,4.4001,0.0232,3.8067,1.8153,0.0181,0.0516,0.0525,0.0089,0.0294,0.0084,0.7001,0.6778,0.0727,0.0712,0.0001,0.0634
2008,44.6422,0.5269,2.0981,3.481,1.5862,3.9151,0.5574,5.5526,15.5484,1.3259,4.7412,0.023,5.2864,42.9122,0.5099,2.0457,3.4305,1.5777,3.8904,0.5489,4.8606,14.8769,1.2508,4.667,0.0228,5.231,1.73,0.017,0.0524,0.0505,0.0085,0.0247,0.0085,0.692,0.6715,0.0751,0.0742,0.0002,0.0554
2007,41.8612,0.5441,2.0162,3.1385,1.4961,3.5749,0.5334,5.1389,14.6318,1.5733,4.4161,0.0244,4.7735,40.1694,0.5284,1.964,3.0866,1.4877,3.551,0.5258,4.466,13.9801,1.501,4.3341,0.0242,4.7205,1.6918,0.0157,0.0522,0.0519,0.0084,0.0239,0.0076,0.6729,0.6517,0.0723,0.082,0.0002,0.053
2006,39.7925,0.4742,1.9635,2.6868,1.434,3.1351,0.5481,4.7749,14.4841,1.4841,4.22,0.0215,4.5662,38.1567,0.4596,1.913,2.6418,1.4268,3.1105,0.5401,4.1024,13.87,1.4212,4.1388,0.0212,4.5113,1.6358,0.0146,0.0505,0.045,0.0072,0.0246,0.008,0.6725,0.6141,0.0629,0.0812,0.0003,0.0549
2005,36.4831,0.4414,1.8612,2.477,1.2357,2.8962,0.5249,4.5193,13.1345,1.3864,3.834,0.0219,4.1506,34.8407,0.4244,1.8106,2.4314,1.2293,2.8742,0.5173,3.8531,12.5052,1.3268,3.7507,0.0216,4.0961,1.6424,0.017,0.0506,0.0456,0.0064,0.022,0.0076,0.6662,0.6293,0.0596,0.0833,0.0003,0.0545
2004,32.6286,0.3882,1.7007,2.2979,1.0053,2.4783,0.4572,4.1067,12.075,1.211,3.3012,0.0174,3.5897,31.0672,0.3762,1.6519,2.2407,0.9999,2.4584,0.449,3.4706,11.4834,1.1577,3.2242,0.0173,3.5379,1.5614,0.012,0.0488,0.0572,0.0054,0.0199,0.0082,0.6361,0.5916,0.0533,0.077,0.0001,0.0518
2003,26.8925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,20.2611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,16.5197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,12.8484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
