年份,教育经费,高等学校教育经费,普通高等学校教育经费,成人高等学校教育经费,中等职业学校教育经费,中等专业学校教育经费,职业高中教育经费,技工学校教育经费,成人中专学校教育经费,中学教育经费,普通中学教育经费,普通高中教育经费,普通初中教育经费,农村普通初中教育经费,成人中学教育经费,小学教育经费,普通小学教育经费,农村普通小学教育经费,成人小学教育经费,特殊教育学校教育经费,幼儿园教育经费,教育行政单位教育经费,教育事业单位教育经费,其它类别学校教育经费
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,501781166.196716,,,,,,,,,,,,,,,,,,,,,,,
2018,461429979.8897,,,,,,,,,,,,,,,,,,,,,,,
2017,425620069.049,,,,,,,,,,,,,,,,,,,,,,,
2016,388883850.0,,,,,,,,,,,,,,,,,,,,,,,
2015,361291927.0,,,,,,,,,,,,,,,,,,,,,,,
2014,328064609.0,,,,,,,,,,,,,,,,,,,,,,,
2013,303647182.0,,,,,,,,,,,,,,,,,,,,,,,
2012,286553052.0,,,,,,,,,,,,,,,,,,,,,,,
2011,238692936.0,70208739.8,68802316.4,1406423.4,16385030.1,7560390.2,6177797.3,1854711.7,792130.9,66709034.2,66607151.3,24943611.1,41663540.2,22879621.2,101882.9,60124182.6,60120840.8,37975039.5,3341.8,790438.5,10185760.6,3281499.1,8777740.4,2230510.3
2010,195618471.0,56290770.6,54978648.9,1312121.7,13573099.0,6065511.5,5092958.1,1696443.6,718185.8,54210867.7,54164955.2,20033460.0,34131495.2,19009184.5,45912.5,48874754.9,48870719.0,31165811.2,4035.9,719082.9,7280142.5,2906046.4,6269454.7,5494252.0
2009,165027065.0,47827760.0,46450089.0,1377670.0,11988675.0,5134365.0,4708237.0,1462059.0,684014.0,47680923.0,47634304.0,17794435.0,29839869.0,16975027.0,46619.0,42173872.0,42169241.0,27230002.0,4631.0,482851.0,2447892.0,2463587.0,5733982.0,4227524.0
2008,145007374.0,43468779.5,42102369.3,1366410.2,10492435.1,4378242.8,4342575.4,1148414.6,623202.3,41291005.6,41239914.3,16022355.8,25217558.5,14282394.8,51091.3,35512328.0,35507036.5,22981914.8,5291.5,410125.1,1988415.7,2659506.7,5698155.6,3486622.9
2007,121480663.0,37623007.2,36341851.2,1281156.0,8517982.6,3473353.1,3479313.1,994454.2,570862.2,34524461.6,34482324.8,13935044.1,20547280.7,11043073.1,42136.8,29487236.8,29482974.6,18834664.1,4262.2,311627.3,1571389.2,1912362.1,4598097.6,2934498.6
2006,98153087.0,,,,,,,,,,,,,,,,,,,,,,,
2005,84188391.0,26578618.3,25502370.8,1076247.5,,2711219.7,,584840.5,470959.4,25930835.1,25896132.3,,,,34702.8,20321074.5,20315175.9,12394754.4,5898.6,235841.9,1045524.0,,,4389346.6
2004,72425989.0,22576459.3,21297613.2,1278846.1,,2650781.5,,488899.0,454385.6,22265210.3,22230170.7,,,,35039.6,18051062.0,18045650.3,10703844.7,5411.7,193181.2,875169.0,,,3337863.2
2003,62082653.0,18736787.6,17543468.0,1193319.6,,2592065.4,,425408.1,413751.3,19147185.4,19120716.4,,,,26469.0,15754519.1,15742418.3,8966437.5,12100.8,167411.1,742577.3,,,2788807.3
2002,54800278.0,15832129.1,14878589.8,953539.3,,2505373.9,,366761.1,406195.3,16704638.3,16682289.8,,,,22348.5,14485877.7,14480218.2,8389830.6,5659.5,151392.0,675844.0,,,2608237.7
2001,46376626.0,12475481.3,11665761.8,809719.5,,2526961.3,,334232.9,384263.8,13895667.0,13863722.1,,,,31944.9,12746891.5,12740074.1,7333944.4,6817.4,132456.5,602844.1,,,2358932.1
2000,38490806.0,9831364.6,9133503.6,697861.0,,2536698.4,,359876.2,384924.3,11323706.5,11302022.0,,,,21684.5,10821232.6,10814442.5,6139449.7,6790.1,109770.9,516303.4,,,1812090.1
