年份,民办学校办学经费,高等学校民办学校办学经费,普通高等学校民办学校办学经费,成人高等学校民办学校办学经费,中等职业学校民办学校办学经费,中等专业学校民办学校办学经费,职业高中民办学校办学经费,技工学校民办学校办学经费,成人中专学校民办学校办学经费,中学民办学校办学经费,普通中学民办学校办学经费,普通高中民办学校办学经费,普通初中民办学校办学经费,农村普通初中民办学校办学经费,成人中学民办学校办学经费,小学民办学校办学经费,普通小学民办学校办学经费,农村普通小学民办学校办学经费,成人小学民办学校办学经费,特殊教育学校民办学校办学经费,幼儿园民办学校办学经费,教育行政单位民办学校办学经费,教育事业单位民办学校办学经费,其它类别学校民办学校办学经费
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,2201303.916715,,,,,,,,,,,,,,,,,,,,,,,
2018,2406209.771,,,,,,,,,,,,,,,,,,,,,,,
2017,2250061.10778,,,,,,,,,,,,,,,,,,,,,,,
2016,2032733.0,,,,,,,,,,,,,,,,,,,,,,,
2015,1876620.0,,,,,,,,,,,,,,,,,,,,,,,
2014,1313476.0,,,,,,,,,,,,,,,,,,,,,,,
2013,1474089.0,,,,,,,,,,,,,,,,,,,,,,,
2012,1281753.0,,,,,,,,,,,,,,,,,,,,,,,
2011,1119320.0,332915.3,332915.3,,128687.6,58264.2,55130.3,7359.0,7934.1,215221.1,215221.1,76990.1,138231.0,41210.7,,149896.7,149896.7,48293.4,,173.9,292425.2,,,
2010,1054254.0,269646.9,269646.9,,129023.1,56022.4,56105.8,10522.0,6372.9,244849.7,244849.7,98709.5,146140.2,18327.5,,129501.9,129501.9,36080.6,,112.0,281120.0,,,
2009,749829.0,330962.0,330962.0,,127871.0,57842.0,56969.0,7639.0,5420.0,178384.0,178384.0,70572.0,107812.0,22314.0,,112522.0,112522.0,28366.0,,90.0,,,,
2008,698479.0,301686.5,301686.5,,94753.5,37435.8,51797.1,3538.4,1982.2,196998.4,196993.4,87645.2,109348.2,21037.0,5.0,104856.5,104856.5,21073.1,,184.4,,,,
2007,809337.0,319221.0,318788.0,433.0,73563.4,25660.8,34694.2,6989.1,6219.3,281572.6,281217.6,156258.4,124959.2,14992.1,355.0,134938.3,134938.3,18069.3,,42.1,,,,
2006,5490583.0,,,,,,,,,,,,,,,,,,,,,,,
2005,4522185.0,,,,,,,,,,,,,,,,,,,,,,,
2004,3478529.0,,,,,,,,,,,,,,,,,,,,,,,
2003,2590148.0,,,,,,,,,,,,,,,,,,,,,,,
2002,1725549.0,,,,,,,,,,,,,,,,,,,,,,,
2001,1280895.0,,,,,,,,,,,,,,,,,,,,,,,
2000,858537.0,,,,,,,,,,,,,,,,,,,,,,,
