年份,国家财政预算内教育经费,高等学校国家财政预算内教育经费,普通高等学校国家财政预算内教育经费,成人高等学校国家财政预算内教育经费,中等职业学校国家财政预算内教育经费,中等专业学校国家财政预算内教育经费,职业高中国家财政预算内教育经费,技工学校国家财政预算内教育经费,成人中专学校国家财政预算内教育经费,中学国家财政预算内教育经费,普通中学国家财政预算内教育经费,普通高中国家财政预算内教育经费,普通初中国家财政预算内教育经费,农村普通初中国家财政预算内教育经费,成人中学国家财政预算内教育经费,小学国家财政预算内教育经费,普通小学国家财政预算内教育经费,农村普通小学国家财政预算内教育经费,成人小学国家财政预算内教育经费,特殊教育学校国家财政预算内教育经费,幼儿园国家财政预算内教育经费,教育行政单位国家财政预算内教育经费,教育事业单位国家财政预算内教育经费,其它类别学校国家财政预算内教育经费
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,
2011,168045616.5,38303347.7,37632641.0,670706.7,10379262.7,4728780.9,4025549.0,1064615.0,560317.8,50782295.4,50710861.1,15376403.6,35334457.5,20740121.3,71434.3,53147915.1,53144650.9,35088711.1,3264.2,654864.7,3516392.2,2628782.0,6676854.8,1955901.9
2010,134895628.5,27777956.2,27188006.4,589949.8,8325193.5,3694266.0,3181529.2,964151.2,485247.1,41159888.0,41131372.9,11758579.6,29372793.3,17469914.9,28515.1,43896248.6,43892286.6,29227117.4,3962.0,619898.6,2187410.5,2258371.1,4313650.0,4357012.0
2009,114193032.4,22493469.0,21912629.0,580840.0,7086185.0,2968624.0,2859537.0,801627.0,456397.0,35350376.0,35326169.0,9853696.0,25472473.0,15497859.0,24208.0,37701029.0,37696574.0,25449025.0,4455.0,406915.0,1524543.0,1808729.0,3911935.0,3909851.0
2008,96855601.9,19986368.5,19446803.7,539564.8,5855492.1,2385191.9,2494304.3,570951.5,405044.4,29285707.6,29263302.7,8378922.4,20884380.3,12837203.5,22404.9,31129001.6,31123861.9,21363735.3,5139.7,333761.3,1227864.5,1976316.9,3897287.1,3163802.3
2007,76549081.9,15999150.7,15543042.3,456108.4,4408752.1,1756231.9,1855046.7,453350.6,344122.9,22934511.8,22915518.8,6899098.1,16016420.7,9726061.7,18993.0,25179147.6,25175462.6,17349039.8,3685.0,261311.4,954946.7,1242309.6,2945770.2,2623181.8
2006,57956138.0,,,,,,,,,,,,,,,,,,,,,,,
2005,46656939.0,10801930.8,10463734.0,338196.8,,1317102.4,,217779.9,236614.8,14364813.4,14353512.0,,,,11301.4,15444844.2,15440216.3,10296328.1,4627.9,178192.4,620820.8,,,2567697.9
2004,40278158.0,9658276.4,9309881.9,348394.5,,1314425.7,,178255.7,230088.4,12120586.8,12111111.4,,,,9475.4,13525941.6,13522577.4,8857400.5,3364.2,150002.5,519700.3,,,1825025.5
2003,34538582.6,8389002.3,8074147.8,314854.5,,1304068.7,,164876.3,209389.6,10225505.0,10216959.1,,,,8545.9,11566847.3,11563329.3,7374990.0,3518.0,129882.2,441207.8,,,1468736.6
2002,31142383.3,7548856.1,7243458.6,305397.5,,1273760.2,,137485.3,207118.7,9003381.6,8995103.4,,,,8278.2,10473153.2,10469011.1,6709476.9,4142.1,116767.4,397252.8,,,1418423.9
2001,25823761.9,6322876.8,6060683.1,262193.7,,1291489.0,,109458.1,193074.8,7205864.8,7197907.4,,,,7957.4,8560870.4,8555383.1,5371368.1,5487.3,99882.1,346799.8,,,1218018.2
2000,20856792.0,5297403.1,5044173.3,253229.8,,1235808.7,,113480.9,182632.2,5642880.5,5635841.9,,,,7038.6,6720724.8,6715955.2,4122268.5,4769.6,81810.0,288603.8,,,884948.0
