年份,其他教育经费,高等学校其他教育经费,普通高等学校其他教育经费,成人高等学校其他教育经费,中等职业学校其他教育经费,中等专业学校其他教育经费,职业高中其他教育经费,技工学校其他教育经费,成人中专学校其他教育经费,中学其他教育经费,普通中学其他教育经费,普通高中其他教育经费,普通初中其他教育经费,农村普通初中其他教育经费,成人中学其他教育经费,小学其他教育经费,普通小学其他教育经费,农村普通小学其他教育经费,成人小学其他教育经费,特殊教育学校其他教育经费,幼儿园其他教育经费,教育行政单位其他教育经费,教育事业单位其他教育经费,其它类别学校其他教育经费
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,10865636.754274,,,,,,,,,,,,,,,,,,,,,,,
2018,10735992.665,,,,,,,,,,,,,,,,,,,,,,,
2017,10866754.1554,,,,,,,,,,,,,,,,,,,,,,,
2016,9309860.0,,,,,,,,,,,,,,,,,,,,,,,
2015,8233597.0,,,,,,,,,,,,,,,,,,,,,,,
2014,7477031.0,,,,,,,,,,,,,,,,,,,,,,,
2013,7173384.0,,,,,,,,,,,,,,,,,,,,,,,
2012,6640278.0,,,,,,,,,,,,,,,,,,,,,,,
2011,6341005.0,3857995.0,3795366.1,62628.9,414333.5,202024.0,103988.5,86596.6,21724.4,871402.0,868349.7,442750.6,425599.1,161440.4,3052.3,517155.0,517137.2,217073.3,17.8,10384.5,188574.6,144566.9,269914.1,66679.3
2010,5724045.0,3300366.9,3229067.9,71299.0,415713.3,219482.5,95971.0,76692.2,23567.6,867080.9,863040.1,429297.1,433743.0,177987.0,4040.8,526018.2,526016.6,244855.3,1.6,18434.1,163217.1,108717.7,272368.8,52127.6
2009,5435371.0,3122499.0,3023369.0,99130.0,328463.0,156799.0,100154.0,48876.0,22634.0,934766.0,930844.0,490242.0,440601.0,166409.0,3922.0,513018.0,513006.0,232265.0,12.0,11323.0,42151.0,122463.0,303647.0,57042.0
2008,5115225.0,2923763.1,2835082.3,88680.8,320248.6,150503.8,109766.4,37990.2,21988.2,913175.2,908914.7,470763.3,438151.4,165604.5,4260.5,466380.0,466372.5,195418.2,7.5,10078.4,41521.8,101763.1,283634.0,54661.1
2007,5166242.0,2886359.8,2781039.9,105319.9,337522.7,160164.6,110110.5,42494.6,24753.0,950062.7,947033.1,451891.5,495141.6,183274.1,3029.6,514649.6,514620.8,225974.1,28.8,8897.8,45247.6,104514.6,276907.1,42080.4
2006,4206736.0,,,,,,,,,,,,,,,,,,,,,,,
2005,3723842.0,4887285.6,4662641.1,224644.5,,316373.8,,145147.6,81871.2,3369599.6,3360285.5,,,,9314.1,1281470.3,1281250.6,501677.5,219.7,16858.4,219462.2,,,1116908.0
2004,3240414.0,4013862.6,3785361.8,228500.8,,318930.9,,120677.2,81061.7,2895659.1,2889238.9,,,,6420.2,1150369.1,1150016.1,437169.4,353.0,14083.4,178266.9,,,992868.2
2003,2721943.0,3446915.5,3220992.2,225923.3,,302089.5,,99512.0,79180.0,2556419.0,2549577.3,,,,6841.7,1103084.2,1098319.7,377841.0,4764.5,13313.3,147983.5,,,877114.1
2002,2278722.0,2995298.1,2840984.6,154313.5,,291443.3,,91700.2,78638.0,2149153.3,2144506.5,,,,4646.8,1039697.5,1039454.7,370274.6,242.8,12025.4,134485.6,,,800744.2
2001,1821643.0,2263088.8,2158573.8,104515.0,,249882.5,,23280.7,60474.9,1568718.1,1564544.3,,,,4173.8,823088.7,822758.2,327769.4,330.5,10245.7,125090.2,,,750671.3
2000,1483939.0,1783024.5,1677771.6,105252.9,,256743.2,,22065.6,54250.0,1270588.7,1267393.4,,,,3195.3,755134.3,754820.0,316111.8,314.3,8292.3,100629.6,,,604339.8
