年份,国家财政性教育经费,高等学校国家财政性教育经费,普通高等学校国家财政性教育经费,成人高等学校国家财政性教育经费,中等职业学校国家财政性教育经费,中等专业学校国家财政性教育经费,职业高中国家财政性教育经费,技工学校国家财政性教育经费,成人中专学校国家财政性教育经费,中学国家财政性教育经费,普通中学国家财政性教育经费,普通高中国家财政性教育经费,普通初中国家财政性教育经费,农村普通初中国家财政性教育经费,成人中学国家财政性教育经费,小学国家财政性教育经费,普通小学国家财政性教育经费,农村普通小学国家财政性教育经费,成人小学国家财政性教育经费,特殊教育学校国家财政性教育经费,幼儿园国家财政性教育经费,教育行政单位国家财政性教育经费,教育事业单位国家财政性教育经费,其它类别学校国家财政性教育经费
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,400465452.45609,,,,,,,,,,,,,,,,,,,,,,,
2018,369957704.427,,,,,,,,,,,,,,,,,,,,,,,
2017,342077545.5456,,,,,,,,,,,,,,,,,,,,,,,
2016,313962519.0,,,,,,,,,,,,,,,,,,,,,,,
2015,292214511.0,,,,,,,,,,,,,,,,,,,,,,,
2014,264205820.0,,,,,,,,,,,,,,,,,,,,,,,
2013,244882177.0,,,,,,,,,,,,,,,,,,,,,,,
2012,231475698.0,,,,,,,,,,,,,,,,,,,,,,,
2011,185867009.0,40963276.9,40234989.2,728287.7,12590643.7,5671922.2,5062497.2,1236387.7,619836.6,57114549.6,57023627.6,17999617.0,39024010.6,22308622.4,90922.0,57599831.0,57596541.9,37249144.3,3289.1,766926.5,4156986.1,2989851.9,7712372.9,1972570.6
2010,146700670.0,29653206.4,29018025.6,635180.8,9682825.8,4151335.8,3927610.9,1070922.1,532957.0,44774411.6,44742043.7,13218350.1,31523693.6,18421822.3,32367.9,46429953.1,46425984.2,30419739.6,3968.9,683804.5,2443526.4,2605377.7,5200421.2,5227142.9
2009,122310935.0,23273842.0,22645083.0,628760.0,8141848.0,3307110.0,3465887.0,878354.0,490497.0,38343767.0,38311850.0,11093407.0,27218443.0,16313520.0,31917.0,39730251.0,39725715.0,26425549.0,4536.0,454816.0,1662739.0,2140294.0,4639216.0,3924163.0
2008,104496296.0,20624560.4,20035115.8,589444.6,6822714.4,2658848.3,3089551.3,640771.4,433543.4,32146828.1,32120255.7,9612420.0,22507835.7,13572233.7,26572.4,32984118.0,32978951.7,22236241.0,5166.3,382492.0,1329444.0,2358725.0,4669139.7,3178274.0
2007,82802142.0,16481188.0,15983187.1,498000.9,5121956.9,1951637.7,2280925.3,518893.8,370500.1,25360850.0,25338821.5,7948194.9,17390626.6,10323297.1,22028.5,26742621.1,26738863.3,18069990.5,3757.8,288135.3,1028269.3,1587423.9,3558279.7,2633417.9
2006,63483648.0,,,,,,,,,,,,,,,,,,,,,,,
2005,51610759.0,11285356.1,10908368.7,376987.4,,1439488.1,,275104.6,262664.3,16440048.4,16424223.5,,,,15824.9,16695144.0,16690390.0,10794943.0,4754.0,211484.7,657237.9,,,3249126.7
2004,44658575.0,10098391.7,9697908.7,400483.0,,1412520.2,,233524.6,253472.2,14001339.4,13988197.4,,,,13142.0,14735197.7,14731537.2,9253266.8,3660.5,170527.6,545001.4,,,2321525.5
2003,38506237.0,8768736.5,8405779.1,362957.4,,1395181.7,,228395.4,228877.7,11922063.3,11909021.6,,,,13041.7,12686976.9,12680740.4,7664065.8,6236.5,147470.8,462390.0,,,1898208.2
2002,34914048.0,7875176.1,7521462.8,353713.3,,1356574.7,,196713.5,226145.3,10623978.5,10613312.8,,,,10665.7,11641506.9,11636869.2,7100910.9,4637.7,133194.5,416389.4,,,1782495.3
2001,30570100.0,6659987.1,6328003.5,331983.6,,1399673.0,,252763.1,225382.7,9139116.4,9127804.8,,,,11311.6,10239873.6,10233536.8,6100089.2,6336.8,116097.8,363854.5,,,1586207.5
2000,25626056.0,5637055.4,5311853.8,325201.6,,1396990.8,,276612.1,226027.8,7500204.7,7489152.6,,,,11052.1,8493472.9,8487543.7,4967060.9,5929.2,95716.5,309974.8,,,1184665.4
