年份,各类学校教育经费社会捐赠经费,高等学校社会捐赠经费,普通高等学校社会捐赠经费,成人高等学校社会捐赠经费,中等职业学校社会捐赠经费,中等专业学校社会捐赠经费,职业高中社会捐赠经费,技工学校社会捐赠经费,成人中专学校社会捐赠经费,中学社会捐赠经费,普通中学社会捐赠经费,普通高中社会捐赠经费,普通初中社会捐赠经费,农村普通初中社会捐赠经费,成人中学社会捐赠经费,小学社会捐赠经费,普通小学社会捐赠经费,农村普通小学社会捐赠经费,成人小学社会捐赠经费,特殊教育学校社会捐赠经费,幼儿园社会捐赠经费,教育行政单位社会捐赠经费,教育事业单位社会捐赠经费,其它类别学校社会捐赠经费
2021,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,
2019,1013752.272202,,,,,,,,,,,,,,,,,,,,,,,
2018,947574.4531,,,,,,,,,,,,,,,,,,,,,,,
2017,849974.378863,,,,,,,,,,,,,,,,,,,,,,,
2016,810447.0,,,,,,,,,,,,,,,,,,,,,,,
2015,869960.0,,,,,,,,,,,,,,,,,,,,,,,
2014,796700.0,,,,,,,,,,,,,,,,,,,,,,,
2013,855445.0,,,,,,,,,,,,,,,,,,,,,,,
2012,956919.0,,,,,,,,,,,,,,,,,,,,,,,
2011,1118675.0,434533.6,431869.8,2663.8,24765.0,9057.7,13427.4,1756.8,523.1,363248.0,363154.2,186049.6,177104.6,63884.3,93.8,218536.5,218536.5,102146.3,,5220.7,50189.0,11908.9,9970.6,302.8
2010,1078839.0,299817.5,296356.5,3461.0,25514.8,8990.7,14477.6,461.4,1585.1,406118.8,406099.6,181845.8,224253.8,87611.6,19.2,260262.1,260262.1,118664.6,,6423.9,50213.9,13959.3,15895.2,633.9
2009,1254991.0,263895.0,261761.0,2134.0,38950.0,9787.0,26182.0,2678.0,303.0,529660.0,529597.0,241978.0,287620.0,118134.0,63.0,344857.0,344857.0,169537.0,,4899.0,18365.0,22306.0,29954.0,2105.0
2008,1026663.0,290000.0,286343.0,3657.0,30597.8,16353.5,12715.1,799.5,729.7,368121.0,368078.9,155033.9,213045.0,82296.8,42.1,269479.3,269479.3,123320.6,,4302.2,14505.1,22947.7,25108.3,1601.9
2007,930584.0,274666.1,271809.0,2857.1,28908.7,8636.6,18599.1,1026.6,646.4,313234.2,313203.5,129281.3,183922.2,56506.4,30.7,263987.6,263987.5,110054.1,,3751.3,15228.2,11438.6,15064.2,4305.0
2006,899078.0,,,,,,,,,,,,,,,,,,,,,,,
2005,931613.0,211955.9,210796.3,1159.6,,5536.6,,967.0,1017.4,386405.3,386379.5,,,,25.8,268410.0,268409.2,127271.2,0.8,3522.8,18842.8,,,23311.9
2004,934204.0,216321.3,215439.7,881.6,,4812.0,,313.3,880.7,401723.9,401680.5,,,,43.4,254101.8,254101.4,113534.6,0.0,4778.7,13665.3,,,23469.5
2003,1045927.0,257366.4,256375.0,991.4,,6433.0,,951.3,904.6,485117.1,485058.1,,,,59.0,254164.2,254160.7,119638.5,3.5,2454.8,12487.8,,,13485.0
2002,1272791.0,279514.3,278253.4,1260.9,,8202.9,,1158.8,2184.5,599213.5,599145.5,,,,68.0,327885.4,327884.7,175005.8,0.7,2868.3,14908.1,,,24998.2
2001,1128852.0,174307.6,172774.7,1532.9,,9630.1,,1146.7,1944.1,534870.6,534790.5,,,,80.1,356733.5,356726.4,206455.9,7.1,3081.6,14156.1,,,22053.3
2000,1139557.0,153444.3,151828.4,1615.9,,13689.0,,1480.2,2974.3,536857.3,536789.9,,,,67.4,370626.4,370592.6,215425.7,33.8,2929.2,15533.4,,,23084.9
