省份编码,省份,年份,普通小学学校数(所),普通小学招生数(万人),普通小学在校学生数(万人),普通小学毕业生数(万人),普通小学教职工数(万人),普通小学专任教师数(万人)
110000,北京市,2019,941.0,,94.1614,,,6.9339
110000,北京市,2018,970.0,,91.3216,,,6.6894
110000,北京市,2017,984.0,15.8,87.5849,12.6,,6.4514
110000,北京市,2016,984.0,,86.8417,,,6.1811
110000,北京市,2015,996.0,,85.0321,,,5.9267
110000,北京市,2014,1040.0,15.3249,82.1152,11.2819,5.8108,5.687
110000,北京市,2013,1093.0,16.5807,78.9276,11.1839,5.7832,5.4981
110000,北京市,2012,1081.0,14.1738,71.8655,10.9492,5.571,5.2472
110000,北京市,2011,1090.0,13.2719,68.0457,10.1678,5.4781,5.0867
110000,北京市,2010,1104.0,11.3728,65.3255,10.2971,6.0038,4.948
110000,北京市,2009,1160.0,10.2414,64.7101,11.073,6.0428,4.9257
110000,北京市,2008,1202.0,11.044,65.95,11.2268,6.0944,4.8696
110000,北京市,2007,1235.0,10.9203,66.6617,11.2332,6.0973,4.8192
110000,北京市,2006,1310.0,7.3138,47.3275,9.0799,6.1313,4.8207
110000,北京市,2005,1403.0,7.102,49.4482,9.3486,6.1352,4.7948
110000,北京市,2004,1504.0,7.3577,51.6042,10.0139,6.2191,4.8767
110000,北京市,2003,1652.0,8.2631,54.653,12.358,6.3174,4.9843
110000,北京市,2002,1824.0,8.6406,59.42,15.6683,6.6235,5.284
110000,北京市,2001,1960.0,9.123,66.4443,16.7076,6.8798,5.4772
110000,北京市,2000,2169.0,9.2002,74.3109,18.5059,7.1701,5.8002
120000,天津市,2019,877.0,,70.2004,,,4.6497
120000,天津市,2018,879.0,,67.3188,,,4.4785
120000,天津市,2017,857.0,,64.8049,,,4.3023
120000,天津市,2016,857.0,,63.1195,,,4.1547
120000,天津市,2015,849.0,,60.2144,,,4.0202
120000,天津市,2014,842.0,11.0186,57.3187,8.6653,4.2301,3.8968
120000,天津市,2013,838.0,10.7372,55.2116,8.6133,4.1939,3.8275
120000,天津市,2012,843.0,10.2514,53.2282,8.6548,4.1626,3.7769
120000,天津市,2011,874.0,10.0097,51.8531,8.4602,4.1825,3.7457
120000,天津市,2010,956.0,8.255,50.5895,8.7178,4.399,3.7317
120000,天津市,2009,983.0,8.1303,50.7385,9.1481,4.4999,3.7942
120000,天津市,2008,993.0,8.9027,52.0997,8.8171,4.585,3.8474
120000,天津市,2007,1003.0,8.6424,51.4284,10.534,4.6304,3.8725
120000,天津市,2006,1023.0,8.2102,51.6823,10.6075,4.7916,3.9951
120000,天津市,2005,1062.0,7.8373,53.3003,10.6447,4.9629,4.1076
120000,天津市,2004,1099.0,8.1603,55.4844,11.4771,5.0989,4.2122
120000,天津市,2003,1136.0,8.4963,58.5446,13.2022,5.2603,4.3829
120000,天津市,2002,1208.0,9.2955,62.72,13.3301,5.4237,4.4922
120000,天津市,2001,1307.0,9.5492,66.5495,14.7639,5.5311,4.5651
120000,天津市,2000,2323.0,10.0453,71.7146,15.5253,5.6948,4.6697
130000,河北省,2019,11604.0,,679.1054,,,39.5305
130000,河北省,2018,11545.0,,658.8456,,,38.0333
130000,河北省,2017,11697.0,,637.217,,,36.5877
130000,河北省,2016,11944.0,,620.5473,,,35.1408
130000,河北省,2015,12126.0,,596.2361,,,33.8901
130000,河北省,2014,12529.0,98.9758,564.2864,82.0402,33.9361,33.3537
130000,河北省,2013,12538.0,99.6124,546.2135,84.014,32.7187,31.8856
130000,河北省,2012,12898.0,106.2931,562.2191,79.6079,32.4755,31.6962
130000,河北省,2011,13274.0,103.8453,541.091,73.2753,32.5542,31.6537
130000,河北省,2010,13563.0,95.596,511.5923,72.1755,34.2373,31.9037
130000,河北省,2009,14447.0,87.5823,488.6544,73.3936,34.4343,32.1238
130000,河北省,2008,16205.0,91.4423,475.6611,80.2024,34.0315,31.6702
130000,河北省,2007,17340.0,88.5244,465.4366,93.5394,34.0019,31.5977
130000,河北省,2006,19162.0,80.0719,470.245,108.584,33.8714,31.5278
130000,河北省,2005,20883.0,72.0038,500.3578,117.4631,34.3697,32.011
130000,河北省,2004,22953.0,71.4975,547.0049,128.0862,34.8392,32.4832
130000,河北省,2003,25700.0,72.7434,606.5832,145.9161,35.2846,32.9165
130000,河北省,2002,28433.0,78.9634,674.55,152.6929,35.532,33.22
130000,河北省,2001,31529.0,93.3439,747.6512,153.7841,35.6426,33.2795
130000,河北省,2000,36465.0,107.0513,813.7268,154.9252,35.3278,32.9525
140000,山西省,2019,5312.0,,229.3318,,,16.7801
140000,山西省,2018,5445.0,,228.4991,,,16.8018
140000,山西省,2017,5646.0,37.9,228.1194,37.5,,16.9057
140000,山西省,2016,6043.0,,227.0899,,,17.1535
140000,山西省,2015,6403.0,,226.9515,,,17.2957
140000,山西省,2014,6885.0,34.7419,224.5019,38.8125,17.7147,17.684
140000,山西省,2013,8946.0,39.4203,229.6383,47.7274,18.0491,18.0548
140000,山西省,2012,10042.0,44.046,261.7602,54.727,18.5103,18.4326
