省份编码,省份,年份,普通高等学校数(所),普通高等学校招生数(万人),普通高等学校本科招生数(万人),普通高等学校专科招生数(万人),普通高等学校在校学生数(万人),普通高等学校本科在校学生数(万人),普通高等学校专科在校学生数(万人),普通高等学校预计毕业生数(万人),普通高等学校本科预计毕业生数(万人),普通高等学校专科预计毕业生数(万人),普通高等学校毕(结)业生数(万人),普通高等学校本科毕(结)业生数(万人),普通高等学校专科毕(结)业生数(万人),普通高等学校本专科授予学位数(万人)
110000,北京市,2019,93.0,15.2239,13.0851,2.1388,60.1545,52.7417,7.4128,15.7743,13.0719,2.7024,14.7074,12.1066,2.6008,12.019
110000,北京市,2018,92.0,15.1952,13.006,2.1892,59.4933,52.0899,7.4034,15.5891,12.866,2.7231,14.9183,12.0258,2.8925,11.8827
110000,北京市,2017,92.0,15.0511,12.8213,2.2298,59.2878,51.5269,7.7609,15.821,12.778,3.043,15.5444,12.1362,3.4082,11.9482
110000,北京市,2016,91.0,15.115,12.7715,2.3435,59.9188,51.1754,8.7434,16.2698,12.7542,3.5156,15.5327,12.0007,3.532,11.7728
110000,北京市,2015,91.0,15.351,12.6283,2.7227,60.3557,50.5674,9.7883,16.2402,12.5413,3.6989,15.4449,11.7651,3.6798,11.5735
110000,北京市,2014,89.0,15.6928,12.5328,3.16,60.4578,49.9256,10.5322,16.0603,12.252,3.8083,14.9231,11.5102,3.4129,11.311
110000,北京市,2013,89.0,15.9813,12.5282,3.4531,59.8904,49.1776,10.7128,15.5595,12.007,3.5525,15.0929,11.4149,3.678,11.2233
110000,北京市,2012,89.0,15.8602,12.2651,3.5951,59.1243,48.293,10.8313,15.6992,3.7853,11.9139,15.5233,11.3785,4.1448,11.1796
110000,北京市,2011,87.0,15.6862,12.0365,3.6497,58.7887,47.5492,11.2395,16.0529,11.8225,4.2304,15.3663,11.1248,4.2415,10.8719
110000,北京市,2010,87.0,15.5137,11.9821,3.5316,58.7106,46.7973,11.9133,15.9042,11.595,4.3092,15.2659,11.0081,4.2578,10.372
110000,北京市,2009,86.0,15.9829,11.8528,4.1301,58.6685,46.1369,12.5316,15.8196,11.4993,4.3203,15.5142,11.2128,4.3014,10.2164
110000,北京市,2008,85.0,15.6092,11.3683,4.2409,58.5624,45.9045,12.6579,16.0265,11.6409,4.3856,15.2179,10.5299,4.688,9.3842
