省份编码,省份,年份,特殊教育学校数(所),特殊教育招生数(万人),特殊教育在校学生数(万人),特殊教育毕业生数(万人),特殊教育教职工数(万人),特殊教育专任教师数(万人)
130000,河北省,2017,161.0,0.3124,1.7112,0.1693,,0.3319
130000,河北省,2016,160.0,0.2277,1.4589,0.1308,,0.3225
130000,河北省,2015,159.0,0.2351,1.3586,0.1419,,0.3164
130000,河北省,2014,157.0,0.2213,1.2604,0.1203,0.3694,0.3101
130000,河北省,2013,155.0,0.257,1.3109,0.1279,0.3582,0.2956
130000,河北省,2012,151.0,0.1913,1.2408,0.1202,0.3553,0.2912
130000,河北省,2011,148.0,0.1982,1.2566,0.1183,0.3444,0.28
130000,河北省,2010,149.0,0.1715,1.2415,0.0831,0.3308,0.266
130000,河北省,2009,144.0,0.2221,1.2742,0.1052,0.3191,0.2551
130000,河北省,2008,137.0,0.1855,1.2294,0.107,0.2932,0.228
130000,河北省,2007,134.0,0.1969,1.2786,0.1087,0.2843,0.221
130000,河北省,2006,124.0,0.1652,1.1495,0.1113,0.2642,0.2066
130000,河北省,2005,117.0,0.1896,1.1411,0.0911,0.2482,0.1909
130000,河北省,2004,109.0,0.1665,1.0939,0.0917,0.2337,0.1768
130000,河北省,2003,97.0,0.1794,1.3481,0.1987,0.2097,0.1605
130000,河北省,2002,93.0,0.1782,1.2337,0.1306,0.2008,0.1511
130000,河北省,2001,90.0,0.1487,1.0133,0.0979,0.1929,0.1459
130000,河北省,2000,95.0,0.1507,0.9669,0.1121,0.2203,0.1467
140000,山西省,2019,80.0,0.4046,1.8336,0.2278,,0.1924
140000,山西省,2018,76.0,0.2721,1.4398,0.1883,,0.1752
140000,山西省,2017,73.0,0.2508,1.2684,0.1662,,0.1656
140000,山西省,2016,69.0,0.205,1.077,0.1296,,0.1516
140000,山西省,2015,64.0,0.1637,0.9206,0.106,,0.1445
140000,山西省,2014,62.0,0.1411,0.8165,0.0832,0.1679,0.1432
140000,山西省,2013,56.0,0.1069,0.7146,0.1023,0.1613,0.1385
140000,山西省,2012,53.0,0.1215,0.7873,0.0882,0.1583,0.1316
140000,山西省,2011,51.0,0.1339,0.8311,0.0805,0.158,0.13
140000,山西省,2010,45.0,0.1088,0.8167,0.0895,0.1474,0.1214
140000,山西省,2009,45.0,0.1257,0.8809,0.0607,0.1427,0.1163
140000,山西省,2008,43.0,0.1049,0.789,0.0668,0.1337,0.1105
140000,山西省,2007,43.0,0.1433,0.8735,0.063,0.1318,0.1079
140000,山西省,2006,42.0,0.0914,0.5977,0.0593,0.1197,0.098
140000,山西省,2005,40.0,0.0743,0.5021,0.0483,0.1125,0.0887
140000,山西省,2004,35.0,0.0717,0.4658,0.042,0.0951,0.0771
140000,山西省,2003,36.0,0.0782,0.5852,0.0422,0.1116,0.087
140000,山西省,2002,36.0,0.1037,0.6297,0.0626,0.1123,0.0856
140000,山西省,2001,33.0,0.0973,0.564,0.0538,0.1008,0.0762
140000,山西省,2000,39.0,0.0856,0.4265,0.0604,0.117,0.0856
150000,内蒙古自治区,2019,51.0,0.2209,1.3215,0.1712,,0.1662
150000,内蒙古自治区,2018,45.0,0.2071,1.1757,0.1383,,0.1504
150000,内蒙古自治区,2017,44.0,0.2324,1.1094,0.1129,,0.1405
150000,内蒙古自治区,2016,46.0,0.1581,0.9423,0.1033,,0.1313
150000,内蒙古自治区,2015,45.0,0.1615,0.8294,0.0719,,0.1259
150000,内蒙古自治区,2014,44.0,0.12,0.6231,0.0457,0.1437,0.1209
150000,内蒙古自治区,2013,42.0,0.0701,0.4328,0.0353,0.1317,0.1121
150000,内蒙古自治区,2012,39.0,0.0874,0.4455,0.0392,0.1312,0.1103
150000,内蒙古自治区,2011,34.0,0.0879,0.4286,0.0292,0.1183,0.0982
150000,内蒙古自治区,2010,30.0,0.0564,0.3976,0.0362,0.1104,0.0916
150000,内蒙古自治区,2009,29.0,0.055,0.4122,0.0387,0.0997,0.084
150000,内蒙古自治区,2008,27.0,0.0709,0.4072,0.0563,0.0937,0.0757
150000,内蒙古自治区,2007,27.0,0.0552,0.3943,0.0294,0.0918,0.072
150000,内蒙古自治区,2006,28.0,0.0397,0.3168,0.0197,0.0887,0.0696
150000,内蒙古自治区,2005,28.0,0.0483,0.2844,0.0219,0.0842,0.0667
150000,内蒙古自治区,2004,29.0,0.0437,0.3148,0.0275,0.0827,0.0636
150000,内蒙古自治区,2003,31.0,0.0402,0.3037,0.0249,0.0813,0.061
150000,内蒙古自治区,2002,25.0,0.0506,0.3292,0.0365,0.0771,0.0577
150000,内蒙古自治区,2001,26.0,0.0418,0.3018,0.0244,0.0676,0.0512
150000,内蒙古自治区,2000,29.0,0.0476,0.3245,0.021,0.0974,0.0754
210000,辽宁省,2019,83.0,0.1979,1.3264,0.1771,,0.2201
210000,辽宁省,2018,79.0,0.1579,1.1835,0.1602,,0.2085
210000,辽宁省,2017,75.0,0.1654,1.1226,0.0989,,0.2048
210000,辽宁省,2016,75.0,0.1358,0.9296,0.1035,,0.2109
210000,辽宁省,2015,73.0,0.1047,0.8493,0.0947,,0.2042
210000,辽宁省,2014,74.0,0.0971,0.832,0.0786,0.2764,0.2049
210000,辽宁省,2013,74.0,0.0852,0.7977,0.1079,0.2657,0.202
210000,辽宁省,2012,74.0,0.0905,0.8593,0.0804,0.2648,0.1967
210000,辽宁省,2011,74.0,0.1069,0.8935,0.0926,0.2642,0.1965
210000,辽宁省,2010,74.0,0.0688,0.8921,0.0906,0.2682,0.2147
210000,辽宁省,2009,75.0,0.0846,0.8776,0.0889,0.2658,0.2095
210000,辽宁省,2008,75.0,0.0746,0.8972,0.077,0.2646,0.2064
210000,辽宁省,2007,75.0,0.0986,0.8742,0.0799,0.2598,0.2012
210000,辽宁省,2006,74.0,0.0753,0.83,0.0853,0.2589,0.1948
210000,辽宁省,2005,74.0,0.0698,0.8296,0.0971,0.2565,0.1903
210000,辽宁省,2004,75.0,0.0738,0.8539,0.0878,0.2563,0.1927
210000,辽宁省,2003,75.0,0.0803,0.8429,0.079,0.2474,0.1854
210000,辽宁省,2002,75.0,0.1082,0.8926,0.0871,0.2457,0.1829
210000,辽宁省,2001,73.0,0.0913,0.859,0.0883,0.2375,0.1743
210000,辽宁省,2000,74.0,0.0916,0.7939,0.0818,0.2754,0.2043
220000,吉林省,2019,49.0,0.2095,1.1313,0.141,,0.1649
220000,吉林省,2018,50.0,0.1867,0.9649,0.1094,,0.1662
220000,吉林省,2017,50.0,0.1466,0.8797,0.078,,0.1595
220000,吉林省,2016,49.0,0.1338,0.7484,0.0684,,0.1552
220000,吉林省,2015,47.0,0.0953,0.6015,0.0592,,0.1463
220000,吉林省,2014,47.0,0.0765,0.5403,0.0643,0.1768,0.1418
220000,吉林省,2013,47.0,0.074,0.561,0.0805,0.1717,0.1388
220000,吉林省,2012,46.0,0.0805,0.6261,0.0574,0.1751,0.1382
220000,吉林省,2011,46.0,0.0887,0.6015,0.0547,0.1752,0.1316
220000,吉林省,2010,45.0,0.1059,0.6884,0.0783,0.1736,0.1309
220000,吉林省,2009,45.0,0.0925,0.6797,0.0861,0.1794,0.1335
220000,吉林省,2008,46.0,0.0626,0.5621,0.056,0.1766,0.1319
220000,吉林省,2007,47.0,0.0897,0.6043,0.0671,0.1745,0.1278
220000,吉林省,2006,48.0,0.0428,0.4881,0.0611,0.1771,0.1232
220000,吉林省,2005,47.0,0.063,0.5489,0.0568,0.1771,0.1233
220000,吉林省,2004,48.0,0.0914,0.5555,0.0613,0.1744,0.1203
220000,吉林省,2003,45.0,0.0477,0.4748,0.0466,0.1775,0.1237
220000,吉林省,2002,48.0,0.0513,0.5516,0.0596,0.1753,0.1224
220000,吉林省,2001,48.0,0.099,0.6449,0.0846,0.1803,0.1258
220000,吉林省,2000,52.0,0.0709,0.6306,0.0685,0.1882,0.1331
230000,黑龙江省,2019,72.0,0.2568,1.5812,0.1436,,0.1997
230000,黑龙江省,2018,72.0,0.2298,1.399,0.1307,,0.192
230000,黑龙江省,2017,73.0,0.278,1.2375,0.1292,,0.1925
230000,黑龙江省,2016,73.0,0.2058,1.0862,0.1159,,0.1926
230000,黑龙江省,2015,73.0,0.1485,0.9339,0.1081,,0.1877
230000,黑龙江省,2014,74.0,0.1482,0.9101,0.1176,0.2281,0.1899
230000,黑龙江省,2013,74.0,0.1205,0.9317,0.1002,0.2253,0.185
230000,黑龙江省,2012,74.0,0.1423,1.115,0.0894,0.2312,0.1879
230000,黑龙江省,2011,73.0,0.1736,1.2963,0.0821,0.2308,0.1872
230000,黑龙江省,2010,74.0,0.1233,0.8326,0.0931,0.2312,0.1873
230000,黑龙江省,2009,72.0,0.1511,0.9706,0.1629,0.2285,0.1868
230000,黑龙江省,2008,71.0,0.1126,0.8332,0.0879,0.2295,0.1843
230000,黑龙江省,2007,71.0,0.0783,0.6358,0.0639,0.2281,0.1801
230000,黑龙江省,2006,71.0,0.08,0.6591,0.0724,0.2295,0.1799
230000,黑龙江省,2005,72.0,0.0778,0.6679,0.0669,0.229,0.1782
230000,黑龙江省,2004,73.0,0.076,0.6475,0.0566,0.2484,0.191
230000,黑龙江省,2003,71.0,0.083,0.6404,0.0536,0.2546,0.1926
230000,黑龙江省,2002,71.0,0.1024,0.7002,0.067,0.2628,0.1931
230000,黑龙江省,2001,72.0,0.0884,0.7518,0.095,0.2598,0.1899
230000,黑龙江省,2000,77.0,0.1146,0.7684,0.1025,0.2962,0.2221
310000,上海市,2019,31.0,0.1322,0.8122,0.144,,0.1385
310000,上海市,2018,30.0,0.1076,0.7435,0.1515,,0.1286
310000,上海市,2017,30.0,0.1192,0.7409,0.1684,,0.1268
310000,上海市,2016,29.0,0.0994,0.7457,0.1557,,0.1248
310000,上海市,2015,29.0,0.1002,0.7662,0.1488,,0.1239
310000,上海市,2014,29.0,0.115,0.7917,0.161,0.1587,0.1228
310000,上海市,2013,29.0,0.1147,0.8105,0.1549,0.1588,0.1207
310000,上海市,2012,29.0,0.1202,0.8138,0.1455,0.158,0.1177
310000,上海市,2011,29.0,0.1178,0.826,0.1505,0.1577,0.1158
310000,上海市,2010,29.0,0.1203,0.8811,0.1936,0.1596,0.1143
310000,上海市,2009,29.0,0.1203,0.9032,0.1912,0.1594,0.1121
310000,上海市,2008,29.0,0.1253,0.9074,0.1924,0.1612,0.1115
310000,上海市,2007,28.0,0.1285,0.9384,0.2008,0.1603,0.1092
310000,上海市,2006,28.0,0.117,0.9772,0.2294,0.1614,0.1047
310000,上海市,2005,28.0,0.1114,0.9972,0.2286,0.1598,0.1002
310000,上海市,2004,29.0,0.1193,1.0951,0.2404,0.1597,0.0978
310000,上海市,2003,31.0,0.1361,1.1563,0.2143,0.1629,0.0985
310000,上海市,2002,32.0,0.1517,1.1826,0.1747,0.1653,0.0987
310000,上海市,2001,32.0,0.151,1.2236,0.1473,0.1599,0.0946
310000,上海市,2000,34.0,0.1141,0.8893,0.0868,0.1584,0.0943
320000,江苏省,2019,104.0,0.5182,3.3083,0.4235,,0.3654
320000,江苏省,2018,102.0,0.4774,3.1151,0.383,,0.3527
320000,江苏省,2017,101.0,0.4267,2.7512,0.363,,0.3437
320000,江苏省,2016,101.0,0.3964,2.4662,0.3282,,0.3346
320000,江苏省,2015,106.0,0.3787,2.3123,0.352,,0.3285
320000,江苏省,2014,106.0,0.3403,2.2378,0.3018,0.3932,0.3242
320000,江苏省,2013,107.0,0.3491,2.3055,0.3394,0.3901,0.317
320000,江苏省,2012,107.0,0.3534,2.4702,0.3271,0.3911,0.3124
320000,江苏省,2011,108.0,0.3693,2.5517,0.327,0.3844,0.3036
320000,江苏省,2010,112.0,0.4763,2.9742,0.5228,0.3802,0.2988
320000,江苏省,2009,113.0,0.4524,3.0976,0.5343,0.3818,0.2985
320000,江苏省,2008,113.0,0.4785,3.0135,0.5173,0.373,0.289
320000,江苏省,2007,107.0,0.4132,3.0403,0.4581,0.3541,0.272
320000,江苏省,2006,107.0,0.3871,3.0004,0.4298,0.3419,0.26
320000,江苏省,2005,109.0,0.3998,3.0688,0.4277,0.339,0.2548
320000,江苏省,2004,109.0,0.3398,3.1573,0.4197,0.3379,0.2521
320000,江苏省,2003,108.0,0.3857,3.2222,0.3988,0.3346,0.2456
320000,江苏省,2002,115.0,0.4108,3.3943,0.4058,0.3334,0.2424
320000,江苏省,2001,117.0,0.4125,3.6065,0.4029,0.3039,0.2202
320000,江苏省,2000,123.0,0.3902,3.5889,0.3591,0.367,0.2742
330000,浙江省,2019,86.0,0.3521,2.0913,0.2909,,0.2852
330000,浙江省,2018,85.0,0.3479,1.9526,0.3046,,0.2589
330000,浙江省,2017,86.0,0.3069,1.8532,0.291,,0.2566
330000,浙江省,2016,84.0,0.2567,1.666,0.2598,,0.2379
330000,浙江省,2015,86.0,0.2418,1.6236,0.2367,,0.2266
330000,浙江省,2014,84.0,0.2444,1.5884,0.2101,0.2422,0.2132
330000,浙江省,2013,82.0,0.2812,1.6327,0.1777,0.2331,0.2038
330000,浙江省,2012,79.0,0.2741,1.4425,0.155,0.2185,0.1915
330000,浙江省,2011,78.0,0.2174,1.3048,0.1544,0.2095,0.1794
330000,浙江省,2010,67.0,0.1904,1.301,0.1718,0.1837,0.1586
330000,浙江省,2009,64.0,0.1649,1.2268,0.1751,0.1605,0.1351
330000,浙江省,2008,64.0,0.1864,1.2924,0.1603,0.168,0.1413
330000,浙江省,2007,63.0,0.1612,1.2993,0.1567,0.1603,0.1326
330000,浙江省,2006,63.0,0.1535,1.216,0.1717,0.1576,0.1281
330000,浙江省,2005,62.0,0.1465,1.2889,0.1782,0.1531,0.1233
330000,浙江省,2004,62.0,0.1663,1.4195,0.2124,0.1475,0.1194
330000,浙江省,2003,63.0,0.1947,1.5357,0.2561,0.1445,0.1133
330000,浙江省,2002,64.0,0.2158,1.6484,0.2603,0.1424,0.1122
330000,浙江省,2001,64.0,0.2593,1.9358,0.2783,0.1385,0.1068
330000,浙江省,2000,62.0,0.2445,1.9749,0.3701,0.1396,0.1139
340000,安徽省,2019,73.0,0.5395,3.6941,0.2759,,0.1873
340000,安徽省,2018,73.0,0.5009,3.145,0.197,,0.1748
340000,安徽省,2017,72.0,0.4983,2.7354,0.1634,,0.1647
340000,安徽省,2016,71.0,0.366,2.0921,0.1395,,0.1541
340000,安徽省,2015,68.0,0.51,1.9272,0.1257,,0.1409
340000,安徽省,2014,66.0,0.2722,1.4304,0.1189,0.1529,0.1347
340000,安徽省,2013,65.0,0.2072,1.0344,0.1132,0.15,0.1297
340000,安徽省,2012,64.0,0.2165,0.9986,0.1114,0.1507,0.1283
340000,安徽省,2011,63.0,0.1701,1.2635,0.1244,0.148,0.1239
340000,安徽省,2010,62.0,0.2203,1.3985,0.1558,0.1393,0.1174
340000,安徽省,2009,61.0,0.2435,1.5144,0.1629,0.1288,0.1069
340000,安徽省,2008,62.0,0.2278,1.6324,0.1644,0.1276,0.1034
340000,安徽省,2007,62.0,0.3533,2.0796,0.2613,0.1234,0.099
340000,安徽省,2006,63.0,0.1777,1.5761,0.1452,0.1201,0.0945
340000,安徽省,2005,67.0,0.2394,1.7957,0.2035,0.123,0.0952
340000,安徽省,2004,65.0,0.2851,1.9159,0.2225,0.1256,0.0963
340000,安徽省,2003,71.0,0.2582,1.8849,0.2032,0.1295,0.0973
340000,安徽省,2002,67.0,0.3172,1.8963,0.1874,0.1256,0.0957
340000,安徽省,2001,67.0,0.2756,1.7254,0.1799,0.1257,0.0939
340000,安徽省,2000,70.0,0.2223,1.8346,0.1907,0.1262,0.096
350000,福建省,2019,73.0,0.4962,2.6798,0.4077,,0.2216
350000,福建省,2018,72.0,0.3978,2.514,0.3872,,0.2147
350000,福建省,2017,71.0,0.4067,2.5099,0.401,,0.207
350000,福建省,2016,71.0,0.4012,2.5521,0.3666,,0.1993
350000,福建省,2015,73.0,0.4202,2.4911,0.3416,,0.1924
350000,福建省,2014,74.0,0.415,2.5104,0.3346,0.2077,0.1825
350000,福建省,2013,73.0,0.4203,2.5142,0.3441,0.1946,0.1729
350000,福建省,2012,73.0,0.435,2.7291,0.3604,0.1863,0.1636
350000,福建省,2011,71.0,0.457,2.8738,0.3649,0.1762,0.1554
350000,福建省,2010,71.0,0.4575,3.2048,0.5993,0.1815,0.1599
350000,福建省,2009,73.0,0.501,3.4097,0.6609,0.1753,0.1533
350000,福建省,2008,64.0,0.5137,3.463,0.6167,0.1679,0.1465
350000,福建省,2007,65.0,0.5573,3.497,0.6379,0.1638,0.1415
350000,福建省,2006,67.0,0.5384,3.518,0.6212,0.1589,0.1363
350000,福建省,2005,67.0,0.4596,3.5198,0.6317,0.1527,0.129
350000,福建省,2004,66.0,0.509,3.76,0.6827,0.1513,0.1259
350000,福建省,2003,77.0,0.527,4.0921,0.6677,0.1505,0.1251
350000,福建省,2002,76.0,0.5273,3.9333,0.6133,0.1535,0.1277
350000,福建省,2001,75.0,0.642,4.1563,0.7856,0.1457,0.1224
350000,福建省,2000,76.0,0.6279,4.0708,0.7483,0.1512,0.1261
360000,江西省,2019,95.0,0.693,3.7644,0.7058,,0.1767
360000,江西省,2018,94.0,0.6212,3.3788,0.5188,,0.1571
360000,江西省,2017,89.0,0.5966,3.033,0.4206,,0.1428
360000,江西省,2016,88.0,0.6253,2.8006,0.2717,,0.1322
360000,江西省,2015,88.0,0.4745,2.3761,0.1925,,0.1221
360000,江西省,2014,87.0,0.3888,1.9765,0.1638,0.1245,0.1128
360000,江西省,2013,85.0,0.3337,1.7111,0.2197,0.1158,0.1042
360000,江西省,2012,80.0,0.4094,2.151,0.1751,0.1074,0.0961
360000,江西省,2011,75.0,0.3593,2.2577,0.1917,0.099,0.0885
360000,江西省,2010,70.0,0.3609,2.3741,0.2476,0.0944,0.0843
360000,江西省,2009,69.0,0.3808,2.2979,0.2189,0.0894,0.0764
360000,江西省,2008,63.0,0.3125,2.0326,0.1913,0.0796,0.0674
360000,江西省,2007,61.0,0.2967,1.9732,0.1695,0.075,0.0639
360000,江西省,2006,60.0,0.2579,1.8625,0.1527,0.0746,0.0604
360000,江西省,2005,59.0,0.2876,1.8805,0.1551,0.0681,0.0548
360000,江西省,2004,54.0,0.3066,1.9451,0.1545,0.0631,0.0513
360000,江西省,2003,49.0,0.2262,1.4854,0.1025,0.0509,0.0413
360000,江西省,2002,50.0,0.2271,1.3353,0.1295,0.0473,0.0379
360000,江西省,2001,43.0,0.2061,1.2942,0.1282,0.048,0.0423
360000,江西省,2000,33.0,0.3421,1.3142,0.1073,0.0392,0.0329
370000,山东省,2019,150.0,0.6333,3.8986,0.4618,,0.5517
370000,山东省,2018,149.0,0.524,3.0473,0.4322,,0.5352
370000,山东省,2017,147.0,0.5375,2.8501,0.4044,,0.5183
370000,山东省,2016,146.0,0.4418,2.6324,0.3233,,0.4978
370000,山东省,2015,147.0,0.4026,2.3877,0.2935,,0.4892
370000,山东省,2014,145.0,0.3607,2.1805,0.3297,0.5724,0.4797
370000,山东省,2013,144.0,0.334,2.0946,0.2887,0.5684,0.4692
370000,山东省,2012,145.0,0.3555,2.1239,0.2793,0.57,0.4595
370000,山东省,2011,146.0,0.3387,2.1745,0.2463,0.5731,0.4585
370000,山东省,2010,145.0,0.361,2.1987,0.2794,0.5742,0.4486
370000,山东省,2009,144.0,0.2803,2.0585,0.202,0.5661,0.4401
370000,山东省,2008,144.0,0.2471,1.9659,0.2085,0.5567,0.4238
370000,山东省,2007,144.0,0.3083,2.0108,0.2412,0.5548,0.4136
370000,山东省,2006,140.0,0.212,1.513,0.168,0.5445,0.3936
370000,山东省,2005,139.0,0.1955,1.6126,0.1589,0.5236,0.3719
370000,山东省,2004,139.0,0.2113,1.6173,0.1881,0.5153,0.3622
370000,山东省,2003,138.0,0.2308,1.7154,0.2012,0.5135,0.3585
370000,山东省,2002,139.0,0.2285,1.6966,0.1887,0.5104,0.3506
370000,山东省,2001,140.0,0.2313,1.7064,0.1938,0.5088,0.3464
370000,山东省,2000,141.0,0.2163,1.6818,0.1734,0.5035,0.3389
410000,河南省,2019,150.0,1.0472,5.4849,0.3007,,0.4156
410000,河南省,2018,149.0,0.9946,4.3875,0.2406,,0.3997
410000,河南省,2017,148.0,0.6509,3.0672,0.2127,,0.3776
410000,河南省,2016,146.0,0.5076,2.3875,0.1464,,0.3604
410000,河南省,2015,144.0,0.3946,2.0117,0.175,,0.3517
410000,河南省,2014,142.0,0.3556,1.8348,0.1215,0.3957,0.3466
410000,河南省,2013,137.0,0.3312,1.6697,0.1735,0.3799,0.3264
410000,河南省,2012,132.0,0.2994,1.6689,0.2381,0.3767,0.3211
410000,河南省,2011,127.0,0.3151,1.9463,0.1697,0.3547,0.2961
410000,河南省,2010,120.0,0.3234,2.1853,0.2283,0.3401,0.2874
410000,河南省,2009,121.0,0.3076,2.1069,0.2057,0.3404,0.2872
410000,河南省,2008,120.0,0.3097,2.0743,0.1693,0.3346,0.2789
410000,河南省,2007,121.0,0.3043,2.1706,0.2035,0.3343,0.2746
410000,河南省,2006,121.0,0.2217,1.7738,0.1665,0.324,0.2656
410000,河南省,2005,123.0,0.2624,2.0287,0.1401,0.3125,0.2551
410000,河南省,2004,123.0,0.2746,1.9146,0.1786,0.3166,0.2506
410000,河南省,2003,123.0,0.2634,1.9146,0.1977,0.3194,0.251
410000,河南省,2002,122.0,0.3267,1.9913,0.1844,0.3162,0.2467
410000,河南省,2001,121.0,0.2951,1.8753,0.1815,0.3044,0.2288
410000,河南省,2000,121.0,0.4529,2.9744,0.3353,0.2929,0.2289
420000,湖北省,2019,85.0,0.5549,2.8774,0.1724,,0.1889
420000,湖北省,2018,84.0,0.285,1.6177,0.1515,,0.1799
420000,湖北省,2017,84.0,0.2294,1.3953,0.1278,,0.1765
420000,湖北省,2016,84.0,0.2413,1.1831,0.1246,,0.1741
420000,湖北省,2015,83.0,0.2047,1.1057,0.1112,,0.1682
420000,湖北省,2014,83.0,0.2113,1.108,0.1218,0.1997,0.1712
420000,湖北省,2013,80.0,0.1788,1.0576,0.1227,0.1921,0.1647
420000,湖北省,2012,77.0,0.1483,1.0557,0.1292,0.1826,0.156
420000,湖北省,2011,76.0,0.1622,1.2893,0.1535,0.1811,0.1527
420000,湖北省,2010,76.0,0.2047,1.5349,0.2261,0.1744,0.1477
420000,湖北省,2009,76.0,0.2167,1.3959,0.1675,0.1708,0.1444
420000,湖北省,2008,76.0,0.2183,1.3374,0.153,0.1694,0.1427
420000,湖北省,2007,76.0,0.1988,1.3972,0.1286,0.167,0.1383
420000,湖北省,2006,77.0,0.1316,0.9232,0.0898,0.1626,0.1337
420000,湖北省,2005,77.0,0.1038,0.9444,0.1498,0.1679,0.1317
420000,湖北省,2004,77.0,0.0966,0.7808,0.073,0.166,0.1267
420000,湖北省,2003,76.0,0.1118,0.7908,0.0774,0.1633,0.1243
420000,湖北省,2002,76.0,0.1364,0.9283,0.0944,0.1689,0.1253
420000,湖北省,2001,74.0,0.1415,0.999,0.0969,0.1665,0.1236
420000,湖北省,2000,74.0,0.1655,0.9739,0.131,0.1676,0.1231
430000,湖南省,2019,86.0,0.8262,4.7085,0.555,,0.2423
430000,湖南省,2018,85.0,0.7288,3.6544,0.473,,0.2202
430000,湖南省,2017,79.0,0.6295,3.1192,0.307,,0.1996
430000,湖南省,2016,79.0,0.5446,2.5737,0.3328,,0.1731
430000,湖南省,2015,78.0,0.4625,2.2532,0.1768,,0.1655
430000,湖南省,2014,76.0,0.2924,1.5697,0.1202,0.1826,0.1527
430000,湖南省,2013,69.0,0.224,1.0097,0.1286,0.1733,0.1403
430000,湖南省,2012,61.0,0.1812,1.0184,0.1058,0.1673,0.1349
430000,湖南省,2011,58.0,0.2358,1.2673,0.1049,0.1656,0.1325
430000,湖南省,2010,54.0,0.2174,1.3209,0.1378,0.1531,0.1168
430000,湖南省,2009,51.0,0.2246,1.3996,0.1606,0.1397,0.1074
430000,湖南省,2008,50.0,0.2443,1.399,0.1551,0.1338,0.1015
430000,湖南省,2007,51.0,0.2317,1.3188,0.1538,0.1314,0.1007
430000,湖南省,2006,52.0,0.1347,0.8898,0.0937,0.1245,0.0945
430000,湖南省,2005,53.0,0.12,0.9372,0.0766,0.1243,0.0948
430000,湖南省,2004,54.0,0.345,1.6725,0.3136,0.125,0.0958
430000,湖南省,2003,55.0,0.2154,1.3634,0.2192,0.1219,0.0923
430000,湖南省,2002,54.0,0.2244,1.4294,0.1574,0.1236,0.0922
430000,湖南省,2001,59.0,0.2194,1.4635,0.1273,0.1201,0.0905
