省份编码,省份,年份,特殊教育学校数(所),特殊教育招生数(万人),特殊教育在校学生数(万人),特殊教育毕业生数(万人),特殊教育教职工数(万人),特殊教育专任教师数(万人)
110000,北京市,2019,20.0,0.1026,0.6962,0.1386,,0.0993
110000,北京市,2018,21.0,0.0998,0.6407,0.1454,,0.0966
110000,北京市,2017,21.0,0.0907,0.644,0.1545,,0.0993
110000,北京市,2016,22.0,0.0916,0.6927,0.1588,,0.1036
110000,北京市,2015,22.0,0.093,0.7136,0.1786,,0.0979
110000,北京市,2014,22.0,0.111,0.7742,0.1997,0.1278,0.0966
110000,北京市,2013,22.0,0.1156,0.8348,0.1706,0.1253,0.0935
110000,北京市,2012,22.0,0.119,0.8118,0.1747,0.1231,0.0898
110000,北京市,2011,21.0,0.1049,0.8037,0.1691,0.1159,0.0862
110000,北京市,2010,21.0,0.0967,0.7981,0.1914,0.1201,0.0906
110000,北京市,2009,24.0,0.0861,0.7921,0.1734,0.116,0.0844
110000,北京市,2008,24.0,0.0959,0.7926,0.1576,0.1166,0.085
110000,北京市,2007,24.0,0.0864,0.7473,0.1384,0.1099,0.0782
110000,北京市,2006,24.0,0.0643,0.6448,0.1152,0.1085,0.0783
110000,北京市,2005,25.0,0.0635,0.6353,0.1043,0.1,0.0738
110000,北京市,2004,23.0,0.0796,0.6412,0.1276,0.0975,0.072
110000,北京市,2003,25.0,0.0647,0.6177,0.1007,0.0929,0.0667
110000,北京市,2002,23.0,0.0686,0.6488,0.1032,0.0918,0.0681
110000,北京市,2001,22.0,0.0694,0.6394,0.1184,0.0888,0.0641
110000,北京市,2000,24.0,0.0824,0.7807,0.1347,0.0894,0.0644
120000,天津市,2019,21.0,0.0878,0.4923,0.051,,0.0662
120000,天津市,2018,20.0,0.0667,0.4491,0.054,,0.0634
120000,天津市,2017,20.0,0.0549,0.3987,0.0325,,0.0624
120000,天津市,2016,20.0,0.047,0.3489,0.037,,0.062
120000,天津市,2015,20.0,0.0409,0.3279,0.0305,,0.0601
120000,天津市,2014,20.0,0.0529,0.3016,0.0273,0.0781,0.0599
120000,天津市,2013,20.0,0.0418,0.298,0.034,0.0779,0.0598
120000,天津市,2012,20.0,0.0536,0.2963,0.0311,0.0739,0.0575
120000,天津市,2011,20.0,0.0333,0.2647,0.027,0.071,0.0535
120000,天津市,2010,20.0,0.0359,0.257,0.0393,0.0607,0.045
120000,天津市,2009,20.0,0.0244,0.252,0.033,0.0612,0.046
120000,天津市,2008,21.0,0.0217,0.2393,0.0347,0.0604,0.0452
120000,天津市,2007,20.0,0.022,0.2429,0.0332,0.0589,0.043
120000,天津市,2006,21.0,0.0191,0.2504,0.0413,0.0603,0.0436
120000,天津市,2005,24.0,0.0182,0.2608,0.0397,0.07,0.0484
120000,天津市,2004,22.0,0.0239,0.2643,0.0439,0.0686,0.0457
120000,天津市,2003,22.0,0.023,0.3167,0.0535,0.0711,0.0458
120000,天津市,2002,22.0,0.0307,0.3482,0.0533,0.0715,0.0479
120000,天津市,2001,22.0,0.0325,0.3737,0.0536,0.064,0.0446
120000,天津市,2000,24.0,0.0276,0.2567,0.0503,0.0658,0.0461
130000,河北省,2019,163.0,0.5733,2.9459,0.301,,0.353
130000,河北省,2018,162.0,0.4089,2.067,0.2011,,0.3422
