省份编码,省份,年份,普通高等学校教职工总数(万人),普通高等学校校本部教职工数(万人),普通高等学校专任教师数(万人),普通高等学校正高级专任教师数(万人),普通高等学校副高级专任教师数(万人),普通高等学校中级专任教师数(万人),普通高等学校初级专任教师数(万人),普通高等学校无职称专任教师数(万人),普通高等学校校本部行政人员数(万人),普通高等学校校本部教辅人员数(万人),普通高等学校校本部工勤人员数(万人)
110000,北京市,2019,14.5308,12.8965,7.1997,2.1112,2.5757,2.1043,0.1969,0.2116,2.6125,1.7689,1.3154
110000,北京市,2018,14.3255,12.4992,7.1095,2.0378,2.5302,2.1184,0.2072,0.2159,2.5265,1.696,1.1672
110000,北京市,2017,14.2197,12.3789,6.9715,1.9697,2.467,2.1569,0.2159,0.162,2.4023,1.7572,1.2479
110000,北京市,2016,14.2953,12.4205,7.0013,1.9944,2.4245,2.1789,0.242,0.1615,2.3257,1.8102,1.2833
110000,北京市,2015,14.244,12.3971,6.8739,1.7915,2.4699,2.1917,0.2426,0.1782,2.2918,1.8652,1.3662
110000,北京市,2014,14.2267,12.3273,6.838,1.7433,2.4182,2.2226,0.2709,0.183,2.3047,1.7872,1.3974
110000,北京市,2013,13.9305,12.1783,6.6871,1.6611,2.3257,2.2362,0.2786,0.1855,2.2617,1.7721,1.4574
110000,北京市,2012,13.8776,11.3977,6.0852,1.3091,2.1089,2.2064,0.2865,0.1743,2.2355,1.6972,1.3798
110000,北京市,2011,13.1583,11.3055,5.9592,1.234,2.0173,2.2213,0.3109,0.1757,2.1362,1.6582,1.5519
110000,北京市,2010,13.3874,11.4886,5.9248,1.1869,1.9663,2.2151,0.3394,0.2171,2.2232,1.6967,1.6439
110000,北京市,2009,13.1184,11.1784,5.8007,1.1424,1.9113,2.1513,0.4109,0.1848,2.1988,1.6495,1.5294
110000,北京市,2008,12.9237,10.6212,5.5909,1.0816,1.8275,2.0198,0.4424,0.2196,2.1589,1.3267,1.5447
110000,北京市,2007,12.4799,,5.4586,1.046,1.776,1.9003,0.4948,0.2415,,,
110000,北京市,2006,11.8927,,5.1558,0.9615,1.7051,1.7345,0.4995,0.2552,,,
110000,北京市,2005,11.4253,,4.8815,,,,,,,,
110000,北京市,2004,10.8284,,4.3476,,,,,,,,
110000,北京市,2003,10.8843,,4.1904,,,,,,,,
110000,北京市,2002,9.8342,,3.467,,,,,,,,
110000,北京市,2001,10.4707,,3.552,,,,,,,,
110000,北京市,2000,10.5154,,3.4863,,,,,,,,
120000,天津市,2019,4.8319,4.7671,3.2651,0.5053,1.0573,1.3062,0.2293,0.167,0.882,0.459,0.161
120000,天津市,2018,4.7468,4.6782,3.1362,0.4948,1.035,1.2699,0.1816,0.1549,0.8716,0.468,0.2024
120000,天津市,2017,4.7143,4.5731,3.106,0.481,1.0134,1.2424,0.214,0.1552,0.7946,0.4461,0.2264
120000,天津市,2016,4.6233,4.5365,3.0509,0.4748,0.9751,1.2198,0.2475,0.1337,0.7727,0.4624,0.2505
120000,天津市,2015,4.7077,4.6136,3.1128,0.4762,1.0059,1.2067,0.2892,0.1348,0.7718,0.4447,0.2843
120000,天津市,2014,4.7043,4.6026,3.1008,0.4599,1.002,1.213,0.3014,0.1245,0.7505,0.4444,0.3069
