省份编码,省份,年份,中等职业学校招生数(万人),中等职业学校初中毕业数(万人),中等职业学校应届初中毕业生数(万人),中等职业学校在校学生数(万人),中等职业学校毕业生数(万人),中等职业学校获得职业资格证书毕业生数(万人),中等职业学校预计毕业生数(万人)
110000,北京市,2019,1.2578,,,4.9356,2.2939,0.9377,1.8586
110000,北京市,2018,1.4373,,,6.2299,2.6037,1.3351,2.4645
110000,北京市,2017,1.9422,,,7.4511,2.8981,1.8042,2.6723
110000,北京市,2016,2.3409,,,8.578,2.9837,2.115,2.5529
110000,北京市,2015,2.7108,,,9.6277,4.1401,2.8342,3.4069
110000,北京市,2014,2.9765,,,12.6019,6.6964,3.73,5.5207
110000,北京市,2013,5.5427,,,16.4892,7.5618,6.064,7.8492
110000,北京市,2012,6.4076,,,18.974,5.8915,3.3608,6.9983
110000,北京市,2011,6.1507,,,16.8982,5.1112,2.8439,5.7886
110000,北京市,2010,5.0586,4.1684,3.9191,16.1806,5.1325,2.7397,5.3977
110000,北京市,2009,4.9783,4.7416,3.9371,16.1598,5.6788,3.0973,5.4561
110000,北京市,2008,4.5375,3.8823,3.7992,17.4586,5.7901,3.1401,6.0672
110000,北京市,2007,5.0257,4.2998,4.1339,18.7823,6.0581,3.2175,6.0827
110000,北京市,2006,5.4165,5.1252,4.8613,19.9063,6.0968,2.9709,6.2605
110000,北京市,2005,6.3637,6.1545,5.8044,20.8554,6.1837,3.0295,6.1953
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,2.4971,,,8.0942,3.0005,2.2937,3.13
120000,天津市,2018,2.7516,,,9.0666,3.2446,2.5017,3.4868
120000,天津市,2017,3.0316,,,9.8415,2.9111,2.3553,3.5298
120000,天津市,2016,3.7366,,,10.1055,3.1055,2.6558,3.1064
120000,天津市,2015,3.7991,,,9.7682,3.0618,2.46,3.4503
120000,天津市,2014,3.0768,,,9.3841,3.3249,2.8858,3.3817
120000,天津市,2013,3.3786,,,9.7443,3.927,3.1939,3.4365
120000,天津市,2012,3.4835,,,10.5735,3.7107,1.8277,4.0604
120000,天津市,2011,3.5046,,,10.8094,4.0355,1.8597,3.8588
120000,天津市,2010,3.8731,3.3216,3.1172,11.6107,5.1481,2.3892,4.2968
120000,天津市,2009,4.183,3.7966,3.0857,13.0478,5.6138,2.5784,5.5343
120000,天津市,2008,4.213,3.4816,3.266,14.6486,5.0633,1.9859,5.9844
120000,天津市,2007,4.0726,3.9411,3.8382,13.8633,4.1814,1.5538,4.8586
120000,天津市,2006,4.1647,4.0056,3.9351,13.6779,4.0614,1.6451,4.7766
120000,天津市,2005,4.4153,4.3393,4.1998,13.5426,3.7749,1.5288,4.3547
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,31.5647,,,77.4629,24.4988,18.4967,27.09
130000,河北省,2018,27.5767,,,72.4282,23.0532,16.7024,25.0355
130000,河北省,2017,28.7128,,,70.6167,22.0087,16.031,23.8023
130000,河北省,2016,27.4261,,,65.8083,19.6609,15.204,22.5845
130000,河北省,2015,24.3165,,,61.2891,25.4142,19.3059,20.2643
130000,河北省,2014,22.4076,,,65.5366,29.7687,20.9301,26.2992
130000,河北省,2013,22.0896,,,75.2285,33.71,23.3535,30.4227
130000,河北省,2012,29.9526,,,93.4042,38.8585,17.6417,34.1903
130000,河北省,2011,35.6853,,,106.5994,35.5816,18.071,39.2227
130000,河北省,2010,40.9522,34.7659,29.5431,112.0517,34.8186,18.0608,35.6514
130000,河北省,2009,45.2436,37.9153,32.4227,110.3881,34.8086,16.0364,35.9581
130000,河北省,2008,40.6513,36.4757,34.1079,105.5814,31.2073,15.0948,35.3238
130000,河北省,2007,41.0142,36.9656,35.5255,101.9954,27.7234,13.2895,31.7019
130000,河北省,2006,37.6818,35.5866,34.769,90.4003,23.6419,11.3711,26.9334
130000,河北省,2005,35.3544,33.123,32.3375,81.0472,21.243,8.7869,23.739
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,10.6945,,,29.6674,10.7153,9.1546,10.1186
140000,山西省,2018,10.0471,,,30.2107,11.1831,9.6798,11.0896
140000,山西省,2017,10.9692,,,32.9291,11.1375,9.7569,12.0429
140000,山西省,2016,11.1013,,,33.7947,12.9594,10.6991,11.9565
140000,山西省,2015,11.8877,,,36.6833,13.613,11.5502,13.8122
140000,山西省,2014,13.1843,,,39.9157,15.4227,12.2853,14.7958
140000,山西省,2013,14.2943,,,43.6393,15.9749,12.9099,15.548
140000,山西省,2012,17.2417,,,48.3237,17.11,11.7057,16.0642
140000,山西省,2011,17.6188,,,50.8529,19.3887,11.5261,18.8591
140000,山西省,2010,23.6507,18.5227,14.3871,57.521,18.1814,10.2637,19.4844
140000,山西省,2009,23.5084,18.113,16.9816,55.2169,15.2871,9.5133,19.2066
140000,山西省,2008,19.2899,17.3999,16.765,50.5659,14.8896,8.4555,16.5927
140000,山西省,2007,20.2538,18.1314,16.7597,48.7984,13.3543,7.486,15.227
140000,山西省,2006,17.2982,15.2713,14.3119,43.8345,10.9527,6.4602,14.0994
140000,山西省,2005,14.0586,13.4073,12.8063,36.1634,10.0235,5.8506,10.8067
140000,山西省,2004,,,,,,,
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,5.7572,,,16.8536,5.9815,3.1533,5.7851
150000,内蒙古自治区,2018,5.7496,,,18.1488,6.0611,3.478,6.1604
150000,内蒙古自治区,2017,6.7913,,,19.262,6.7326,4.6608,6.3667
150000,内蒙古自治区,2016,7.1807,,,20.2672,6.9116,5.0712,6.8444
150000,内蒙古自治区,2015,7.6159,,,21.4555,8.2938,6.2574,7.4161
150000,内蒙古自治区,2014,8.24,,,23.1865,8.1296,5.654,7.7801
150000,内蒙古自治区,2013,8.3852,,,24.5414,9.5508,7.1732,8.3589
150000,内蒙古自治区,2012,9.6021,,,27.5527,10.9495,5.0544,9.742
150000,内蒙古自治区,2011,10.5862,,,30.7919,9.1335,4.3558,11.0039
150000,内蒙古自治区,2010,12.4227,10.093,8.2169,33.472,8.5296,4.796,9.2064
150000,内蒙古自治区,2009,16.1552,11.4783,9.2771,32.6956,7.7083,3.7938,8.6808
150000,内蒙古自治区,2008,10.6285,9.541,9.0309,26.9339,7.4932,3.5432,7.9863
150000,内蒙古自治区,2007,11.4021,10.1214,9.5432,26.4987,6.2121,2.5459,7.7267
150000,内蒙古自治区,2006,8.7751,8.1309,7.787,21.7044,6.0433,2.0522,6.4043
150000,内蒙古自治区,2005,8.4486,8.1504,7.3607,19.9875,5.5109,1.9959,5.9913
150000,内蒙古自治区,2004,,,,,,,
150000,内蒙古自治区,2003,,,,,,,
150000,内蒙古自治区,2002,,,,,,,
150000,内蒙古自治区,2001,,,,,,,
150000,内蒙古自治区,2000,,,,,,,
210000,辽宁省,2019,8.6152,,,26.5089,9.9924,5.0529,9.9319
210000,辽宁省,2018,8.0526,,,28.6095,9.8698,5.4666,10.316
210000,辽宁省,2017,10.3382,,,31.4385,9.6048,6.2861,10.303
210000,辽宁省,2016,11.2032,,,31.8885,10.6649,6.9623,10.1351
210000,辽宁省,2015,11.1181,,,32.5311,10.7471,7.3475,11.2266
210000,辽宁省,2014,10.827,,,33.322,11.5269,8.1742,11.3908
210000,辽宁省,2013,11.7987,,,34.9912,12.7767,8.3504,12.0537
210000,辽宁省,2012,12.1355,,,38.0601,13.1308,6.5801,13.5443
210000,辽宁省,2011,13.4577,,,40.7577,14.2226,6.8826,13.915
210000,辽宁省,2010,14.4448,13.0182,11.5422,42.7773,14.2613,7.0382,14.7071
210000,辽宁省,2009,15.4523,14.0806,12.797,44.3912,14.7303,7.1731,14.876
210000,辽宁省,2008,16.303,14.8469,13.693,45.8954,12.9789,6.4047,15.2202
210000,辽宁省,2007,16.5222,14.8679,13.8135,44.9385,13.0513,6.1565,13.6399
210000,辽宁省,2006,17.2162,16.096,15.1979,44.1932,12.5932,5.6984,13.5824
210000,辽宁省,2005,16.0681,15.1312,14.4873,43.1756,12.1551,5.1848,13.2877
210000,辽宁省,2004,,,,,,,
210000,辽宁省,2003,,,,,,,
210000,辽宁省,2002,,,,,,,
210000,辽宁省,2001,,,,,,,
210000,辽宁省,2000,,,,,,,
220000,吉林省,2019,4.3755,,,11.7863,4.3181,1.7636,4.1096
220000,吉林省,2018,3.509,,,12.0897,4.1718,2.0633,4.416
220000,吉林省,2017,4.4566,,,13.1774,3.8899,2.4218,4.3109
220000,吉林省,2016,4.6958,,,12.9856,4.892,2.9499,3.9879
