省份编码,省份,年份,每十万人口幼儿园平均在校生数(人),每十万人口小学平均在校生数(人),每十万人口初中阶段平均在校生数(人),每十万人口高中阶段平均在校生数(人),每十万人口高等学校平均在校生数(人)
150000,内蒙古自治区,2017,2540.0,5260.0,2455.0,2559.0,1969.0
150000,内蒙古自治区,2016,2419.4703305456,5329.0880127439,2438.773397053,2668.7455197133,1936.6746316209
150000,内蒙古自治区,2015,2368.8303393214,5244.0518962076,2553.4850299401,2779.3532934132,2035.3413173653
150000,内蒙古自治区,2014,2238.191711276,5190.7783841352,2681.1912188052,2940.9835803028,2155.7008500126
150000,内蒙古自治区,2013,2070.45381526104,5263.43373493976,2764.9156626506,3047.5421686747,2136.859437751
150000,内蒙古自治区,2012,1983.0,5501.0,3007.0,3206.0,2042.0
150000,内蒙古自治区,2011,1813.11488673139,5684.95954692557,3201.50080906149,3329.9716828479,1920.35598705502
150000,内蒙古自治区,2010,1572.0,5907.0,3364.0,3581.0,1884.0
150000,内蒙古自治区,2009,1400.52532801929,6185.50127810484,3477.60934321569,3644.46313382193,1794.09461704499
150000,内蒙古自治区,2008,1275.97505197505,6456.16632016632,3639.71725571726,3488.10395010395,1649.76715176715
150000,内蒙古自治区,2007,,,,,
150000,内蒙古自治区,2006,,,,,
150000,内蒙古自治区,2005,,,,,
150000,内蒙古自治区,2004,,,,,
150000,内蒙古自治区,2003,,,,,
150000,内蒙古自治区,2002,,,,,
150000,内蒙古自治区,2001,,,,,
150000,内蒙古自治区,2000,,,,,
210000,辽宁省,2019,2099.0,4475.0,2328.0,2135.09061711402,3136.0
210000,辽宁省,2018,2091.0,4474.0,2255.0,2195.0,2866.0
210000,辽宁省,2017,2179.0,4445.0,2201.0,2303.0,2859.0
210000,辽宁省,2016,2082.884527613,4538.2952989503,2232.5376540393,2296.9420356002,2844.84710178
210000,辽宁省,2015,2074.3110908677,4553.7781826463,2306.864040082,2334.0833523116,2876.2810293783
210000,辽宁省,2014,1990.7312072893,4520.8041002278,2404.6947608201,2427.0091116173,2932.5216400911
210000,辽宁省,2013,1950.66529961267,4657.22943722944,2409.40533151059,2538.95876053771,2903.31282752335
210000,辽宁省,2012,1961.0,4859.0,2589.0,2675.0,2811.0
210000,辽宁省,2011,1970.19657142857,4955.59771428571,2733.70742857143,2797.03314285714,2711.50171428571
210000,辽宁省,2010,1932.0,5053.0,2946.0,2900.0,2671.0
210000,辽宁省,2009,1806.31330104063,5228.58367905069,3150.84246876956,2946.95112058776,2659.32046260458
210000,辽宁省,2008,1723.60167519777,5508.02698929735,3344.74872033504,3021.19357840856,2620.51419264774
210000,辽宁省,2007,,,,,
210000,辽宁省,2006,,,,,
210000,辽宁省,2005,,,,,
210000,辽宁省,2004,,,,,
210000,辽宁省,2003,,,,,
210000,辽宁省,2002,,,,,
210000,辽宁省,2001,,,,,
210000,辽宁省,2000,,,,,
220000,吉林省,2019,1522.0,4385.0,2421.0,2134.49704142012,3373.0
220000,吉林省,2018,1543.0,4424.0,2431.0,2076.0,3131.0
220000,吉林省,2017,1666.0,4494.0,2264.0,2123.0,3038.0
220000,吉林省,2016,1683.4180893571,4592.121322194,2194.9763893934,2040.4867417363,3048.0203414457
220000,吉林省,2015,1684.7638081395,4650.3125,2163.9462209302,2110.8902616279,3169.3822674419
220000,吉林省,2014,1679.2256695066,4611.6861969701,2263.9753133087,2206.6928847664,3168.0308801721
220000,吉林省,2013,1607.03272727273,4952.24727272727,2345.42909090909,2513.18909090909,3032.60363636364
220000,吉林省,2012,1574.0,5178.0,2534.0,2730.0,2889.0
220000,吉林省,2011,1676.03567528213,5239.30469603204,2735.82817619221,2874.08445576993,2806.7673825992
220000,吉林省,2010,1252.0,5273.0,3011.0,2944.0,2716.0
220000,吉林省,2009,1192.26773957571,5344.18068763716,3208.98317483541,3052.7139722019,2695.39136795903
220000,吉林省,2008,1168.78388278388,5497.08058608059,3381.24175824176,2937.43956043956,2659.0695970696
220000,吉林省,2007,,,,,
220000,吉林省,2006,,,,,
220000,吉林省,2005,,,,,
220000,吉林省,2004,,,,,
220000,吉林省,2003,,,,,
220000,吉林省,2002,,,,,
220000,吉林省,2001,,,,,
220000,吉林省,2000,,,,,
230000,黑龙江省,2019,1351.0,3389.0,2422.0,2054.40763318314,2531.0
230000,黑龙江省,2018,1378.0,3481.0,2462.0,2079.0,2405.0
230000,黑龙江省,2017,1472.0,3623.0,2380.0,2158.0,2403.0
230000,黑龙江省,2016,1385.3357817419,3775.9207764953,2371.1516264428,2193.166316894,2427.1537250787
230000,黑龙江省,2015,1388.69292982,3855.9666057918,2347.5163057657,2312.6063135925,2517.9441690582
230000,黑龙江省,2014,1397.2652033105,3874.8585405031,2389.278282773,2380.8532941158,2555.0453452655
