省份编码,省份,年份,教育经费(万元),国家财政性教育经费(万元),国家财政预算内教育经费(万元),民办学校办学经费(万元),教育经费社会捐赠经费(万元),教育经费事业收入(万元),教育经费学杂费(万元),其他教育经费(万元)
110000,北京市,2019,14794779.698358,12791459.672422,,8905.525309,5504.5396,1876697.577554,1536289.031682,112212.383473
110000,北京市,2018,13525400.3701,11661674.2436,,8710.7598,6503.3197,1651516.3406,1331357.5644,196995.7065
110000,北京市,2017,12512746.3239,10863393.9919,,6367.940522,9340.731353,1478755.76262,1201614.51644,154887.897508
110000,北京市,2016,11934724.0,10491718.0,,9261.0,10879.0,1299205.0,1034188.0,123662.0
110000,北京市,2015,11171250.0,9810774.0,,10685.0,9623.0,1177133.0,925848.0,163034.0
110000,北京市,2014,10937374.0,9683640.0,,10529.0,10431.0,1048953.0,833849.0,183820.0
110000,北京市,2013,9998365.9,8941898.8,,3384.4,8560.1,855342.8,748212.1,189179.8
110000,北京市,2012,,,,,,,,
110000,北京市,2011,7373843.2,6277348.4,5577282.6,2893.9,42607.9,851454.5,622422.8,199538.5
110000,北京市,2010,6134448.4,5136580.1,4693181.9,6529.2,48389.0,807999.7,578990.9,134950.4
110000,北京市,2009,5289432.0,4332698.0,4006230.0,5208.0,53682.0,757151.0,503559.0,140694.0
110000,北京市,2008,4690165.9,3833067.8,3518412.9,13447.0,42640.3,677724.4,474316.8,123286.4
110000,北京市,2007,4077284.3,3175974.9,2935077.6,8623.0,35123.0,689122.9,449661.3,168440.5
110000,北京市,2006,3374329.1,2542281.0,2302953.4,,43710.9,,257387.5,119350.9
110000,北京市,2005,5227188.0,3357549.6,3102584.8,,71549.4,,597106.5,1095926.5
110000,北京市,2004,4492628.4,2983476.1,2769010.7,,60087.9,,556170.6,855148.2
110000,北京市,2003,3928773.6,2523392.4,2319631.6,,52207.0,,468168.5,822591.2
110000,北京市,2002,3538686.4,2194372.8,2017388.5,,103802.7,,386539.3,819394.7
110000,北京市,2001,3192212.0,2160968.0,1973772.7,,76185.5,,319944.9,605038.9
110000,北京市,2000,2503068.0,1698275.3,1534733.7,,88387.0,,230579.9,456895.8
120000,天津市,2019,6270838.509654,5188454.037177,,41780.735684,3945.478131,900306.477785,775476.339684,136351.780877
120000,天津市,2018,6351712.0731,5343469.4262,,6098.7797,3714.123,851290.742,725140.0036,147139.0021
120000,天津市,2017,5850623.93863,4951367.35322,,3825.976,5336.090519,804001.011326,676658.530847,86093.50757
120000,天津市,2016,5365129.0,4530501.0,,2168.0,3656.0,736267.0,610873.0,92537.0
120000,天津市,2015,5605736.0,4775063.0,,2613.0,3194.0,720132.0,586885.0,104735.0
120000,天津市,2014,6326265.0,5532759.0,,2948.0,4864.0,701025.0,562871.0,84668.0
120000,天津市,2013,5699615.1,4986020.8,,781.8,7630.5,632387.2,529024.6,72794.8
120000,天津市,2012,,,,,,,,
120000,天津市,2011,4136097.2,3389119.7,2920630.5,239.0,5531.1,594113.7,436349.9,147093.7
120000,天津市,2010,2920970.1,2270774.4,2103847.1,1163.4,6218.4,553129.0,364134.4,89684.9
120000,天津市,2009,2381672.0,1803943.0,1677781.0,3786.0,7210.0,505972.0,359736.0,60761.0
120000,天津市,2008,2060842.6,1493682.3,1371558.7,3093.8,11329.1,486470.4,353328.0,66267.0
120000,天津市,2007,1657108.4,1148940.0,1050730.0,635.0,3112.4,448370.3,264956.2,56050.7
