省份编码,省份,年份,中等职业学校(机构)教职工总数(万人),中等职业学校(机构)校本部教职工数(万人),中等职业学校(机构)专任教师数(万人),中等职业学校(机构)校本部行政人员数(万人),中等职业学校(机构)校本部教辅人员数(万人),中等职业学校(机构)校本部工勤人员数(万人),中等职业学校(机构)校办企业职工数(万人),中等职业学校(机构)其他附设机构人员数(万人),中等职业学校(机构)聘请校外教师数(万人)
110000,北京市,2019,0.9322,,0.6019,,,,,,
110000,北京市,2018,0.9507,,0.6147,,,,,,
110000,北京市,2017,0.9824,,0.6338,,,,,,
110000,北京市,2016,1.0452,,0.6681,,,,,,
110000,北京市,2015,1.123,,0.7048,,,,,,
110000,北京市,2014,1.1674,1.152,0.7199,0.2079,0.1151,0.1091,0.0014,0.014,0.1315
110000,北京市,2013,1.1926,1.1722,0.718,0.2308,0.1036,0.1198,0.0016,0.0188,0.1431
110000,北京市,2012,1.2164,1.1953,0.7254,0.2301,0.1086,0.1312,0.0027,0.0184,0.1451
110000,北京市,2011,1.3332,1.3172,0.7787,0.2607,0.1179,0.1599,0.0018,0.0142,0.1534
110000,北京市,2010,1.4625,1.4335,0.839,0.2933,0.1202,0.181,0.0048,0.0242,0.1522
110000,北京市,2009,1.5371,1.5078,0.8669,0.3042,0.1373,0.1994,0.0043,0.025,0.1503
110000,北京市,2008,1.6129,1.5762,0.8852,0.338,0.1458,0.2072,0.0061,0.0306,0.142
110000,北京市,2007,,,,,,,,,
110000,北京市,2006,,,,,,,,,
110000,北京市,2005,,,,,,,,,
110000,北京市,2004,,,,,,,,,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,0.7972,,0.5782,,,,,,
120000,天津市,2018,0.8077,,0.5839,,,,,,
120000,天津市,2017,0.8421,,0.6108,,,,,,
120000,天津市,2016,0.8753,,0.6458,,,,,,
120000,天津市,2015,0.9121,,0.6496,,,,,,
120000,天津市,2014,0.9506,0.9407,0.6734,0.1551,0.0531,0.0591,0.005,0.0049,0.0957
120000,天津市,2013,0.9798,0.9694,0.6939,0.1578,0.0553,0.0624,0.0051,0.0053,0.1012
120000,天津市,2012,1.0449,1.0344,0.7363,0.1665,0.0591,0.0725,0.0054,0.0051,0.1098
120000,天津市,2011,1.0662,1.0558,0.7437,0.1685,0.0657,0.0779,0.0056,0.0048,0.1049
120000,天津市,2010,1.15,1.1378,0.7891,0.1805,0.0784,0.0898,0.0046,0.0076,0.108
120000,天津市,2009,1.2012,1.1912,0.8241,0.1844,0.0868,0.0959,0.0054,0.0046,0.1254
120000,天津市,2008,1.2022,1.1907,0.8064,0.1955,0.0792,0.1096,0.0061,0.0054,0.158
120000,天津市,2007,,,,,,,,,
120000,天津市,2006,,,,,,,,,
120000,天津市,2005,,,,,,,,,
120000,天津市,2004,,,,,,,,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,6.0704,,4.8484,,,,,,
130000,河北省,2018,5.9202,,4.6588,,,,,,
130000,河北省,2017,5.8789,,4.6119,,,,,,
130000,河北省,2016,5.7652,,4.4873,,,,,,
130000,河北省,2015,5.6873,,4.3936,,,,,,
130000,河北省,2014,5.75,5.725,4.4228,0.5236,0.4024,0.3762,0.0094,0.0156,0.3221
130000,河北省,2013,5.7812,5.7576,4.4211,0.5472,0.4075,0.3818,0.0153,0.0083,0.3384
130000,河北省,2012,5.9944,5.9666,4.5704,0.5635,0.4226,0.4101,0.0182,0.0096,0.3724
130000,河北省,2011,6.4403,6.3963,4.8323,0.6418,0.4607,0.4615,0.0239,0.0201,0.413
130000,河北省,2010,6.7544,6.6903,4.9074,0.7093,0.5238,0.5498,0.0385,0.0256,0.4674
130000,河北省,2009,6.8061,6.7195,4.7982,0.7775,0.5478,0.596,0.0478,0.0388,0.4941
130000,河北省,2008,7.0274,6.8692,4.8204,0.8345,0.5793,0.635,0.1024,0.0558,0.5666
130000,河北省,2007,,,,,,,,,
130000,河北省,2006,,,,,,,,,
130000,河北省,2005,,,,,,,,,
130000,河北省,2004,,,,,,,,,
130000,河北省,2003,,,,,,,,,
130000,河北省,2002,,,,,,,,,
130000,河北省,2001,,,,,,,,,
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,2.9157,,2.3248,,,,,,
140000,山西省,2018,2.9445,,2.3374,,,,,,
140000,山西省,2017,3.1852,,2.5196,,,,,,
140000,山西省,2016,3.257,,2.5475,,,,,,
140000,山西省,2015,3.285,,2.5353,,,,,,
140000,山西省,2014,3.283,3.2571,2.5127,0.2896,0.2133,0.2415,0.0083,0.0176,0.4572
140000,山西省,2013,3.3496,3.32,2.5401,0.3169,0.2164,0.2466,0.0146,0.015,0.4563
140000,山西省,2012,3.3738,3.337,2.5264,0.3285,0.2201,0.262,0.0151,0.0217,0.4893
140000,山西省,2011,3.4321,3.3634,2.4471,0.3608,0.2674,0.2881,0.027,0.0417,0.4012
140000,山西省,2010,3.2882,3.2344,2.3333,0.3532,0.2546,0.2933,0.0198,0.034,0.3745
140000,山西省,2009,3.3213,3.253,2.3283,0.3479,0.268,0.3088,0.0225,0.0458,0.3671
140000,山西省,2008,3.2534,3.195,2.2541,0.368,0.254,0.3189,0.027,0.0314,0.3199
140000,山西省,2007,,,,,,,,,
140000,山西省,2006,,,,,,,,,
140000,山西省,2005,,,,,,,,,
140000,山西省,2004,,,,,,,,,
140000,山西省,2003,,,,,,,,,
140000,山西省,2002,,,,,,,,,
140000,山西省,2001,,,,,,,,,
140000,山西省,2000,,,,,,,,,
150000,内蒙古自治区,2019,1.8195,,1.3632,,,,,,
150000,内蒙古自治区,2018,1.8192,,1.3639,,,,,,
150000,内蒙古自治区,2017,1.848,,1.3736,,,,,,
150000,内蒙古自治区,2016,1.8394,,1.3773,,,,,,
150000,内蒙古自治区,2015,1.8991,,1.3992,,,,,,
150000,内蒙古自治区,2014,1.9784,1.9655,1.4645,0.1898,0.1754,0.1358,0.0063,0.0066,0.13
150000,内蒙古自治区,2013,2.0109,1.9929,1.4755,0.1995,0.1739,0.144,0.0094,0.0086,0.1288
150000,内蒙古自治区,2012,2.112,2.087,1.5325,0.2121,0.1883,0.1541,0.0099,0.0151,0.1406
150000,内蒙古自治区,2011,2.097,2.0714,1.5127,0.2191,0.1892,0.1504,0.0139,0.0117,0.1305
