省份编码,省份,年份,普通高中学校数(所),普通高中招生数(万人),普通高中在校学生数(万人),普通高中毕业生数(万人),普通高中教职工数(万人),普通高中专任教师数(万人)
140000,山西省,2003,531.0,21.7394,57.3639,13.844,,
140000,山西省,2002,509.0,19.1225,48.5782,11.0947,,
140000,山西省,2001,469.0,15.2288,40.2547,9.0175,,
140000,山西省,2000,443.0,13.7662,33.7163,7.8622,,
150000,内蒙古自治区,2019,303.0,13.0362,40.6205,14.476,5.6878,3.6966
150000,内蒙古自治区,2018,299.0,13.3263,42.1384,14.6323,5.6081,3.6316
150000,内蒙古自治区,2017,293.0,14.3632,43.5827,15.3262,5.4651,3.5652
150000,内蒙古自治区,2016,289.0,14.6962,44.8994,16.0737,5.3119,3.4823
150000,内蒙古自治区,2015,284.0,14.8389,46.3037,16.5936,5.2611,3.4108
150000,内蒙古自治区,2014,278.0,15.5257,48.4042,16.2138,5.2019,3.361
150000,内蒙古自治区,2013,277.0,16.4232,49.4243,16.1587,5.1467,3.308
150000,内蒙古自治区,2012,272.0,17.1722,50.028,16.1274,5.0418,3.2229
150000,内蒙古自治区,2011,279.0,16.9674,49.3476,16.8114,5.0698,3.1304
150000,内蒙古自治区,2010,289.0,16.6364,49.928,17.4815,12.3092,3.1587
150000,内蒙古自治区,2009,306.0,17.4338,51.9643,18.3055,12.2818,3.1139
150000,内蒙古自治区,2008,324.0,18.1627,54.1084,18.7557,12.3351,3.0645
150000,内蒙古自治区,2007,342.0,18.5799,56.14,17.0116,12.3577,2.9892
150000,内蒙古自治区,2006,359.0,20.2487,56.1484,15.7028,12.3928,2.8858
150000,内蒙古自治区,2005,359.0,19.8377,52.3497,13.6562,12.1784,2.6649
150000,内蒙古自治区,2004,372.0,17.9126,47.3568,11.7525,12.1274,2.4593
150000,内蒙古自治区,2003,381.0,16.5772,42.0138,10.25,,
150000,内蒙古自治区,2002,381.0,14.3584,36.4046,8.4724,,
150000,内蒙古自治区,2001,377.0,12.2246,30.8794,6.9582,,
150000,内蒙古自治区,2000,377.0,10.9322,26.6394,6.7474,,
210000,辽宁省,2019,420.0,20.3043,60.1543,20.6749,6.6826,5.2378
210000,辽宁省,2018,414.0,19.1108,60.8554,20.6402,6.5778,5.1811
210000,辽宁省,2017,418.0,21.3683,62.9623,20.2502,6.5109,5.1346
210000,辽宁省,2016,412.0,21.2049,62.5066,21.6098,6.437,5.063
210000,辽宁省,2015,412.0,20.979,63.4787,22.3546,6.4105,5.0054
210000,辽宁省,2014,415.0,20.8916,65.2613,23.152,6.3201,4.8924
210000,辽宁省,2013,416.0,22.2938,68.146,23.1626,6.2883,4.832
210000,辽宁省,2012,417.0,22.8358,69.5933,23.7962,6.2091,4.7276
210000,辽宁省,2011,422.0,23.6157,71.2632,23.3805,6.1021,4.5965
210000,辽宁省,2010,419.0,24.0387,71.5443,22.613,18.0343,4.4684
210000,辽宁省,2009,426.0,24.8271,71.8333,24.8791,18.0483,4.357
210000,辽宁省,2008,435.0,24.428,72.4152,25.6952,17.8899,4.2553
210000,辽宁省,2007,445.0,23.373,74.2391,24.9165,17.7652,4.1141
210000,辽宁省,2006,470.0,25.8495,76.8629,22.4519,17.7916,3.9794
210000,辽宁省,2005,476.0,26.6111,74.4229,20.1852,18.0016,3.8208
210000,辽宁省,2004,464.0,25.8609,68.5199,16.9848,18.0225,3.5586
210000,辽宁省,2003,456.0,23.273,60.2442,14.8501,,
210000,辽宁省,2002,453.0,20.2394,51.881,14.3387,,
210000,辽宁省,2001,450.0,16.8435,46.349,13.3682,,
210000,辽宁省,2000,461.0,15.2354,42.9393,11.8892,,
220000,吉林省,2019,251.0,14.9522,41.8443,13.7352,4.53,3.1691
220000,吉林省,2018,248.0,12.9106,40.8494,13.3057,4.3846,3.0775
220000,吉林省,2017,244.0,14.1705,41.3783,13.011,4.2952,2.9934
220000,吉林省,2016,241.0,13.9534,40.4209,13.8986,4.2348,2.9262
220000,吉林省,2015,239.0,13.5162,40.6263,13.9932,4.2226,2.8788
220000,吉林省,2014,240.0,13.2338,41.5736,15.5501,4.1807,2.8368
220000,吉林省,2013,243.0,15.1131,45.3171,15.7117,4.0988,2.7518
220000,吉林省,2012,244.0,16.0363,47.6748,15.4289,4.1747,2.7832
220000,吉林省,2011,248.0,16.8965,47.8783,15.5349,4.1859,2.7554
220000,吉林省,2010,257.0,16.2999,47.0946,15.2201,12.1071,2.7628
220000,吉林省,2009,262.0,15.882,46.8554,16.8843,12.336,2.7629
220000,吉林省,2008,278.0,15.9882,48.8871,16.8436,12.227,2.7478
220000,吉林省,2007,291.0,16.1517,50.5258,16.4307,12.3597,2.6756
220000,吉林省,2006,296.0,17.6246,51.2759,14.644,12.5398,2.5976
220000,吉林省,2005,293.0,17.3983,48.942,13.3095,12.4819,2.4292
220000,吉林省,2004,296.0,16.9907,45.1637,10.1107,12.3022,2.2302
220000,吉林省,2003,297.0,14.6132,38.1362,9.2934,,
220000,吉林省,2002,292.0,12.8868,32.945,8.3733,,
220000,吉林省,2001,292.0,10.7563,28.6206,8.2639,,
220000,吉林省,2000,288.0,9.6073,26.2681,7.0225,,
230000,黑龙江省,2019,368.0,19.0255,55.1656,18.5865,5.9128,4.2909
230000,黑龙江省,2018,366.0,17.3135,54.8421,18.0948,5.9556,4.2686
230000,黑龙江省,2017,371.0,18.901,55.6496,18.1619,5.9378,4.2452
230000,黑龙江省,2016,372.0,18.6283,54.9844,19.0714,5.8939,4.2312
230000,黑龙江省,2015,377.0,18.095,55.4173,19.3938,5.899,4.2314
230000,黑龙江省,2014,378.0,18.1627,56.6805,19.899,5.9529,4.2543
230000,黑龙江省,2013,379.0,19.3979,58.9379,20.6088,5.8958,4.1997
230000,黑龙江省,2012,398.0,20.209,61.2579,20.631,6.0771,4.2606
230000,黑龙江省,2011,411.0,20.7742,62.2251,20.4287,5.9972,4.1698
230000,黑龙江省,2010,416.0,20.7452,61.6885,19.5518,17.1212,4.0726
230000,黑龙江省,2009,430.0,20.7927,60.8221,20.6616,17.2299,4.0113
230000,黑龙江省,2008,445.0,20.9254,61.1287,20.368,17.2718,3.9386
230000,黑龙江省,2007,463.0,19.8023,60.7254,19.3767,17.2633,3.7373
230000,黑龙江省,2006,475.0,20.8852,60.7896,18.1583,17.4745,3.5788
230000,黑龙江省,2005,475.0,20.5541,58.3567,16.1301,17.6524,3.4093
230000,黑龙江省,2004,479.0,20.3315,54.6793,13.9441,18.5184,3.2648
230000,黑龙江省,2003,481.0,18.7643,48.6096,11.5778,,
230000,黑龙江省,2002,447.0,15.9228,41.3251,10.5634,,
230000,黑龙江省,2001,462.0,14.1132,36.241,10.2784,,
230000,黑龙江省,2000,463.0,11.8418,32.8765,9.1419,,
310000,上海市,2019,258.0,5.4236,15.9445,5.1624,3.3601,1.8609
310000,上海市,2018,260.0,5.233,15.8181,5.1942,3.3106,1.835
310000,上海市,2017,258.0,5.3276,15.8924,5.1344,3.2367,1.7937
310000,上海市,2016,256.0,5.3066,15.7806,5.1889,3.153,1.7669
310000,上海市,2015,253.0,5.3439,15.8201,5.1227,3.0911,1.7398
310000,上海市,2014,246.0,5.2857,15.7416,5.0971,3.0518,1.6981
310000,上海市,2013,243.0,5.3092,15.6817,5.2675,2.9725,1.66
310000,上海市,2012,246.0,5.2497,15.7709,5.4416,2.9916,1.6588
310000,上海市,2011,247.0,5.2224,16.1056,5.8523,3.0301,1.6596
310000,上海市,2010,261.0,5.3853,16.8899,6.2375,6.7277,1.6729
310000,上海市,2009,273.0,5.5842,17.7589,7.0377,6.7614,1.6896
310000,上海市,2008,283.0,5.8652,19.2583,9.5088,6.8886,1.7201
310000,上海市,2007,309.0,6.1505,22.897,10.2425,7.1118,1.7951
310000,上海市,2006,317.0,7.0012,27.1696,10.2088,7.3275,1.803
310000,上海市,2005,334.0,10.0574,31.1737,10.1825,7.5451,1.8239
310000,上海市,2004,344.0,10.6474,31.3811,9.1017,7.6222,1.7832
310000,上海市,2003,343.0,10.403,29.9095,7.827,,
310000,上海市,2002,343.0,10.2287,27.4112,7.9437,,
310000,上海市,2001,334.0,9.2382,25.2846,7.9896,,
310000,上海市,2000,333.0,7.9046,24.1351,7.2547,,
320000,江苏省,2019,580.0,38.7603,105.029,31.3885,13.0241,9.9291
320000,江苏省,2018,578.0,35.2082,98.0758,31.244,12.6952,9.5624
320000,江苏省,2017,564.0,31.4573,94.3365,31.7594,12.5374,9.4719
320000,江苏省,2016,571.0,31.8236,95.1525,33.8683,12.6315,9.507
320000,江苏省,2015,569.0,31.9487,97.7955,36.8844,12.6406,9.5387
320000,江苏省,2014,567.0,31.978,103.4205,39.6668,12.9204,9.654
320000,江苏省,2013,578.0,34.1417,110.9899,42.5924,13.0896,9.7293
320000,江苏省,2012,594.0,37.6936,120.8697,44.4765,13.5292,9.7223
320000,江苏省,2011,618.0,40.8844,128.6951,46.6131,13.8024,9.7149
320000,江苏省,2010,653.0,44.0338,135.655,48.6363,33.5609,9.8197
320000,江苏省,2009,710.0,45.6062,142.2174,51.3126,33.8838,9.863
320000,江苏省,2008,737.0,48.2937,149.8712,49.9083,34.048,9.8918
320000,江苏省,2007,781.0,50.8836,153.1183,47.5774,34.2348,9.7884
320000,江苏省,2006,838.0,53.6898,152.5666,44.968,34.0852,9.3879
320000,江苏省,2005,849.0,52.2503,145.342,42.652,33.7789,8.8801
320000,江苏省,2004,844.0,49.4692,137.3465,35.3177,33.0488,8.2855
320000,江苏省,2003,845.0,46.2352,124.0038,29.1593,,
320000,江苏省,2002,849.0,43.3049,107.9322,24.9448,,
320000,江苏省,2001,865.0,35.8715,90.4913,24.9318,,
320000,江苏省,2000,859.0,29.9301,80.1815,22.9852,,
330000,浙江省,2019,601.0,27.306,78.4233,25.4026,9.6119,7.1952
330000,浙江省,2018,591.0,25.4912,76.9236,25.3335,9.43,7.0365
330000,浙江省,2017,580.0,25.9298,77.3353,24.6221,9.285,6.9608
330000,浙江省,2016,574.0,25.8898,76.5605,25.9893,9.0715,6.7976
330000,浙江省,2015,563.0,25.985,77.3359,27.0956,8.8863,6.6379
330000,浙江省,2014,561.0,25.1727,79.0838,29.664,8.8836,6.5596
330000,浙江省,2013,569.0,26.5198,83.9755,29.6105,8.8587,6.4983
330000,浙江省,2012,571.0,27.7919,87.5802,29.7101,8.8349,6.4506
330000,浙江省,2011,569.0,30.0521,89.9016,27.7131,8.6461,6.336
330000,浙江省,2010,569.0,30.0941,88.0194,27.368,20.8249,6.2344
330000,浙江省,2009,582.0,30.0208,85.5457,28.5788,20.5628,6.052
330000,浙江省,2008,594.0,28.1878,84.8152,29.5892,20.3645,6.0005
330000,浙江省,2007,603.0,27.668,87.0763,29.3508,20.0535,5.9318
330000,浙江省,2006,611.0,29.3473,89.3173,29.1952,19.8158,5.8566
330000,浙江省,2005,611.0,30.3986,89.9961,25.9874,19.489,5.6882
330000,浙江省,2004,610.0,29.9904,86.0613,21.5649,19.17,5.3303
330000,浙江省,2003,614.0,30.2695,78.7249,19.6142,,
330000,浙江省,2002,608.0,26.8519,68.742,17.4441,,
330000,浙江省,2001,622.0,22.3728,60.1765,16.4372,,
330000,浙江省,2000,620.0,20.7631,55.4343,13.9549,,
340000,安徽省,2019,667.0,37.883,108.8028,36.3296,12.1875,8.0367
340000,安徽省,2018,661.0,35.886,107.4716,36.9152,11.9303,7.8595
340000,安徽省,2017,662.0,35.2692,108.4974,37.6695,11.784,7.7998
340000,安徽省,2016,672.0,35.8775,110.6953,38.8305,11.6799,7.733
340000,安徽省,2015,666.0,36.3302,113.5543,43.3003,11.5971,7.6341
340000,安徽省,2014,694.0,37.0649,120.1286,42.9396,11.7016,7.5237
340000,安徽省,2013,698.0,38.0526,125.5132,41.6723,11.6811,7.3844
340000,安徽省,2012,716.0,43.9725,129.2863,41.281,11.6953,7.179
340000,安徽省,2011,734.0,44.1743,127.8903,42.4199,11.437,6.9577
340000,安徽省,2010,743.0,42.4086,127.5968,44.3812,26.2588,6.6879
340000,安徽省,2009,769.0,42.4743,130.5719,44.9248,25.6731,6.3881
340000,安徽省,2008,782.0,43.5803,133.7132,43.7481,25.2154,6.3245
340000,安徽省,2007,779.0,45.5108,135.1541,39.6525,24.6653,5.9529
340000,安徽省,2006,786.0,45.1317,128.7853,33.2059,24.185,5.5564
340000,安徽省,2005,760.0,43.4612,116.9006,30.095,22.8966,5.1112
340000,安徽省,2004,758.0,40.27,105.0188,24.8451,22.2229,4.5646
340000,安徽省,2003,741.0,34.4862,89.9943,20.9603,,
340000,安徽省,2002,726.0,30.344,77.1669,17.0033,,
340000,安徽省,2001,711.0,25.7233,64.3276,14.9221,,
340000,安徽省,2000,674.0,21.9633,54.1417,13.1453,,
350000,福建省,2019,544.0,22.1862,63.9259,21.0157,10.5314,5.1952
350000,福建省,2018,538.0,21.0816,63.3906,20.608,10.154,5.1144
350000,福建省,2017,534.0,20.8867,63.7102,19.6523,9.9759,5.072
350000,福建省,2016,533.0,21.7129,63.4747,19.6997,9.8162,5.0424
350000,福建省,2015,540.0,21.5655,62.6272,20.8113,9.7961,5.0463
350000,福建省,2014,542.0,20.8637,62.9074,22.7273,9.7748,5.0923
350000,福建省,2013,544.0,20.937,65.6488,23.18,9.6957,5.1602
350000,福建省,2012,543.0,21.865,69.0542,22.5581,9.6767,5.2049
350000,福建省,2011,559.0,24.0621,70.9515,22.6312,9.7896,5.2375
350000,福建省,2010,575.0,24.3076,70.6369,24.03,17.2158,5.2136
350000,福建省,2009,606.0,23.8475,71.9067,24.8971,17.2383,5.2339
350000,福建省,2008,610.0,24.2469,74.8828,24.2178,17.2244,5.2531
350000,福建省,2007,616.0,25.9307,77.6819,23.3965,17.3281,5.2169
350000,福建省,2006,636.0,27.4141,78.0435,20.1834,17.1006,4.9593
350000,福建省,2005,627.0,27.2124,73.2456,18.2591,16.7811,4.5328
350000,福建省,2004,614.0,25.5749,65.9758,15.9242,16.3985,4.0132
350000,福建省,2003,592.0,21.8414,57.5152,13.9457,,
350000,福建省,2002,559.0,19.3479,50.7758,11.5812,,
350000,福建省,2001,523.0,17.1422,44.0431,9.3703,,
350000,福建省,2000,477.0,15.1798,37.24,7.8423,,
360000,江西省,2019,496.0,37.7216,105.5368,32.6947,9.5558,6.0479
360000,江西省,2018,480.0,34.4664,100.8384,30.4483,9.1819,5.8415
360000,江西省,2017,475.0,33.4383,96.6977,30.1912,8.6681,5.5727
360000,江西省,2016,469.0,33.024,94.2855,30.2009,8.4586,5.4829
360000,江西省,2015,460.0,32.0383,92.9129,28.7377,8.6343,5.3156
360000,江西省,2014,442.0,31.6232,90.4696,27.7005,8.2883,5.1197
360000,江西省,2013,436.0,31.0514,87.6722,24.0907,8.1328,4.9762
360000,江西省,2012,435.0,30.8315,83.6602,23.3135,8.0178,4.8232
360000,江西省,2011,438.0,30.893,78.3497,25.106,7.9176,4.7583
360000,江西省,2010,452.0,25.6536,73.9649,26.2464,18.4385,4.686
360000,江西省,2009,476.0,25.0953,77.2405,27.9087,18.2827,4.7512
360000,江西省,2008,540.0,27.8606,82.1984,28.6828,18.0406,4.9024
360000,江西省,2007,549.0,27.2948,85.3766,26.6478,18.1218,4.9507
360000,江西省,2006,587.0,30.716,86.931,25.6998,18.2336,4.852
360000,江西省,2005,617.0,31.2575,84.9204,23.9755,18.3459,4.6565
360000,江西省,2004,642.0,29.4093,80.0049,19.8869,18.0557,4.3653
360000,江西省,2003,629.0,27.8808,72.4053,15.552,,
360000,江西省,2002,584.0,25.7013,60.9924,12.5862,,
360000,江西省,2001,532.0,20.3708,48.6611,9.7363,,
360000,江西省,2000,506.0,16.0494,38.5287,9.1925,,
370000,山东省,2019,640.0,58.7874,167.207,55.1604,17.7913,14.2963
370000,山东省,2018,620.0,54.4536,164.205,55.0112,17.3356,13.7946
370000,山东省,2017,592.0,55.0056,165.4861,55.3774,16.9272,13.4446
370000,山东省,2016,580.0,55.7806,166.4949,57.9148,16.2394,12.9631
370000,山东省,2015,555.0,55.3698,169.1196,56.8865,15.6803,12.5209
370000,山东省,2014,544.0,55.9235,171.2659,54.3232,15.2633,12.1613
370000,山东省,2013,547.0,58.8897,170.5043,50.9383,15.1362,11.9011
370000,山东省,2012,557.0,58.1797,164.5402,48.2883,14.9922,11.5208
370000,山东省,2011,565.0,56.0488,156.4212,50.1759,14.8,11.3427
370000,山东省,2010,592.0,52.8217,152.5122,54.6851,43.8787,11.1401
370000,山东省,2009,632.0,50.0248,157.4869,59.0834,44.2448,11.2607
370000,山东省,2008,682.0,52.3354,168.353,64.8601,44.5545,11.225
370000,山东省,2007,750.0,57.0774,183.4835,64.5455,45.494,11.2627
370000,山东省,2006,787.0,62.2811,193.1767,62.2155,46.2298,11.1858
370000,山东省,2005,813.0,67.2165,196.5783,57.5243,47.0584,10.8076
370000,山东省,2004,862.0,68.0506,189.1006,47.6833,47.3687,10.2278
370000,山东省,2003,845.0,63.8087,169.0657,41.3708,,
370000,山东省,2002,810.0,57.9567,146.9438,34.4209,,
370000,山东省,2001,774.0,47.7687,124.1179,31.822,,
370000,山东省,2000,714.0,42.5643,108.6363,27.6377,,
410000,河南省,2019,889.0,74.9785,215.879,67.9853,18.5744,13.8269
410000,河南省,2018,852.0,72.6544,210.0552,66.0798,17.4443,13.1102
410000,河南省,2017,813.0,70.9731,205.4919,63.1394,16.4948,12.4687
410000,河南省,2016,792.0,69.533,199.596,63.3076,15.5545,11.7866
410000,河南省,2015,770.0,67.9812,194.3101,61.0455,15.0726,11.4037
410000,河南省,2014,774.0,64.4935,189.5457,60.2825,14.7314,11.0759
410000,河南省,2013,776.0,66.1063,189.2306,63.1289,14.3263,10.8063
410000,河南省,2012,785.0,66.5703,192.6336,64.0137,14.2786,10.7347
410000,河南省,2011,792.0,64.6263,189.5068,66.5464,13.8525,10.4288
410000,河南省,2010,825.0,62.8486,192.1573,70.4309,43.1419,10.4334
410000,河南省,2009,868.0,64.5015,201.1981,70.1747,43.4544,10.4855
410000,河南省,2008,908.0,68.4186,207.2588,74.9826,43.2748,10.2686
410000,河南省,2007,920.0,70.5706,212.6251,65.0962,43.4657,9.7911
410000,河南省,2006,955.0,67.7543,201.5781,57.3592,43.4114,9.1866
410000,河南省,2005,945.0,69.9934,188.3854,53.657,43.1625,8.4038
410000,河南省,2004,909.0,61.325,168.7496,42.4773,42.4093,7.5961
410000,河南省,2003,888.0,53.7749,146.4205,36.3787,,
410000,河南省,2002,854.0,50.934,125.5501,25.7792,,
410000,河南省,2001,819.0,37.6319,94.7329,19.838,,
410000,河南省,2000,761.0,31.4818,75.1508,17.4719,,
420000,湖北省,2019,532.0,30.1376,85.2203,27.4071,9.347,6.6902
420000,湖北省,2018,531.0,27.7436,82.3519,27.5641,9.0145,6.601
420000,湖北省,2017,532.0,27.1228,81.9413,28.9536,8.8156,6.5929
420000,湖北省,2016,532.0,27.7056,84.504,30.5669,8.7574,6.6528
420000,湖北省,2015,532.0,27.8614,87.5967,31.6918,8.7643,6.7017
420000,湖北省,2014,541.0,29.5276,91.8959,34.9485,9.0378,6.8126
420000,湖北省,2013,563.0,31.6471,98.8159,39.1211,9.1884,6.9726
420000,湖北省,2012,575.0,32.7506,107.4507,41.2235,9.3337,7.0896
420000,湖北省,2011,585.0,36.1978,116.7697,42.9063,9.5092,7.1333
420000,湖北省,2010,603.0,39.5471,123.7362,43.4549,26.3055,7.1126
420000,湖北省,2009,622.0,42.3786,128.6751,44.9917,26.7265,7.079
420000,湖北省,2008,655.0,43.9116,132.199,44.9676,27.1629,7.0212
420000,湖北省,2007,668.0,43.9793,132.8398,44.3093,27.515,6.95
420000,湖北省,2006,689.0,45.5543,134.7692,41.0721,27.5389,6.8109
420000,湖北省,2005,653.0,45.8591,129.4487,38.342,27.3146,6.4433
420000,湖北省,2004,631.0,42.9734,119.7354,32.289,26.9895,6.0334
420000,湖北省,2003,626.0,39.6137,107.2914,27.2741,,
420000,湖北省,2002,599.0,36.4804,94.1835,23.7805,,
420000,湖北省,2001,581.0,31.9109,82.6915,19.0671,,
420000,湖北省,2000,583.0,27.7065,69.8409,16.5813,,
430000,湖南省,2019,642.0,43.7339,122.1359,37.9575,12.5299,8.4365
430000,湖南省,2018,626.0,40.6744,117.5466,36.4539,11.8965,7.9968
430000,湖南省,2017,608.0,39.81,114.6267,34.4076,11.2996,7.5802
430000,湖南省,2016,579.0,39.3932,110.9093,34.1973,10.6519,7.2229
430000,湖南省,2015,575.0,38.0349,107.4382,33.4954,10.3864,7.0019
430000,湖南省,2014,580.0,36.5462,105.7008,32.0363,10.2395,6.8459
430000,湖南省,2013,577.0,37.3754,104.1044,31.672,10.1873,6.742
430000,湖南省,2012,589.0,37.0069,102.6563,31.0055,10.6172,6.708
430000,湖南省,2011,594.0,36.9889,101.3814,32.5598,10.605,6.7552
430000,湖南省,2010,622.0,37.0508,101.9039,36.1786,28.1722,6.783
430000,湖南省,2009,684.0,35.6521,106.4265,41.5666,28.5576,6.9652
430000,湖南省,2008,742.0,39.2351,119.5442,42.9998,28.8168,7.2607
430000,湖南省,2007,773.0,43.8131,130.7313,40.8711,29.4108,7.3407
430000,湖南省,2006,800.0,48.9621,135.7102,37.8477,30.0958,7.2268
430000,湖南省,2005,800.0,51.2714,131.8513,34.0207,30.5413,6.8324
430000,湖南省,2004,773.0,46.4404,119.0533,28.9817,30.3636,6.2361
430000,湖南省,2003,765.0,42.2322,106.574,23.3929,,
430000,湖南省,2002,754.0,38.2673,91.473,18.7847,,
430000,湖南省,2001,732.0,32.3625,75.2579,16.8166,,
430000,湖南省,2000,712.0,26.0515,62.5719,14.5587,,
440000,广东省,2019,1008.0,63.9413,183.7399,62.8523,26.2871,14.8775
440000,广东省,2018,1013.0,60.4224,183.7141,64.6488,26.0118,14.9931
440000,广东省,2017,1030.0,61.1384,189.2669,67.6686,25.7489,15.1435
440000,广东省,2016,1031.0,64.3293,197.3727,70.33,25.2436,15.1612
440000,广东省,2015,1019.0,66.4376,205.4033,72.669,24.7967,15.0861
