省份编码,省份,年份,普通高中学校数(所),普通高中招生数(万人),普通高中在校学生数(万人),普通高中毕业生数(万人),普通高中教职工数(万人),普通高中专任教师数(万人)
110000,北京市,2019,318.0,5.1403,15.2857,5.039,6.1487,2.0633
110000,北京市,2018,309.0,4.7355,15.5478,5.1065,5.9611,2.0892
110000,北京市,2017,304.0,5.3755,16.3977,4.9685,5.7783,2.1452
110000,北京市,2016,305.0,5.3544,16.313,5.2841,5.6863,2.1056
110000,北京市,2015,306.0,5.6743,16.9412,5.7738,5.5314,2.1322
110000,北京市,2014,306.0,5.5184,17.7554,5.7773,5.398,2.1107
110000,北京市,2013,291.0,5.9983,18.7586,5.8072,5.218,2.084
110000,北京市,2012,289.0,6.3381,19.3505,5.5657,5.0748,2.0623
110000,北京市,2011,290.0,6.4146,19.5072,5.8275,4.9726,2.0317
110000,北京市,2010,289.0,6.5649,19.8415,6.2305,7.0418,1.9618
110000,北京市,2009,305.0,6.5983,20.3477,7.0132,7.1831,1.9814
110000,北京市,2008,325.0,6.8397,21.9163,7.8468,7.2693,1.9849
110000,北京市,2007,328.0,7.159,24.3818,7.8408,7.3945,2.0333
110000,北京市,2006,335.0,7.6375,25.9414,7.8037,7.5402,2.0581
110000,北京市,2005,335.0,8.8605,27.8358,7.326,7.5837,1.9875
110000,北京市,2004,338.0,9.3519,27.4803,6.6556,7.6347,1.8672
110000,北京市,2003,329.0,9.4894,25.0959,5.6601,,
110000,北京市,2002,325.0,8.4679,22.0667,5.118,,
110000,北京市,2001,289.0,6.9195,19.4283,5.1263,,
110000,北京市,2000,302.0,6.589,17.9002,4.7569,,
120000,天津市,2019,187.0,5.2243,15.8561,5.4368,3.0815,1.6596
120000,天津市,2018,189.0,5.0162,15.9889,5.3731,3.0644,1.6606
120000,天津市,2017,187.0,5.4984,16.3601,5.5239,3.0028,1.6504
120000,天津市,2016,182.0,5.4143,16.3974,5.6059,2.9476,1.6401
120000,天津市,2015,180.0,5.3822,16.5561,5.835,2.9323,1.6162
120000,天津市,2014,181.0,5.4656,16.9606,6.11,2.9293,1.5964
120000,天津市,2013,193.0,5.5116,17.5144,6.1167,2.9145,1.5589
120000,天津市,2012,202.0,5.8012,18.1235,6.2257,3.0254,1.544
120000,天津市,2011,209.0,6.0705,18.5461,6.0204,3.0224,1.516
120000,天津市,2010,214.0,6.2061,18.5153,6.5951,5.1778,1.4819
120000,天津市,2009,218.0,6.0871,18.7554,7.0624,5.3079,1.4993
120000,天津市,2008,221.0,5.892,19.5004,7.523,5.3596,1.5316
120000,天津市,2007,221.0,6.3942,20.9319,7.2169,5.3921,1.538
120000,天津市,2006,231.0,6.8023,21.6281,6.9891,5.4851,1.5101
120000,天津市,2005,232.0,7.4449,21.718,5.7263,5.5322,1.4207
120000,天津市,2004,230.0,7.2335,19.8537,5.2635,5.5223,1.3105
120000,天津市,2003,222.0,6.9875,18.2529,4.4968,,
120000,天津市,2002,224.0,5.8855,15.7902,4.1486,,
120000,天津市,2001,217.0,5.4138,14.1455,3.6831,,
120000,天津市,2000,215.0,4.5116,12.4147,3.3584,,
130000,河北省,2019,679.0,50.6728,141.1999,42.755,16.4923,10.7059
130000,河北省,2018,655.0,44.8898,133.4876,40.1065,15.2885,9.9859
130000,河北省,2017,630.0,45.7055,129.1375,37.6969,14.08,9.443
130000,河北省,2016,598.0,43.2658,121.3315,36.817,13.1826,8.9131
130000,河北省,2015,578.0,40.7691,115.7877,35.2416,12.6718,8.5356
130000,河北省,2014,567.0,38.2253,110.4076,36.1988,12.349,8.3426
130000,河北省,2013,563.0,37.5572,109.2815,40.4522,12.1771,8.2273
130000,河北省,2012,565.0,38.4133,117.6885,42.3748,12.1965,8.2918
130000,河北省,2011,598.0,39.7819,123.3223,42.7876,12.3456,8.3476
130000,河北省,2010,615.0,42.0199,127.5146,42.6568,30.5324,8.2982
130000,河北省,2009,661.0,44.7232,130.869,46.8982,31.3983,8.1765
130000,河北省,2008,713.0,44.8491,135.1197,48.233,32.394,8.0668
130000,河北省,2007,761.0,45.2498,140.8566,47.2248,33.5392,8.119
130000,河北省,2006,801.0,49.6971,143.8065,45.0595,34.0581,7.8219
130000,河北省,2005,816.0,49.4683,139.1138,39.6263,34.5193,7.3403
130000,河北省,2004,814.0,46.4146,129.3887,31.8714,34.4686,6.7536
130000,河北省,2003,810.0,44.9334,114.2264,26.4873,,
130000,河北省,2002,791.0,37.9583,94.7964,23.4819,,
130000,河北省,2001,752.0,31.2003,80.3932,21.2753,,
130000,河北省,2000,716.0,26.2226,70.0396,18.1626,,
140000,山西省,2019,522.0,22.4654,66.0092,24.4365,10.3168,6.4157
140000,山西省,2018,512.0,20.7013,67.9268,24.7611,10.0027,6.3893
140000,山西省,2017,505.0,22.7416,71.9683,26.027,9.9179,6.3941
140000,山西省,2016,503.0,24.4539,75.3777,28.4423,9.9202,6.3339
140000,山西省,2015,505.0,24.8426,79.3767,28.3568,9.7181,6.1946
140000,山西省,2014,499.0,25.5585,82.7821,27.3507,9.5452,6.0931
140000,山西省,2013,504.0,28.8826,84.8464,28.6103,9.3861,5.991
140000,山西省,2012,511.0,29.263,85.4986,28.5255,9.3617,5.8088
140000,山西省,2011,519.0,28.668,85.2689,27.0072,9.1003,5.615
140000,山西省,2010,534.0,28.0984,82.2925,25.9381,20.4549,5.3572
140000,山西省,2009,544.0,27.7882,80.5659,25.1434,20.4293,5.1447
140000,山西省,2008,559.0,27.0394,78.2937,25.8789,20.2627,4.9262
140000,山西省,2007,569.0,26.0875,77.0812,23.1748,20.215,4.7626
140000,山西省,2006,589.0,25.3177,74.7093,22.2176,19.8703,4.5158
140000,山西省,2005,581.0,26.3159,71.3699,19.6934,19.3835,4.1583
140000,山西省,2004,560.0,22.8292,64.7261,16.3273,18.6674,3.6985
