年份,中等职业学校(机构)在校学生数,中等职业学校(机构)农林牧渔类在校学生数,中等职业学校(机构)资源与环境类在校学生数,中等职业学校(机构)能源与新能源类在校学生数,中等职业学校(机构)土木水利工程类在校学生数,中等职业学校(机构)加工制造类在校学生数,中等职业学校(机构)石油化工类在校学生数,中等职业学校(机构)轻纺食品类在校学生数,中等职业学校(机构)交通运输类在校学生数,中等职业学校(机构)信息技术类在校学生数,中等职业学校(机构)医药卫生类在校学生数,中等职业学校(机构)休闲保健类在校学生数,中等职业学校(机构)财经商贸类在校学生数,中等职业学校(机构)旅游服务类在校学生数,中等职业学校(机构)文化艺术类在校学生数,中等职业学校(机构)体育与健身在校学生数,中等职业学校(机构)教育类在校学生数,中等职业学校(机构)司法服务类在校学生数,中等职业学校(机构)公共管理与服务类在校学生数
2021,,,,,,,,,,,,,,,,,,,
2020,1267.8379,,,,,,,,,,,,,,,,,,
2019,1216.1663,,,,,,,,,,,,,,,,,,
2018,1213.628,,,,,,,,,,,,,,,,,,
2017,1254.2893,,,,,,,,,,,,,,,,,,
2016,1275.8604,,,,,,,,,,,,,,,,,,
2015,1335.2414,104.7703,4.6447,4.6348,55.7218,185.625,7.4518,11.3942,134.5075,214.3348,140.1127,8.5487,154.4103,65.6555,68.0186,12.42,131.2967,4.61,14.1419
2014,1416.3127,132.3974,6.8286,5.7011,61.3386,204.1623,9.0018,12.6192,123.0956,229.1937,146.5838,8.189,157.0698,67.3944,69.6562,11.8798,136.7044,5.3771,14.6339
2013,1536.3842,172.2323,9.0803,6.8184,62.401,230.6826,10.7439,15.2038,113.5676,259.0293,147.0917,8.1875,167.3386,68.9918,74.8355,12.1871,139.6498,6.2428,18.0621
2012,1689.882,218.8579,10.8265,8.0738,61.1926,265.85,11.9058,18.7715,108.3744,297.7614,153.9531,8.4024,184.1117,72.9556,79.4437,12.8165,131.9091,7.0268,19.6907
2011,1774.9068,225.9595,10.8134,9.0926,58.9347,298.9952,12.8352,21.1447,101.1086,342.0989,165.0724,8.9743,186.818,73.1429,84.1541,12.3992,111.7272,7.9001,22.4445
2010,1816.4447,194.5251,11.7013,9.9929,51.6368,341.0804,15.068,32.0846,92.2995,375.7587,168.3865,7.1353,193.7373,75.8065,94.1092,12.0897,85.9991,8.2666,26.4664
2009,1779.8473,118.0724,13.0934,12.4682,46.7433,406.9468,,,74.3517,414.1793,159.7102,,,,,,,,
2008,1688.2421,64.8931,13.1851,12.4034,41.5704,425.2334,,,62.5538,411.8728,144.2658,,,,,,,,
2007,1619.859,58.9056,12.5508,11.9921,40.0464,393.3142,,,52.1174,393.1972,137.1676,,,,,,,,
2006,1489.0719,57.2913,11.3472,11.6894,36.9855,324.8791,,,47.2265,359.2222,132.8663,,,,,,,,
2005,1324.7421,53.0306,8.4139,10.4139,32.2231,250.4163,,,39.3742,327.7913,122.6777,,,,,,,,
2004,1174.7467,53.2252,5.8078,8.6655,28.8588,183.0489,,,32.4914,296.1554,110.8831,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
