年份,中等职业学校(机构)毕业生数,中等职业学校(机构)农林牧渔类毕业生数,中等职业学校(机构)资源与环境类毕业生数,中等职业学校(机构)能源与新能源类毕业生数,中等职业学校(机构)土木水利工程类毕业生数,中等职业学校(机构)加工制造类毕业生数,中等职业学校(机构)石油化工类毕业生数,中等职业学校(机构)轻纺食品类毕业生数,中等职业学校(机构)交通运输类毕业生数,中等职业学校(机构)信息技术类毕业生数,中等职业学校(机构)医药卫生类毕业生数,中等职业学校(机构)休闲保健类毕业生数,中等职业学校(机构)财经商贸类毕业生数,中等职业学校(机构)旅游服务类毕业生数,中等职业学校(机构)文化艺术类毕业生数,中等职业学校(机构)体育与健身毕业生数,中等职业学校(机构)教育类毕业生数,中等职业学校(机构)司法服务类毕业生数,中等职业学校(机构)公共管理与服务类毕业生数
2021,,,,,,,,,,,,,,,,,,,
2020,383.4642,,,,,,,,,,,,,,,,,,
2019,395.0427,,,,,,,,,,,,,,,,,,
2018,396.977,,,,,,,,,,,,,,,,,,
2017,406.3981,,,,,,,,,,,,,,,,,,
2016,440.5572,,,,,,,,,,,,,,,,,,
2015,473.2654,53.8412,3.2264,1.9624,19.3818,69.2565,3.2155,4.1937,35.4168,79.4393,46.0809,2.2865,50.0715,22.0283,21.7085,3.6585,46.2312,1.9066,5.3427
2014,516.1519,64.3914,3.6805,2.3992,21.0472,80.2368,3.8705,5.7266,33.0196,90.7595,45.2132,2.4171,56.8646,20.9832,23.3776,3.8738,44.9815,2.4692,6.4684
2013,557.5587,75.7877,4.6648,2.9177,18.118,90.3618,4.003,6.7322,32.7376,103.0628,50.0063,2.5532,63.429,22.7547,24.7456,3.792,36.5377,2.3814,6.9921
2012,554.384,57.9046,3.9019,3.099,16.2198,96.4112,4.5499,7.7067,31.7352,116.1673,53.4092,2.1041,60.6019,23.5796,24.7666,3.6496,30.7139,2.7393,7.5172
2011,541.1252,35.1875,5.5738,3.9229,15.1897,116.0033,5.4485,6.5187,25.4702,123.9731,50.4644,1.3293,60.8103,21.2307,25.2848,3.7201,24.3766,2.7142,7.6038
2010,543.6524,25.4803,6.0199,3.7684,14.6612,130.8244,5.4447,10.3456,22.3541,128.8833,43.587,1.0902,60.6217,18.7585,28.0384,3.4786,21.8216,3.4545,8.4782
2009,509.6654,20.0041,4.8155,4.1784,13.0617,128.6268,,,17.2925,127.344,42.0776,,,,,,,,
2008,471.0924,18.2755,4.1845,4.1568,11.9482,107.8345,,,14.4098,118.9084,40.9167,,,,,,,,
2007,431.2433,17.5404,3.4642,3.4845,10.134,89.9915,,,12.415,110.866,36.0584,,,,,,,,
2006,392.6271,18.324,2.7014,2.804,9.3492,67.1277,,,10.6175,101.849,35.07,,,,,,,,
2005,349.1921,17.3862,1.6693,2.3436,7.8605,47.0164,,,9.0465,90.8377,33.1183,,,,,,,,
2004,305.6939,17.1887,1.6621,1.9753,7.3515,33.8482,,,7.2169,76.6995,34.0554,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
