年份,中等职业学校(机构)招生数,中等职业学校(机构)农林牧渔类招生数,中等职业学校(机构)资源与环境类招生数,中等职业学校(机构)能源与新能源类招生数,中等职业学校(机构)土木水利工程类招生数,中等职业学校(机构)加工制造类招生数,中等职业学校(机构)石油化工类招生数,中等职业学校(机构)轻纺食品类招生数,中等职业学校(机构)交通运输类招生数,中等职业学校(机构)信息技术类招生数,中等职业学校(机构)医药卫生类招生数,中等职业学校(机构)休闲保健类招生数,中等职业学校(机构)财经商贸类招生数,中等职业学校(机构)旅游服务类招生数,中等职业学校(机构)文化艺术类招生数,中等职业学校(机构)体育与健身招生数,中等职业学校(机构)教育类招生数,中等职业学校(机构)司法服务类招生数,中等职业学校(机构)公共管理与服务类招生数
2021,,,,,,,,,,,,,,,,,,,
2020,484.6056,,,,,,,,,,,,,,,,,,
2019,457.4121,,,,,,,,,,,,,,,,,,
2018,428.5024,,,,,,,,,,,,,,,,,,
2017,451.5235,,,,,,,,,,,,,,,,,,
2016,466.1428,,,,,,,,,,,,,,,,,,
2015,479.8174,34.3258,1.3386,1.4966,17.4109,64.0537,2.0558,4.2475,53.1295,80.0078,46.824,3.3247,56.8162,25.4921,23.6961,4.7162,48.3463,1.6869,5.7179
2014,495.3553,39.493,2.1188,1.8613,22.8806,70.126,2.7465,4.8461,49.4849,81.1143,48.8066,3.0829,55.5208,24.3852,23.6955,4.3591,47.6544,1.9886,5.5703
2013,541.2624,46.7279,3.3843,2.0704,24.014,79.1948,3.5046,5.83,45.7839,92.6561,51.9612,3.0861,59.6711,26.1323,26.0997,4.4709,51.1258,2.2697,6.9
2012,597.0785,71.9852,4.8297,2.6902,22.5438,89.6233,4.164,6.9093,42.8488,104.8447,51.342,3.1627,65.0497,27.0848,27.6898,5.2033,50.7755,2.5448,7.0814
2011,649.9626,85.4314,4.9497,3.4555,24.7204,105.0657,4.6351,7.8749,39.8086,121.8685,53.0467,3.0896,67.7896,25.7635,30.0566,4.7042,49.5174,2.8717,7.7353
2010,711.3957,110.4259,5.3118,3.4418,21.2009,116.4369,5.0857,11.8539,38.8745,138.359,58.2799,3.416,71.6875,29.9931,34.8621,4.4413,35.5991,2.9428,9.7997
2009,711.777,74.9386,5.2809,4.5003,19.8719,138.1558,,,33.2871,158.4466,62.8765,,,,,,,,
2008,650.2739,29.023,4.8555,4.7683,15.5312,160.1787,,,25.9746,160.7765,53.8974,,,,,,,,
2007,651.4754,24.6993,5.129,4.3858,15.4996,168.2908,,,22.0341,163.8954,47.7527,,,,,,,,
2006,613.0607,24.6437,5.3328,4.276,15.0721,145.5853,,,19.8021,148.9353,49.1784,,,,,,,,
2005,537.2922,21.0063,4.3299,4.2498,12.8068,111.839,,,16.9303,132.9689,46.896,,,,,,,,
2004,456.5045,19.2852,2.3052,3.8153,11.2971,84.7118,,,13.4203,115.6166,38.8142,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,
