年份,中等职业学校(机构)获得职业资格证书毕业生数,中等职业学校(机构)农林牧渔类获得职业资格证书毕业生数,中等职业学校(机构)资源与环境类获得职业资格证书毕业生数,中等职业学校(机构)能源与新能源类获得职业资格证书毕业生数,中等职业学校(机构)土木水利工程类获得职业资格证书毕业生数,中等职业学校(机构)加工制造类获得职业资格证书毕业生数,中等职业学校(机构)交通运输类获得职业资格证书毕业生数,中等职业学校(机构)信息技术类获得职业资格证书毕业生数,中等职业学校(机构)医药卫生类获得职业资格证书毕业生数,中等职业学校(机构)休闲保健类获得职业资格证书毕业生数,中等职业学校(机构)财经商贸类获得职业资格证书毕业生数,中等职业学校(机构)旅游服务类获得职业资格证书毕业生数,中等职业学校(机构)文化艺术类获得职业资格证书毕业生数,中等职业学校(机构)体育与健身获得职业资格证书毕业生数,中等职业学校(机构)教育类获得职业资格证书毕业生数,中等职业学校(机构)司法服务类获得职业资格证书毕业生数,中等职业学校(机构)公共管理与服务类获得职业资格证书毕业生数
2021,,,,,,,,,,,,,,,,,
2020,257.9124,,,,,,,,,,,,,,,,
2019,283.9511,,,,,,,,,,,,,,,,
2018,299.7739,,,,,,,,,,,,,,,,
2017,321.8321,,,,,,,,,,,,,,,,
2016,354.7673,,,,,,,,,,,,,,,,
2015,381.3336,39.6586,2.8599,1.7162,16.1698,60.8863,29.8141,67.3675,31.3538,1.9618,39.3593,18.296,16.8357,2.6124,38.0171,1.1896,3.981
2014,403.2975,44.9566,2.7962,2.0262,16.7524,69.7743,27.6981,74.2863,28.4019,1.8905,42.7803,17.3236,18.0086,2.1961,37.019,1.5854,4.4528
2013,433.6937,54.4841,3.5561,2.3213,14.0428,77.3784,27.3548,84.0227,30.9022,2.0132,48.0596,18.7459,18.9396,2.314,29.5739,1.5887,4.9224
2012,348.3872,28.108,2.3394,1.9102,10.3482,70.0805,21.9221,78.5308,23.186,1.2857,39.3229,16.436,15.0245,1.7406,19.834,1.0807,4.6739
2011,338.4287,18.4656,2.2605,2.205,9.2935,83.3267,16.9349,83.1043,17.9303,0.7313,40.1571,14.4294,15.1098,2.1261,15.7587,1.133,4.4693
2010,342.0318,12.4565,2.7987,2.283,9.0821,92.5115,15.2335,87.0967,16.1472,0.6716,39.2009,12.8738,17.3439,1.9521,13.2573,1.1079,5.1836
2009,313.126,10.6403,2.5775,2.2673,7.9173,88.3092,11.3096,84.2686,14.2534,,,,,,,,
2008,281.9264,10.045,2.5105,1.8776,7.1161,73.3559,9.2107,79.3515,11.8549,,,,,,,,
2007,253.5815,9.7428,1.7087,1.8139,5.5024,60.8071,7.5823,72.2192,10.3911,,,,,,,,
2006,220.0018,9.513,1.0664,1.1387,5.3143,43.6561,6.8272,65.0551,9.6162,,,,,,,,
2005,186.4778,8.9301,0.9432,0.8296,3.9443,30.2292,5.3302,55.4442,9.081,,,,,,,,
2004,151.3555,7.749,0.8356,0.715,3.7081,20.231,4.0958,43.6071,9.0176,,,,,,,,
2003,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
