年份,普通高等学校招生数,普通中学招生数,普通高中招生数,初中招生数,职业中学招生数,普通小学招生数,特殊教育学校招生数
2021,1001.3,,905.0,1705.4,,1782.6,14.9
2020,967.4518,,876.4435,1632.0964,,1808.0902,14.9046
2019,914.9026,,839.4949,1638.8487,,1869.0411,14.4211
2018,790.9931,,792.7,1602.6,,1867.3,12.4
2017,761.5,,800.1,1547.2,,1766.6,11.1
2016,748.6,,802.9,1487.2,,1752.5,9.2
2015,737.8,,796.6,1411.0,,1729.0,8.3
2014,721.4,,796.6,1447.8,,1658.4,7.1
2013,699.8,,822.7,1496.1,,1695.4,6.6
2012,688.8,2415.4,844.6,1570.8,,1714.7,6.6
2011,681.5,2484.7887,850.8,1634.7,247.147,1736.8,6.4
2010,661.8,2551.7289,836.2,1716.6,279.7632,1691.7,6.5
2009,639.5,2616.7296,830.3,1788.5,315.2346,1637.8,6.4
2008,607.7,2693.1726,837.0,1859.6,294.0872,1695.7,6.2
2007,565.9,2703.9143,840.2,1868.5,306.9298,1736.1,6.3
2006,546.1,2794.8,871.2,1929.5,294.0,1729.4,5.0
2005,504.5,2854.2563,877.7,1987.6,259.2697,1671.7,4.9
2004,447.3,2899.7,821.5,2094.6,229.1,1747.0,5.1
2003,382.2,2947.4,752.1,2220.1,222.1,1829.4,4.9
2002,320.5,2929.0,676.7,2281.8,216.88,1952.8,5.3
2001,268.3,2815.86,558.0,2287.9,185.02,1944.2,5.6
2000,220.6,2735.99,472.7,2295.6,182.7,1946.5,5.3
