年份,普通高等学校教职工总数,普通高等学校校本部教职工数,普通高等学校专任教师数,普通高等学校正高级专任教师数,普通高等学校副高级专任教师数,普通高等学校中级专任教师数,普通高等学校初级专任教师数,普通高等学校无职称专任教师数,普通高等学校校本部行政人员数,普通高等学校校本部教辅人员数,普通高等学校校本部工勤人员数
2021,,,,,,,,,,,
2020,266.8708,256.1094,183.2982,24.2951,55.0705,69.8705,19.0277,15.0344,37.5728,22.856,12.3824
2019,256.6705,246.2764,174.0145,22.9157,52.5371,67.3857,18.0196,13.1564,36.6678,22.6914,12.9027
2018,248.7544,238.4187,167.3,21.7874,50.4719,65.5883,17.839,11.5887,35.6249,22.3358,13.1827
2017,244.2995,233.698,163.3,20.8917,49.0184,64.4154,18.1785,10.8208,34.3226,22.0791,13.9715
2016,240.4784,229.6172,160.2,20.2154,47.3801,63.6438,18.8893,10.0682,33.1482,21.6513,14.6209
2015,236.9326,225.8289,157.3,19.6038,46.2825,62.7635,19.1774,9.4293,32.3434,21.0542,15.1748
2014,233.5723,221.8556,153.5,18.9136,44.8625,61.3729,19.5763,8.7257,31.8508,20.6321,15.9217
2013,229.6262,217.9314,149.7,18.1501,43.2356,59.6954,20.3713,8.2341,31.2606,20.528,16.4563
2012,225.4372,212.4081,144.0,16.9423,41.2692,57.6013,20.9811,7.2353,30.9534,20.6096,16.8159
2011,220.4819,207.708,139.3,15.9691,39.4689,54.9921,21.8431,6.9944,30.4026,20.5157,17.5221
2010,215.6601,202.0497,134.3,14.8552,37.7225,51.6938,23.1099,6.9313,29.7715,20.3345,17.631
2009,211.1451,196.65,129.5,13.8161,36.0675,47.7541,24.7962,7.0909,29.2046,19.9692,17.9514
2008,205.1029,189.8086,123.7451,12.8966,34.2699,43.564,25.832,7.1826,28.5735,19.4358,18.0542
2007,197.4526,,116.8,11.9651,32.63,39.4449,25.6962,7.0938,,,
2006,187.2601,,107.6,10.8856,30.483,35.221,23.9482,7.0611,,,
2005,174.2073,,96.6,,,,,,,,
2004,161.0658,,85.8,,,,,,,,
2003,145.3,,72.5,7.0063,21.6161,24.0555,14.6092,5.1787,,,
2002,130.36,,61.8,6.021,18.6293,21.0992,12.0229,4.0695,,,
2001,121.4429,,53.2,,,,,,,,
2000,111.2776,,46.3,,,,,,,,
