年份,学龄儿童净入学率,小学升学率,初中升学率,高中升学率
2021,,,,
2020,99.96,99.5,94.6,
2019,99.94,99.5,95.5,
2018,100.0,99.1,95.2,
2017,99.9,98.8,94.9,
2016,99.9,98.7,93.7,94.5
2015,99.9,98.2,94.1,92.5
2014,99.8,98.0,95.1,90.2
2013,99.7,98.3,91.2,87.6
2012,99.9,98.3,88.4,87.0
2011,99.8,98.3,88.9,86.5
2010,99.7,98.7,87.5,83.3
2009,99.4,99.1,85.6,77.6
2008,99.5,99.7,82.1,72.7
2007,99.5,99.9,80.5,70.3
2006,99.3,100.0,75.7,75.1
2005,99.2,98.4,69.7,76.3
2004,98.9,98.1,63.8,82.5
2003,98.7,97.9,59.6,83.4
2002,98.6,97.0,58.3,83.5
2001,99.1,95.5,52.9,78.8
2000,99.1,94.9,51.2,73.2
