年份,中等职业学校数,普通中等专业学校数,成人中等专业学校数,职业高中学校数,其他机构(教学点)(不计校数)数,中央部委中等职业学校数,中央部委普通中等专业学校数,中央部委成人中等专业学校数,中央部委职业高中学校数,中央部委其他机构(教学点)(不计校数)数,地方中等职业学校数,地方普通中等专业学校数,地方成人中等专业学校数,地方职业高中学校数,地方其他机构(教学点)(不计校数)数,教育部门中等职业学校数,教育部门普通中等专业学校数,教育部门成人中等专业学校数,教育部门职业高中学校数,教育部门其他机构(教学点)(不计校数)数,非教育部门中等职业学校数,非教育部门普通中等专业学校数,非教育部门成人中等专业学校数,非教育部门职业高中学校数,非教育部门其他机构(教学点)(不计校数)数,地方企业中等职业学校数,地方企业普通中等专业学校数,地方企业成人中等专业学校数,地方企业职业高中学校数,地方企业其他机构(教学点)(不计校数)数,民办中等职业学校数,民办普通中等专业学校数,民办成人中等专业学校数,民办职业高中学校数,民办其他机构(教学点)(不计校数)数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,3266.0,991.0,3216.0,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,3339.0,1032.0,3315.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,3322.0,1097.0,3431.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,3346.0,1218.0,3617.0,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,3398.0,1243.0,3726.0,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,3456.0,1294.0,3907.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,3536.0,1457.0,4067.0,402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,9380.0,3577.0,1536.0,4267.0,451.0,23.0,18.0,3.0,2.0,2.0,6875.0,2667.0,1384.0,2824.0,385.0,5378.0,1655.0,1116.0,2607.0,277.0,1412.0,981.0,242.0,189.0,102.0,85.0,31.0,26.0,28.0,6.0,2482.0,892.0,149.0,1441.0,64.0
2012,9762.0,3681.0,1564.0,4517.0,509.0,24.0,18.0,3.0,3.0,3.0,7089.0,2727.0,1410.0,2952.0,420.0,5534.0,1705.0,1127.0,2702.0,297.0,1464.0,987.0,257.0,220.0,115.0,91.0,35.0,26.0,30.0,8.0,2649.0,936.0,151.0,1562.0,86.0
2011,10169.0,3753.0,1614.0,4802.0,642.0,30.0,22.0,4.0,4.0,3.0,7283.0,2750.0,1452.0,3081.0,515.0,5669.0,1711.0,1152.0,2806.0,353.0,1510.0,998.0,274.0,238.0,151.0,104.0,41.0,26.0,37.0,11.0,2856.0,981.0,158.0,1717.0,124.0
2010,10864.0,3938.0,1720.0,5206.0,2012.0,41.0,29.0,9.0,3.0,5.0,7700.0,2846.0,1547.0,3307.0,1628.0,5777.0,1641.0,1193.0,2943.0,1113.0,1923.0,1205.0,354.0,364.0,515.0,,,,,,3123.0,1063.0,164.0,1896.0,379.0
2009,11324.0,3789.0,1883.0,5652.0,2390.0,55.0,34.0,14.0,7.0,5.0,8071.0,2744.0,1674.0,3653.0,1972.0,5974.0,1505.0,1263.0,3206.0,1328.0,2097.0,1239.0,411.0,447.0,644.0,,,,,,3198.0,1011.0,195.0,1992.0,413.0
2008,11744.0,3846.0,1983.0,5915.0,2483.0,67.0,35.0,20.0,12.0,5.0,8443.0,2816.0,1756.0,3871.0,2071.0,6148.0,1518.0,1285.0,3345.0,1391.0,2295.0,1298.0,471.0,526.0,680.0,,,,,,3234.0,995.0,207.0,2032.0,407.0
2007,11837.0,3801.0,2120.0,5916.0,2868.0,67.0,34.0,22.0,11.0,10.0,8812.0,2885.0,1904.0,4023.0,2363.0,6379.0,1549.0,1383.0,3447.0,1612.0,2433.0,1336.0,521.0,576.0,751.0,,,,,,2958.0,882.0,194.0,1882.0,495.0
2006,11813.0,3698.0,2350.0,5765.0,2502.0,76.0,34.0,27.0,15.0,12.0,9178.0,2890.0,2138.0,4150.0,2165.0,6583.0,1515.0,1542.0,3526.0,1409.0,2595.0,1375.0,596.0,624.0,756.0,,,,,,2559.0,774.0,185.0,1600.0,325.0
2005,11611.0,3207.0,2582.0,5822.0,2386.0,92.0,39.0,35.0,18.0,19.0,9502.0,2700.0,2381.0,4421.0,2127.0,6672.0,1303.0,1659.0,3710.0,1406.0,2830.0,1397.0,722.0,711.0,721.0,,,,,,2017.0,468.0,166.0,1383.0,240.0
2004,11570.0,3047.0,2742.0,5781.0,2295.0,100.0,61.0,24.0,15.0,28.0,9837.0,2754.0,2550.0,4533.0,2056.0,6720.0,1277.0,1731.0,3712.0,1380.0,3117.0,1477.0,819.0,821.0,676.0,,,,,,1633.0,232.0,168.0,1233.0,211.0
2003,,3065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,2953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,3260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,3646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
