年份,研究生招生数,博士招生数,硕士招生数,普通本科、专科生招生数,普通本科招生数,普通专科招生数,成人本科、专科生招生数,成人本科招生数,成人专科招生数,网络本科、专科生招生数,网络本科招生数,网络专科招生数,在职人员攻读博士硕士学位招生数,自考助学班招生数,留学生招生数,研究生在校学生数,博士在校学生数,硕士在校学生数,普通本科、专科生在校学生数,普通本科在校学生数,普通专科在校学生数,成人本科、专科生在校学生数,成人本科在校学生数,成人专科在校学生数,网络本科、专科生在校学生数,网络本科在校学生数,网络专科在校学生数,在职人员攻读博士、硕士学位在校学生数,电大注册视听生在校学生数,自考助学班在校学生数,研究生课程进修班在校学生数,普通预科生在校学生数,进修及培训在校学生数,留学生在校学生数,研究生毕(结)业生数,博士毕(结)业生数,硕士毕(结)业生数,普通本科、专科生毕(结)业生数,普通本科毕(结)业生数,普通专科毕(结)业生数,成人本科、专科生毕(结)业生数,成人本科毕(结)业生数,成人专科毕(结)业生数,网络本科、专科生毕(结)业生数,网络本科毕(结)业生数,网络专科毕(结)业生数,学历文凭考试毕(结)业生数,电大注册视听生毕(结)业生数,自考助学班毕(结)业生数,研究生课程进修班毕(结)业生数,普通预科生毕(结)业生数,进修及培训毕(结)业生数,留学生毕(结)业生数,研究生授予学位数,博士授予学位数,硕士授予学位数,普通本科、专科生授予学位数,普通本科授予学位数,成人本科、专科生授予学位数,成人本科授予学位数,网络本科、专科生授予学位数,网络本科授予学位数,在职人员攻读博士硕士学位授予学位数,留学生授予学位数
2021,117.7,,,1001.3,,,,,,,,,,,,333.2,,,3496.1,,,,,,,,,,,,,,,,77.3,,,826.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,110.6551,11.6047,99.0504,967.4518,443.1154,524.3364,363.763,189.6292,174.1338,277.9128,107.2248,170.688,,,,313.9598,46.6549,267.3049,3285.2948,1825.746,1459.5488,777.2942,405.1025,372.1917,846.4464,311.1899,535.2565,,,,,,,,72.8627,6.6176,66.2451,797.1991,420.5097,376.6894,246.9562,122.6385,124.3177,272.2497,86.612,185.6377,,,,,,,,,,,416.9808,,,,,,,
2019,91.6503,10.5169,81.1334,914.9026,431.288,483.6146,302.2088,150.552,151.6568,288.5458,100.6897,187.8561,,,,286.3712,42.4182,243.953,3031.5262,1750.8204,1280.7058,668.5603,341.3174,327.2429,857.8345,294.161,563.6735,,,,,,,,63.9666,6.2578,57.7088,758.5298,394.7157,363.8141,213.1369,101.6733,111.4636,232.3128,80.1508,152.162,,,,,,,,,,,389.175,,,,,,,
2018,85.7966,9.5502,76.2464,790.9931,422.159,368.8341,273.3119,140.038,133.2739,320.9064,104.436,216.4704,,,,273.1257,38.9518,234.1739,2831.0,1697.3343,1133.7005,590.9878,297.1134,293.8744,825.6553,282.5757,543.0796,,,,,,,,60.4368,6.0724,54.3644,753.3,386.8358,366.4729,217.7408,99.5851,118.1557,194.9189,68.1915,126.7274,,,,,,,,,,,380.7417,,,,,,,
2017,80.6103,8.3878,72.2225,761.5,410.7534,350.7,217.5302,102.3981,115.1321,286.1143,99.3253,186.789,,,,263.9561,36.1997,227.7564,2753.6,1648.632,1105.0,544.1429,258.9809,285.162,735.9267,258.7338,477.1929,,,,,,,,57.8045,5.8032,52.0013,735.8,384.1839,351.6,247.037,109.1226,137.9144,177.7905,65.9559,111.8346,,,11.6214,0.9244,,968.2937,,,,,377.1039,,,,,,,
2016,66.7064,7.7252,58.9812,748.6,405.4007,343.2,211.229,96.9387,114.2903,229.6088,84.7568,144.852,,,,198.1051,34.2027,163.9024,2695.8,1612.9535,1082.9,584.3883,268.6619,315.7264,644.9329,233.927,411.0059,,,,,,,,56.3938,5.5011,50.8927,704.2,374.368,329.8,244.465,102.1846,142.2804,187.4787,70.0906,117.3881,,,,,,,,,,,365.9686,,,,,,,
2015,64.5055,7.4416,57.0639,737.8,389.4184,348.4,236.7455,101.4675,135.278,203.4032,74.866,128.5372,,,,191.1406,32.6687,158.4719,2625.3,1576.6848,1048.6,635.9352,279.3354,356.5998,628.4671,229.4807,398.9864,,,,,,,,55.1522,5.3778,49.7744,680.9,358.594,322.3,236.2593,96.2495,140.0098,179.9757,64.9086,115.0671,,,13.0855,3.126,,891.3268,,,,,350.323,,,,,,,
2014,62.1323,7.2634,54.8689,721.4,383.4152,338.0,265.604,110.2409,155.3631,206.1852,78.1445,128.0407,16.2374,,,184.7689,31.2676,153.5013,2547.7,1541.0653,1006.6,653.1212,279.7917,373.3295,631.4472,228.701,402.7462,59.6086,,,,,,,53.5863,5.3653,48.221,659.4,341.3787,318.0,221.2329,89.905,131.3279,166.1306,58.6272,107.5034,,,14.9228,3.4836,,901.8734,,,,,333.8323,,,,,,,
2013,61.1381,7.0462,54.0919,699.8,381.4331,318.4,256.4934,103.8158,152.6776,220.0729,80.4378,139.6351,16.7576,,10.6448,179.3953,29.8283,149.567,2468.1,1494.4353,973.6,626.4145,265.4596,360.9549,614.6406,217.51,397.1306,55.873,,40.5329,6.9321,4.2514,626.8398,17.4806,51.3626,5.3139,46.0487,638.7,319.9716,318.7,199.7729,81.1159,118.657,156.0762,53.6702,102.406,,,19.4882,4.8329,,909.4537,9.1251,50.952,5.1714,45.7806,313.0415,313.0415,12.6057,12.6057,4.0267,4.0267,10.3468,1.9025
2012,58.9673,6.837,52.1303,688.8,374.0574,314.8,243.9551,98.4817,145.4734,196.4468,69.6698,126.777,14.0629,,10.2991,171.9818,28.381,143.6008,2391.3,1427.0888,964.2,583.1123,247.5495,335.5628,570.4112,200.2698,370.1414,48.9857,,39.7381,7.3796,3.7668,343.9532,15.7845,48.6455,5.1713,43.4742,624.7,303.8473,320.9,195.4357,80.1015,115.3342,136.087,47.7949,88.2921,,,18.4933,5.0284,0.0,755.0132,8.3613,48.183,5.0399,43.1431,296.6148,296.6148,12.657,12.657,3.4658,3.4658,10.4781,1.8259
