年份,研究生招生数,博士招生数,硕士招生数,普通本科、专科生招生数,普通本科招生数,普通专科招生数,成人本科、专科生招生数,成人本科招生数,成人专科招生数,网络本科、专科生招生数,网络本科招生数,网络专科招生数,在职人员攻读博士硕士学位招生数,自考助学班招生数,留学生招生数,研究生在校学生数,博士在校学生数,硕士在校学生数,普通本科、专科生在校学生数,普通本科在校学生数,普通专科在校学生数,成人本科、专科生在校学生数,成人本科在校学生数,成人专科在校学生数,网络本科、专科生在校学生数,网络本科在校学生数,网络专科在校学生数,在职人员攻读博士、硕士学位在校学生数,电大注册视听生在校学生数,自考助学班在校学生数,研究生课程进修班在校学生数,普通预科生在校学生数,进修及培训在校学生数,留学生在校学生数,研究生毕(结)业生数,博士毕(结)业生数,硕士毕(结)业生数,普通本科、专科生毕(结)业生数,普通本科毕(结)业生数,普通专科毕(结)业生数,成人本科、专科生毕(结)业生数,成人本科毕(结)业生数,成人专科毕(结)业生数,网络本科、专科生毕(结)业生数,网络本科毕(结)业生数,网络专科毕(结)业生数,学历文凭考试毕(结)业生数,电大注册视听生毕(结)业生数,自考助学班毕(结)业生数,研究生课程进修班毕(结)业生数,普通预科生毕(结)业生数,进修及培训毕(结)业生数,留学生毕(结)业生数,研究生授予学位数,博士授予学位数,硕士授予学位数,普通本科、专科生授予学位数,普通本科授予学位数,成人本科、专科生授予学位数,成人本科授予学位数,网络本科、专科生授予学位数,网络本科授予学位数,在职人员攻读博士硕士学位授予学位数,留学生授予学位数
2011,56.0168,6.5559,49.4609,681.5,356.6411,324.9,218.5141,89.7241,128.79,187.1519,64.3993,122.7526,13.4061,,9.4692,164.5845,27.1261,137.4584,2308.5,1349.6577,958.9,547.4962,233.6132,313.883,492.4833,175.476,317.0073,46.1693,,24.4868,6.7112,3.2274,282.5772,14.7549,42.9994,5.0289,37.9705,608.2,279.6229,328.5,190.664,75.5402,115.1238,129.9253,46.0149,83.9104,,,24.2067,4.8873,,648.0856,7.3693,42.6778,4.8551,37.8227,270.7934,270.7934,9.9984,9.9984,3.0979,3.0979,10.7304,1.5197
2010,53.8177,6.3762,47.4415,661.8,351.2563,310.5,208.4259,85.3319,123.094,166.3655,55.5789,110.7866,12.4871,18.8322,8.0846,153.8416,25.895,127.9466,2231.8,1265.6132,966.2,536.0388,225.0457,310.9931,453.1443,164.0403,289.104,42.0294,,59.5048,6.4978,3.197,263.6948,13.0637,38.36,4.8987,33.4613,575.4,259.0535,316.4,197.2873,80.3915,116.8958,110.5529,42.2543,68.2986,,,19.4889,4.829,,688.2371,6.2071,37.9992,4.7407,33.2585,243.5867,243.5867,10.1028,10.1028,2.5956,2.5956,10.2658,1.1912
2009,51.0953,6.1911,44.9042,639.5,326.1081,313.4,201.4776,81.5795,119.8981,162.5687,55.1287,107.44,11.5985,22.1279,7.3266,140.4942,24.6319,115.8623,2144.7,1179.8511,964.8,541.3513,225.6662,315.6851,417.2721,157.2642,260.0079,39.4331,,69.6503,6.8646,3.0649,209.878,11.7548,37.1273,4.8658,32.2615,531.1,245.5359,285.6,194.3893,86.5421,107.8472,98.3521,40.5549,57.7972,,0.1113,19.6768,4.6803,,507.3449,5.5251,36.7871,4.6616,32.1255,229.82,229.82,10.875,10.875,2.4404,2.4404,10.1956,0.9013
2008,44.6422,5.9764,38.6658,607.7,297.0601,310.6,202.5552,83.1362,119.419,147.2194,53.5914,93.628,13.337,33.5598,7.1294,128.3046,23.6617,104.6429,2021.0,1104.2207,916.8,548.2949,235.2832,313.0117,355.895,144.6709,211.2241,39.3816,0.4934,92.754,5.6185,2.6029,170.8581,10.687,34.4825,4.3759,30.1066,511.9498,225.6783,286.3,169.0944,68.4506,100.6438,90.1522,40.3824,49.7698,,0.1398,21.4769,4.5457,,411.9157,5.2745,34.1154,4.2217,29.8937,208.2558,208.2558,9.6438,9.6438,2.6149,2.6149,8.6728,0.7406
2007,41.8612,5.8022,36.059,565.9,282.0971,283.8,191.1132,82.0858,109.0274,123.4385,49.7993,73.6392,12.6884,,,119.5047,22.2508,97.2539,1884.9,1024.303,860.6,524.155,222.7218,301.4332,310.48,136.9091,173.5709,34.6068,,,,,,,31.1839,4.1464,27.0375,447.8,199.5944,248.2,176.44,67.489,108.951,82.8225,37.7161,45.1064,6.0844,,,,,,,,,,182.0516,,,,,,,
2006,39.7925,5.5955,34.197,546.1,253.0854,293.0,184.4431,77.7677,106.6754,113.2516,50.953,62.2986,10.9245,,,110.4653,20.8038,89.6615,1738.8,943.3395,795.5,524.8765,212.0297,312.8468,279.2945,129.6893,149.6052,29.91,,,,,,,25.5902,3.6247,21.9655,377.5,172.6674,204.8,81.5163,21.8303,59.686,88.5117,43.6707,44.841,7.6377,,,,,,,,,,156.5549,,,,,,,
2005,36.4831,5.4794,31.0037,504.5,236.3647,268.1,193.025,74.7196,118.3054,89.1046,40.8606,48.244,10.1653,,,97.861,19.1317,78.7293,1561.8,848.8188,713.0,436.0705,161.114,274.9565,265.2679,127.2292,138.0387,25.4672,,,,,,,18.9728,2.7677,16.2051,306.8,146.5786,160.2,166.7889,55.5799,111.209,75.9627,39.231,36.7317,9.4202,,,,,,,,,,130.9692,,,,,,,
2004,32.6286,5.3284,27.3002,447.3,209.9151,237.4,221.158,75.9434,145.2146,83.9325,42.7811,41.1514,7.8171,,,81.9896,16.561,65.4286,1333.5,737.8436,595.7,419.7956,141.5954,278.2002,236.5908,127.0458,109.545,20.1448,,,,,,,15.0777,2.3446,12.7331,239.1,119.629,119.5,189.6152,54.0356,135.5796,39.3715,21.1728,18.1987,11.0559,,,,,,,,,,,,,,,,,
2003,26.8925,,,382.2,182.5262,199.6,,,,,,,,,,65.126,,,1108.6,629.2089,479.4,,,,,,,,,,,,,,11.1091,,,187.7,92.9598,94.8,,,,,,,,,,,,,,,,,,,,,,,,
2002,20.2611,,,320.5,158.7939,89.1,,,,,,,,,,50.098,,,903.4,527.0845,193.4,,,,,,,,,,,,,,8.0841,,,133.7,65.5763,27.7,,,,,,,,,,,,,,,,,,,,,,,,
2001,16.5197,,,268.3,138.1835,66.6,,,,,,,,,,39.3256,,,719.1,424.3744,146.8,,,,,,,,,,,,,,6.7809,,,103.6,56.7839,19.3,,,,,,,,,,,,,,,,,,,,,,,,
2000,12.8484,,,220.6,116.0191,48.7,,,,,,,,,,30.1239,,,556.1,340.0181,100.9,,,,,,,,,,,,,,5.8767,,,95.0,49.5624,17.9,,,,,,,,,,,,,,,,,,,,,,,,
