年份,普通高等学校数,普通中学学校数,普通高中学校数,初中学校数,职业中学学校数,普通小学学校数,特殊教育学校学校数,学前教育学校数
2021,,,,,,,,
2020,2738.0,,14235.0,52805.0,,157979.0,2244.0,291715.0
2019,2688.0,,13964.0,52415.0,,160148.0,2192.0,281174.0
2018,2663.0,,13737.0,51982.0,,161811.0,2152.0,266677.0
2017,2631.0,,13555.0,51894.0,,167009.0,2107.0,254950.0
2016,2596.0,,13383.0,52118.0,,177633.0,2080.0,239812.0
2015,2560.0,,13240.0,52405.0,,190525.0,2053.0,223683.0
2014,2529.0,,13253.0,52623.0,,201377.0,2000.0,209881.0
2013,2491.0,,13352.0,52804.0,,213529.0,1933.0,198553.0
2012,2442.0,66725.0,13509.0,53216.0,,228585.0,1853.0,181251.0
2011,2409.0,67751.0,13688.0,54117.0,4856.0,241249.0,1767.0,166750.0
2010,2358.0,68881.0,14058.0,54890.0,5273.0,257410.0,1706.0,150420.0
2009,2305.0,70774.0,14607.0,56320.0,5805.0,280184.0,1672.0,138209.0
2008,2263.0,72907.0,15206.0,57914.0,6128.0,300854.0,1640.0,133722.0
2007,1908.0,74790.0,15681.0,59384.0,6191.0,320061.0,1618.0,129086.0
2006,1867.0,76703.0,16153.0,60885.0,6100.0,341639.0,1605.0,130495.0
2005,1792.0,77977.0,16092.0,62486.0,6423.0,366213.0,1593.0,124402.0
2004,1731.0,79058.0,15998.0,63757.0,6478.0,394183.0,1560.0,117899.0
2003,1552.0,79490.0,15779.0,64730.0,6843.0,425846.0,1551.0,116390.0
2002,1396.0,80067.0,15406.0,65645.0,7402.0,456903.0,1540.0,111752.0
2001,1225.0,80432.0,14907.0,66590.0,7802.0,491273.0,1531.0,111706.0
2000,1041.0,77268.0,14564.0,63898.0,8849.0,553622.0,1539.0,175836.0
