年份,普通高等学校毕业生数,普通中学毕业生数,普通高中毕业生数,初中毕业生数,职业中学毕业生数,普通小学毕业生数,特殊教育学校毕业生数
2021,826.5,,780.2,1587.1,,1718.0,14.6
2020,797.1991,,786.5315,1535.2918,,1640.3201,12.1411
2019,758.5298,,789.2494,1454.0936,,1647.9006,9.7587
2018,753.3,,779.2,1367.8,,1616.5,8.1
2017,735.8,,775.7,1397.5,,1565.9,6.9
2016,704.2,,792.4,1423.9,,1507.4,5.9
2015,680.9,,797.7,1417.6,,1437.3,5.3
2014,659.4,,799.6,1413.5,,1476.6,4.9
2013,638.7,,799.0,1561.5,,1581.1,5.1
2012,624.7,2452.3,791.5,1660.8,,1641.6,4.9
2011,608.2,2523.2,787.7,1736.7,218.9831,1662.8,4.4
2010,575.4,2543.0049,794.4,1750.4,231.9823,1739.6,5.9
2009,531.1,2618.4474,823.7,1797.7,232.128,1805.2,5.7
2008,511.9498,2698.9536,836.1,1868.0,216.6924,1865.0,5.2
2007,447.8,2745.1571,788.3,1963.7,197.7467,1870.2,5.0
2006,377.5,2789.5,727.1,2071.6,179.5,1928.5,4.5
2005,306.8,2768.0863,661.6,2123.4,169.9992,2019.5,4.3
2004,239.1,2617.4,546.9,2087.3,142.5,2135.2,4.7
2003,187.7,2453.7,458.1,2018.5,135.5,2267.9,4.5
2002,133.7,2263.63,383.8,1903.7,145.43,2351.9,4.4
2001,103.6,2047.44,340.5,1731.5,166.5,2396.9,4.6
2000,95.0,1908.6,301.5,1633.5,176.28,2419.2,4.3
