年份,技工学校数,技工学校招生数,技工学校在校学生数,技工学校毕业生数,技工学校教职工数
2021,,,,,
2020,2423.0,160.0551,395.5306,101.407,27.929
2019,2392.0,142.9536,360.305,98.4247,27.181
2018,2379.0,128.5,341.6,90.3,26.7
2017,2490.0,130.9,338.2,90.5,26.9
2016,2526.0,127.2,323.2,93.1,26.5
2015,2545.0,121.4,321.5,94.6,26.0
2014,2818.0,124.4,339.0,106.8,26.5
2013,2882.0,133.5,386.6,116.9,26.9
2012,2892.0,156.8,422.8,120.2,26.7
2011,2914.0,163.5,429.4,118.9,26.5
2010,2998.0,158.6,421.0,121.3,26.5
2009,3064.0,156.4,414.3,115.2,25.8
2008,3075.0,161.4,397.5,109.0,24.7
2007,2995.0,158.5487,367.1475,99.7,23.9989
2006,2880.0,134.8,320.8,86.4,21.5
2005,2855.0,118.3693,275.2974,68.9976,20.4009
2004,2884.0,109.7,234.4,53.5,20.4
2003,2970.0,91.6,193.1,45.3,20.2
2002,3075.0,73.3,153.0,45.4,20.3
2001,3470.0,55.1,134.7,47.7,22.0
2000,3792.0,50.4,140.1,64.6,24.0
