年份,中等职业学校(机构)招生数,中等职业学校(机构)初中毕业数,中等职业学校(机构)应届初中毕业生数,中等职业学校(机构)在校学生数,中等职业学校(机构)毕业生数,中等职业学校(机构)获得职业资格证书毕业生数,中等职业学校(机构)预计毕业生数
2021,,,,,,,
2020,484.6056,,,1267.8379,383.4642,257.9124,385.1372
2019,457.4121,,,1216.1663,395.0427,283.9511,391.9994
2018,428.5024,,,1213.628,396.977,299.7739,405.6047
2017,451.5235,,,1254.2893,406.3981,321.8321,413.6983
2016,466.1428,,,1275.8604,440.5572,354.7673,419.2367
2015,479.8174,,,1335.2414,473.2654,381.3336,456.0122
2014,495.3553,,,1416.3127,516.1519,403.2975,490.2884
2013,541.2624,,,1536.3842,557.5587,433.6937,539.2971
2012,597.0785,,,1689.882,554.384,348.3872,566.3952
2011,649.9626,,,1774.9068,541.1252,338.4287,573.4745
2010,711.3957,627.2645,538.7353,1816.4447,543.6524,342.0318,563.2128
2009,711.777,627.9411,546.7998,1779.8473,509.6654,313.126,561.0027
2008,650.2739,596.2894,561.7727,1688.2421,471.0924,281.9264,521.8475
2007,651.4754,607.8414,581.6666,1619.859,431.2433,253.5815,479.7747
2006,613.0607,580.2988,561.6975,1489.0719,392.6271,220.0018,435.7676
2005,537.2922,509.0379,492.2138,1324.7421,349.1921,186.4778,391.9519
2004,456.5045,425.4365,400.0699,1174.7467,305.6939,151.3555,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
