年份,普通专科毕业生数,师范普通专科毕业生数,农林牧渔大类普通专科毕业生数,交通运输大类普通专科毕业生数,生化与药品大类普通专科毕业生数,资源开发与测绘大类普通专科毕业生数,材料与能源大类普通专科毕业生数,土建大类普通专科毕业生数,水利大类普通专科毕业生数,制造大类普通专科毕业生数,电子信息大类普通专科毕业生数,环保、气象与安全大类普通专科毕业生数,轻纺食品大类普通专科毕业生数,财经大类普通专科毕业生数,医药卫生大类普通专科毕业生数,旅游大类普通专科毕业生数,公共事业大类普通专科毕业生数,文化教育大类普通专科毕业生数,艺术设计传媒大类普通专科毕业生数,公安大类普通专科毕业生数,法律大类普通专科毕业生数
2021,,,,,,,,,,,,,,,,,,,,,
2020,376.6894,,,,,,,,,,,,,,,,,,,,
2019,363.8141,,,,,,,,,,,,,,,,,,,,
2018,366.4729,,,,,,,,,,,,,,,,,,,,
2017,351.6,,,,,,,,,,,,,,,,,,,,
2016,329.8,,,,,,,,,,,,,,,,,,,,
2015,322.3,18.9923,5.6327,15.6838,7.0232,4.9832,3.9795,36.5832,1.405,40.6492,29.2557,1.4375,5.0351,69.3822,34.2616,10.5073,3.1308,33.9108,14.3578,1.1976,3.8764
2014,318.0,17.1317,5.5541,14.4556,7.5017,4.9103,4.3188,35.8518,1.3695,40.7139,29.4869,1.525,5.4313,67.4602,31.7784,10.2073,3.0804,34.4016,14.7302,1.2684,3.943
2013,318.7,17.6354,5.6295,13.7055,7.8844,4.8329,4.5039,31.3035,1.2388,42.2106,32.5817,1.5114,5.7604,66.8469,30.8106,10.4287,3.2218,35.8222,15.4159,0.9514,4.0893
2012,320.9,18.3755,5.8308,12.7177,8.1411,4.3511,4.5115,27.1421,1.0955,43.0682,37.0232,1.4649,6.2363,67.1797,27.929,10.8371,3.1195,38.8794,15.0028,1.6741,4.6825
2011,328.5,19.865,5.958,11.6379,8.5344,4.0777,4.6523,25.2816,1.1036,45.7549,39.4674,1.5955,6.4209,66.8498,27.6239,10.6716,3.2915,43.0851,15.2434,2.4066,4.8775
2010,316.4,,,,,,,,,,,,,,,,,,,,
2009,285.6,,,,,,,,,,,,,,,,,,,,
2008,286.3,,,,,,,,,,,,,,,,,,,,
2007,248.2,,,,,,,,,,,,,,,,,,,,
2006,204.8,,,,,,,,,,,,,,,,,,,,
2005,160.2,,,,,,,,,,,,,,,,,,,,
2004,119.5,,,,,,,,,,,,,,,,,,,,
2003,94.8,,,,,,,,,,,,,,,,,,,,
2002,27.7,,,,,,,,,,,,,,,,,,,,
2001,19.3,,,,,,,,,,,,,,,,,,,,
2000,17.9,,,,,,,,,,,,,,,,,,,,
