年份,成人本科在校学生数,成人高等学校办成人本科在校学生数,成人高等学校办师范成人本科在校学生数,成人高等学校办经济学成人本科在校学生数,成人高等学校办法学成人本科在校学生数,成人高等学校办教育学成人本科在校学生数,成人高等学校办文学成人本科在校学生数,成人高等学校办外语成人本科在校学生数,成人高等学校办艺术成人本科在校学生数,成人高等学校办历史学成人本科在校学生数,成人高等学校办理学成人本科在校学生数,成人高等学校办工学成人本科在校学生数,成人高等学校办农学成人本科在校学生数,成人高等学校办医学成人本科在校学生数,成人高等学校办管理学成人本科在校学生数,普通高等学校办成人本科在校学生数,普通高等学校办师范成人本科在校学生数,普通高等学校办哲学成人本科在校学生数,普通高等学校办经济学成人本科在校学生数,普通高等学校办法学成人本科在校学生数,普通高等学校办教育学成人本科在校学生数,普通高等学校办文学成人本科在校学生数,普通高等学校办外语成人本科在校学生数,普通高等学校办艺术成人本科在校学生数,普通高等学校办历史学成人本科在校学生数,普通高等学校办理学成人本科在校学生数,普通高等学校办工学成人本科在校学生数,普通高等学校办农学成人本科在校学生数,普通高等学校办医学成人本科在校学生数,普通高等学校办管理学成人本科在校学生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,405.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,341.3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,297.1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,258.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,268.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,279.3354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,279.7917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,265.4596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,247.5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,233.6132,4.9928,1.8861,0.1518,0.4861,1.3713,1.3673,0.3928,0.1205,0.0138,0.2063,0.2081,0.0127,0.5003,0.6751,228.6204,30.1429,0.0167,8.305,12.3353,11.3834,33.2402,9.2673,5.2618,0.5248,6.8188,53.9077,3.4547,42.2216,56.4122
2010,225.0457,5.1853,2.7538,0.1446,0.4678,1.3961,1.6793,0.4557,0.1279,0.0198,0.242,0.248,0.0167,0.326,0.645,219.8604,36.8612,0.0257,8.5308,12.8798,11.5024,36.7965,10.784,5.483,0.6523,7.6819,50.3263,3.2269,36.2991,51.9387
2009,225.6662,8.0224,5.3069,0.1873,0.5701,1.9723,3.2691,0.9715,0.2211,0.0761,0.5759,0.3096,0.0137,0.3296,0.7187,217.6438,40.7429,0.0239,8.4691,13.8395,11.9294,40.6894,12.2752,5.8811,0.7283,9.0858,48.0391,3.4379,32.2033,49.1981
2008,235.2832,10.577,7.4903,0.1764,0.783,2.6411,4.379,1.3291,0.3186,0.1287,0.9236,0.3777,0.0099,0.2999,0.8577,224.7062,46.9702,0.0024,8.4632,16.7977,12.9002,45.3083,14.2694,6.9522,0.8757,11.2196,48.006,3.9758,29.0623,48.095
2007,222.7218,12.122,9.0298,0.1038,0.7571,2.8644,5.0591,1.6584,0.4221,0.164,1.4611,0.473,0.0083,0.3462,0.885,210.5998,48.5179,,7.9096,17.6506,12.3999,44.2027,14.7737,7.3934,0.9728,12.7753,42.6779,3.5628,25.062,43.3862
2006,212.0297,14.3244,11.1251,0.1092,0.9187,2.8278,6.2003,2.2913,0.6499,0.2432,2.2112,0.5856,0.0094,0.3577,0.8613,197.7053,51.1484,,7.9743,18.1484,12.112,43.8627,14.9316,8.0226,1.1919,14.4503,37.3201,3.1019,21.3108,38.2329
2005,161.114,11.3423,8.7047,0.1172,0.795,1.7542,5.0265,2.0485,0.5683,0.171,1.9373,0.4554,0.0068,0.4369,0.642,149.7717,18.6024,0.0038,6.6387,13.9072,8.4191,33.8992,12.0689,6.9063,0.924,11.4442,28.0959,2.2429,16.0229,28.1738
2004,141.5954,10.632,8.6376,0.1486,0.9458,1.5215,4.6477,1.8155,0.555,0.2089,2.0398,0.3905,0.0042,0.1965,0.5285,130.9634,35.8351,0.003,6.4656,13.0313,6.7015,29.1935,10.3879,6.0545,0.9924,11.0352,25.5206,1.7238,12.6185,23.678
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
