年份,成人本科招生数,成人高等学校办成人本科招生数,成人高等学校办师范成人本科招生数,成人高等学校办经济学成人本科招生数,成人高等学校办法学成人本科招生数,成人高等学校办教育学成人本科招生数,成人高等学校办文学成人本科招生数,成人高等学校办外语成人本科招生数,成人高等学校办艺术成人本科招生数,成人高等学校办历史学成人本科招生数,成人高等学校办理学成人本科招生数,成人高等学校办工学成人本科招生数,成人高等学校办农学成人本科招生数,成人高等学校办医学成人本科招生数,成人高等学校办管理学成人本科招生数,普通高等学校办成人本科招生数,普通高等学校办师范成人本科招生数,普通高等学校办哲学成人本科招生数,普通高等学校办经济学成人本科招生数,普通高等学校办法学成人本科招生数,普通高等学校办教育学成人本科招生数,普通高等学校办文学成人本科招生数,普通高等学校办外语成人本科招生数,普通高等学校办艺术成人本科招生数,普通高等学校办历史学成人本科招生数,普通高等学校办理学成人本科招生数,普通高等学校办工学成人本科招生数,普通高等学校办农学成人本科招生数,普通高等学校办医学成人本科招生数,普通高等学校办管理学成人本科招生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,189.6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,150.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,140.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,102.3981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,96.9387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,101.4675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,110.2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,103.8158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,98.4817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,89.7241,1.9286,0.6519,0.0615,0.233,0.5186,0.4386,0.1367,0.0433,0.0046,0.0642,0.066,,0.2842,0.2579,87.7955,10.8577,0.002,2.8669,4.7709,4.2945,11.3802,2.9079,1.7883,0.1635,2.3655,21.4648,1.43,16.61,22.4472
2010,85.3319,2.058,1.0259,0.0542,0.2028,0.5068,0.6573,0.1644,0.0532,0.0052,0.0962,0.0896,0.0065,0.1654,0.274,83.2739,13.2672,0.0097,3.0373,4.8799,4.189,12.8618,3.4768,1.8917,0.222,2.7032,19.1388,1.285,14.995,19.9522
2009,81.5795,2.5412,1.54,0.0732,0.2063,0.5657,0.9369,0.2813,0.0615,0.0201,0.1653,0.1165,0.0062,0.1102,0.3408,79.0383,13.7137,0.0136,2.9586,4.6113,4.1,13.6754,3.9228,1.9557,0.2367,2.889,17.3121,1.0357,13.5317,18.6742
2008,83.1362,3.4291,2.3633,0.0864,0.2946,0.8565,1.411,0.4075,0.075,0.038,0.2231,0.1183,0.004,0.1275,0.2697,79.7071,15.6493,0.0024,2.9243,5.3093,4.4931,15.9699,4.8327,2.2434,0.2755,3.427,16.9992,1.3888,11.433,17.4846
2007,82.0858,3.9015,2.7522,0.035,0.3274,0.9137,1.6634,0.5097,0.1216,0.0444,0.3355,0.1316,0.0035,0.1549,0.2921,78.1843,16.7605,,2.6685,5.9465,4.465,16.0824,5.4065,2.5256,0.3025,3.9212,16.0534,1.3538,10.8691,16.5219
2006,77.7677,4.9306,3.6015,0.0325,0.3557,1.1654,1.991,0.6365,0.182,0.0731,0.5483,0.224,0.0026,0.1528,0.3852,72.8371,17.4177,,2.8117,6.2957,4.4094,15.8688,5.3745,2.6978,0.3498,4.3225,13.9963,1.1812,8.9979,14.6038
2005,74.7196,5.2679,3.9712,0.0547,0.3469,0.8871,2.3131,0.8885,0.2284,0.0746,0.8564,0.209,0.0026,0.2159,0.3076,69.4517,16.298,0.0026,2.7459,6.2824,4.2356,15.8657,5.513,3.0401,0.3725,5.2267,12.4432,1.07,7.7226,13.4845
2004,75.9434,6.1985,4.9654,0.0757,0.6508,0.86,2.7129,1.1182,0.3422,0.1102,1.072,0.2512,0.0042,0.1884,0.2731,69.7449,19.4463,,3.2733,6.8101,3.7376,16.1867,5.9771,3.5202,0.5047,5.9184,12.336,1.0311,7.0408,12.9062
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
