年份,成人本科毕业生数,成人高等学校办成人本科毕业生数,成人高等学校办师范成人本科毕业生数,成人高等学校办经济学成人本科毕业生数,成人高等学校办法学成人本科毕业生数,成人高等学校办教育学成人本科毕业生数,成人高等学校办文学成人本科毕业生数,成人高等学校办外语成人本科毕业生数,成人高等学校办艺术成人本科毕业生数,成人高等学校办历史学成人本科毕业生数,成人高等学校办理学成人本科毕业生数,成人高等学校办工学成人本科毕业生数,成人高等学校办农学成人本科毕业生数,成人高等学校办医学成人本科毕业生数,成人高等学校办管理学成人本科毕业生数,普通高等学校办成人本科毕业生数,普通高等学校办师范成人本科毕业生数,普通高等学校办哲学成人本科毕业生数,普通高等学校办经济学成人本科毕业生数,普通高等学校办法学成人本科毕业生数,普通高等学校办教育学成人本科毕业生数,普通高等学校办文学成人本科毕业生数,普通高等学校办外语成人本科毕业生数,普通高等学校办艺术成人本科毕业生数,普通高等学校办历史学成人本科毕业生数,普通高等学校办理学成人本科毕业生数,普通高等学校办工学成人本科毕业生数,普通高等学校办农学成人本科毕业生数,普通高等学校办医学成人本科毕业生数,普通高等学校办管理学成人本科毕业生数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,122.6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,101.6733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,99.5851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,109.1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,102.1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,96.2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,89.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,81.1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,80.1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,75.5402,1.878,0.8217,0.0476,0.1508,0.4968,0.7095,0.1755,0.0567,0.0089,0.0809,0.0804,0.004,0.114,0.1851,73.6622,13.6693,0.0024,2.7272,4.9,4.3626,14.0292,4.0744,1.7666,0.2949,3.2127,16.1206,1.0845,10.2048,16.7233
2010,80.3915,3.0558,2.0029,0.0392,0.2573,0.6528,1.3951,0.4332,0.0938,0.0274,0.2377,0.096,0.0035,0.1298,0.217,77.3357,17.0521,0.0079,2.7233,5.6231,4.6037,16.0703,4.788,2.1791,0.3308,4.1228,15.7468,1.446,10.7672,15.8938
2009,86.5421,4.0266,2.7819,0.0539,0.3065,0.9576,1.6272,0.5183,0.1443,0.0521,0.4027,0.1483,0.0024,0.1129,0.363,82.5155,19.4961,0.0094,2.7403,7.2187,5.0736,17.9251,5.7228,2.7338,0.3973,4.7622,16.2967,1.4482,9.9734,16.6706
2008,68.4506,4.8222,3.6365,0.0409,0.3104,0.9736,1.9845,0.7154,0.1726,0.0712,0.7426,0.1824,0.0024,0.1638,0.3504,63.6284,16.3895,,2.2953,5.8258,4.0016,14.5911,5.1482,2.6357,0.3436,4.8921,11.5074,0.9076,7.2456,12.0183
2007,67.489,4.8006,3.8027,0.0488,0.375,0.7716,2.1516,0.8502,0.2656,0.0841,0.865,0.1675,0.0042,0.0726,0.2602,62.6884,18.1288,,2.394,6.2459,3.7175,15.3239,5.457,3.0495,0.5463,5.8238,10.4226,0.8316,6.6682,10.7146
2006,21.8303,1.8893,1.2614,0.0256,0.2213,0.0918,0.8228,0.3773,0.0861,0.0158,0.2988,0.1045,,0.1777,0.131,19.941,3.0727,,1.2563,1.8116,0.4625,4.2548,1.9438,1.3213,0.0372,0.5842,4.356,0.1105,3.2423,3.8256
2005,55.5799,4.5586,3.6089,0.0521,0.4642,0.7066,1.9173,0.6904,0.2141,0.09,0.9665,0.1232,,0.0078,0.2309,51.0213,40.1351,,2.4582,5.603,2.6835,12.0141,3.8754,2.2052,0.4823,5.1221,9.4428,0.5149,4.1629,8.5375
2004,54.0356,5.4446,4.4345,0.111,0.4571,0.7419,2.1668,0.7978,0.2812,0.1225,1.182,0.1792,,0.1441,0.34,48.591,15.2872,0.0024,2.571,4.6682,2.1414,11.8815,4.1576,2.4539,0.4991,4.8684,8.6469,0.3093,5.0773,7.9255
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
