年份,网络本科在校学生数,师范网络本科在校学生数,哲学网络本科在校学生数,经济学网络本科在校学生数,法学网络本科在校学生数,教育学网络本科在校学生数,文学网络本科在校学生数,外语网络本科在校学生数,历史学网络本科在校学生数,理学网络本科在校学生数,工学网络本科在校学生数,农学网络本科在校学生数,医学网络本科在校学生数,管理学网络本科在校学生数
2021,,,,,,,,,,,,,,
2020,311.1899,,,,,,,,,,,,,
2019,294.161,,,,,,,,,,,,,
2018,282.5757,,,,,,,,,,,,,
2017,258.7338,,,,,,,,,,,,,
2016,233.927,,,,,,,,,,,,,
2015,229.4807,4.6124,,9.9667,20.6975,9.0761,12.7336,2.784,0.0984,1.6841,50.4677,1.7626,19.8642,101.9676
2014,228.701,3.2639,,10.5471,21.5298,8.0779,14.0588,3.2335,0.1065,1.7312,47.9028,1.6153,18.4861,103.4553
2013,217.51,5.32,,10.9499,22.5293,7.2766,15.224,3.7766,0.1079,1.7208,41.8498,1.3698,16.0369,99.3794
2012,200.2698,7.1226,,10.8384,22.498,6.4408,17.4551,4.268,0.111,1.8544,35.4584,1.1958,14.0322,90.3857
2011,175.476,,,10.7152,20.9866,5.9607,17.5964,4.1846,0.1167,1.9218,28.659,1.0618,11.9525,76.5053
2010,164.0403,9.3409,0.0411,10.7417,20.6221,4.3679,20.4075,4.9641,0.1451,2.3199,24.3318,0.8511,9.9264,70.2857
2009,157.2642,13.2297,0.0028,10.0408,21.2764,4.2831,22.3232,5.5492,0.163,2.6633,21.7228,0.7472,8.2084,65.8332
2008,144.6709,11.0797,0.0065,9.2439,20.6589,4.1575,23.1086,5.4836,0.1764,3.1609,18.2542,0.5652,6.6429,58.6959
2007,136.9091,11.8001,0.0135,9.1444,21.6007,3.9895,23.9783,5.566,0.162,3.4038,15.7369,0.429,4.8863,53.5647
2006,129.6893,10.8062,,8.8526,22.488,3.6705,23.8523,5.6267,0.1026,3.0716,14.3156,0.2834,3.5169,49.5358
2005,127.2292,9.0296,,9.4517,22.851,3.3414,23.3215,6.1291,0.053,2.6966,15.2291,0.2682,2.4664,47.5503
2004,127.0458,7.925,0.0128,11.6291,26.4894,2.6268,22.5325,6.4429,0.0274,2.757,14.5338,0.2508,2.2428,43.9434
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
