年份,民办高等教育专任教师,民办高校专任教师,民办独立学院专任教师,民办其他高等教育机构专任教师,民办中等教育专任教师,民办高中阶段教育专任教师,民办普通高中专任教师,民办中等职业教育专任教师,民办初中阶段教育专任教师,民办普通初中专任教师,民办职业初中专任教师,民办普通小学专任教师,民办幼儿园专任教师,民办培训机构专任教师
2021,,,,,,,,,,,,,,
2020,,36.8925,11.7154,0.8106,,,26.6041,,,,0.0009,53.9655,161.8786,23.3936
2019,,33.9777,12.0617,0.8569,,,23.1504,,,,0.0009,50.8688,169.2986,21.1959
2018,,32.4338,12.3958,0.9096,,,20.7606,,,,0.0009,46.5227,160.8936,17.3448
2017,,31.6174,,0.9643,,,18.7498,7.309,33.9069,33.9065,,42.0099,151.0277,16.1478
2016,,31.1512,12.3428,1.0326,,,16.7881,,,,0.0004,38.3155,139.3454,13.2441
2015,,30.4817,13.2124,1.1107,,22.5345,15.327,7.2075,28.5969,28.5965,,35.2122,127.1211,13.9656
2014,,29.3954,13.6303,1.2083,,33.6912,26.2622,7.429,28.6825,28.6821,,16.8023,113.1802,13.5365
2013,,28.1415,13.8815,1.335,,31.8307,24.0426,7.7881,25.8662,25.8662,,15.18,102.0215,12.9634
2012,,26.718,13.9657,1.4868,,32.2168,23.4048,8.812,23.7902,23.7902,,14.3115,91.3395,14.1517
2011,,25.2441,13.2733,1.6107,,54.775,45.2249,9.5501,,,,13.4809,80.7772,14.7525
2010,,23.6468,12.672,1.7794,,44.7069,34.362,10.3449,,,,22.948,68.0404,11.1304
2009,,22.2008,11.6218,1.7881,,44.7067,33.9712,10.7355,0.0113,,0.0113,21.9684,55.2348,11.4934
2008,,,,1.9121,,,,,,,,,,
2007,,,,2.056,,,,,,,,,,
2006,,,,2.1776,,,,,,,,,,
2005,,,,2.2528,,,,,,,,,,
2004,,,,2.6048,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
