,年份,招生数,在校学生数,毕业生数,获得职业资格证书毕业生数,预计毕业生数,教职工总数,专任教师数,普通中等专业学校数,成人中等专业学校数
0,2008,650.2739,1688.2421,471.0924,281.9264,521.8475,97.3431,67.4169,3846.0,1983.0
1,2009,711.777,1779.8473,509.6654,313.126,561.0027,96.9477,68.2151,3789.0,1883.0
2,2010,711.3957,1816.4447,543.6524,342.0318,563.2128,95.6631,68.0954,3938.0,1720.0
3,2011,649.9626,1774.9068,541.1252,338.4287,573.4745,94.5081,68.9363,3753.0,1614.0
4,2012,597.0785,1689.882,554.384,348.3872,566.3952,92.1332,68.4071,3681.0,1564.0
5,2013,541.2624,1536.3842,557.5587,433.6937,539.2971,88.3959,66.8754,3577.0,1536.0
6,2014,495.3553,1416.3127,516.1519,403.2975,490.2884,86.6905,66.3782,3536.0,1457.0
7,2015,479.8174,1335.2414,473.2654,381.3336,456.0122,84.1495,65.2447,3456.0,1294.0
8,2016,466.1428,1275.8604,440.5572,354.7673,419.2367,82.1047,64.3143,3398.0,1243.0
9,2017,451.5235,1254.2893,406.3981,321.8321,413.6983,81.1147,64.0398,3346.0,1218.0
10,2018,428.5024,1213.628,396.977,299.7739,405.6047,79.9593,63.5461,3322.0,1097.0
11,2019,457.4121,1216.1663,395.0427,283.9511,391.9994,80.1482,64.2197,3339.0,1032.0
12,2020,484.6056,1267.8379,383.4642,257.9124,385.1372,80.3752,64.8718,3266.0,991.0
