,省份,年份,招生数(万人),在校学生数(万人),毕业生数(万人),获得职业资格证书毕业生数(万人),预计毕业生数(万人),教职工总数(万人),专任教师数(万人)
0,新疆维吾尔自治区,2008,9.1979,21.1001,4.2831,1.9845,6.3134,1.4741,0.9933
1,新疆维吾尔自治区,2009,8.8484,21.7555,5.9414,2.9639,6.5806,1.5334,1.0504
2,新疆维吾尔自治区,2010,9.8894,23.3319,6.6383,3.4953,6.97,1.4988,1.0084
3,新疆维吾尔自治区,2011,9.0177,24.3039,6.4508,3.808,7.2113,1.4936,1.0382
4,新疆维吾尔自治区,2012,8.6751,23.5277,7.1288,4.0546,7.7522,1.4739,1.0352
5,新疆维吾尔自治区,2013,8.3893,22.9294,7.486,5.0888,7.5347,1.4095,1.0031
6,新疆维吾尔自治区,2014,8.5937,21.9483,7.0764,5.5338,7.115,1.3483,0.9862
7,新疆维吾尔自治区,2015,8.9493,22.1705,6.5161,4.8583,6.1491,1.3189,0.9904
8,新疆维吾尔自治区,2016,8.8939,23.5108,5.4934,4.259,6.9736,1.2615,0.9678
9,新疆维吾尔自治区,2017,8.5511,23.8694,6.4318,4.7649,7.2343,1.2773,0.9833
10,新疆维吾尔自治区,2018,10.0792,25.3657,6.8483,4.712,7.3226,1.3658,1.069
11,新疆维吾尔自治区,2019,8.71,25.5437,6.7961,3.7289,7.6845,1.525,1.2084
12,宁夏回族自治区,2008,4.1166,7.8095,2.1329,1.114,2.0278,0.3204,0.2215
13,宁夏回族自治区,2009,4.5839,9.6448,2.0547,1.1584,2.7768,0.3326,0.2348
14,宁夏回族自治区,2010,4.2521,10.1878,2.8493,1.3077,3.2937,0.3388,0.2444
15,宁夏回族自治区,2011,5.0433,11.25,2.9398,1.5113,3.248,0.3419,0.2474
16,宁夏回族自治区,2012,3.6055,10.4757,3.2461,1.7281,3.2448,0.3468,0.2552
17,宁夏回族自治区,2013,3.0348,9.395,3.1536,2.1289,3.808,0.3474,0.2611
18,宁夏回族自治区,2014,3.0388,8.1966,3.6834,2.4117,2.6169,0.3203,0.2477
19,宁夏回族自治区,2015,3.0832,8.2117,2.5942,1.6202,2.5025,0.3314,0.2538
20,宁夏回族自治区,2016,2.8088,7.8743,2.4379,1.7592,2.5008,0.3475,0.2693
21,宁夏回族自治区,2017,2.5067,7.4742,2.466,1.9452,2.4998,0.3482,0.2752
22,宁夏回族自治区,2018,2.7156,7.282,2.4527,1.4721,2.3258,0.3605,0.29
23,宁夏回族自治区,2019,2.7933,7.464,2.2966,1.3766,2.2759,0.3702,0.3063
24,青海省,2008,3.0968,6.7917,1.3798,0.7263,2.0338,0.31,0.2379
25,青海省,2009,3.1892,7.6375,1.9356,1.2564,2.2563,0.314,0.248
26,青海省,2010,3.0713,7.9105,1.9773,1.429,2.2989,0.3157,0.2444
27,青海省,2011,2.96,8.0057,2.162,1.5147,2.554,0.3222,0.2549
28,青海省,2012,3.0143,7.6842,2.366,1.4488,2.1496,0.3188,0.2454
29,青海省,2013,2.9277,7.7784,2.2386,1.5788,2.1535,0.3234,0.2567
30,青海省,2014,2.7303,7.7163,2.0116,1.4123,2.2117,0.3022,0.245
31,青海省,2015,2.7047,7.6364,1.9492,1.3331,2.2703,0.2931,0.241
32,青海省,2016,2.6852,7.4057,1.9256,1.2289,2.0216,0.3058,0.2457
33,青海省,2017,2.8004,7.5047,1.9455,1.2851,2.1859,0.3041,0.2433
34,青海省,2018,2.8694,7.6979,2.0654,1.287,2.094,0.294,0.2357
35,青海省,2019,3.1917,8.1621,2.0184,1.1143,2.1354,0.292,0.2362
36,甘肃省,2008,12.9851,30.9365,7.5489,3.8105,8.3739,1.9534,1.3885
37,甘肃省,2009,14.1481,33.9878,8.4114,4.3386,10.5149,1.9731,1.4379
38,甘肃省,2010,13.7362,34.7376,10.2515,5.8093,10.8545,2.0225,1.4862
39,甘肃省,2011,11.9116,33.2561,10.276,5.656,10.4269,2.1334,1.5886
40,甘肃省,2012,11.7672,32.7834,10.1413,5.5471,9.5733,2.0856,1.5805
41,甘肃省,2013,9.8604,28.9531,10.5043,8.2698,9.67,2.0825,1.6008
42,甘肃省,2014,8.8185,26.2602,8.8913,7.4341,9.4302,2.0156,1.5788
43,甘肃省,2015,8.1816,22.9348,8.7558,7.3222,8.0065,1.9157,1.5578
44,甘肃省,2016,8.0547,21.071,7.4645,6.3387,7.2483,1.8608,1.5367
45,甘肃省,2017,7.323,19.3859,6.7833,6.0848,6.4082,1.6659,1.3787
46,甘肃省,2018,7.2657,18.9046,5.8873,5.0991,6.0322,1.6877,1.4211
47,甘肃省,2019,7.6052,18.6733,5.9734,4.7652,5.4661,1.6153,1.368
48,陕西省,2008,25.6669,59.0865,17.4525,10.7612,18.2443,3.0624,2.0107
49,陕西省,2009,24.642,62.5507,18.4594,11.7265,20.6421,3.1115,2.0843
50,陕西省,2010,25.182,62.8261,19.8308,12.8485,21.1998,3.1571,2.0892
51,陕西省,2011,23.6407,60.3772,20.7571,13.0317,19.4465,3.0029,2.0582
52,陕西省,2012,19.617,52.6654,20.1747,12.3532,17.5708,2.8143,1.9515
53,陕西省,2013,16.3984,45.4858,17.7319,14.7287,16.7457,2.6374,1.8368
54,陕西省,2014,13.5299,37.7135,16.0629,12.902,12.8517,2.4998,1.7622
55,陕西省,2015,10.6435,32.2341,12.506,10.3279,11.5262,2.2,1.5906
56,陕西省,2016,9.3314,27.7832,11.359,9.1939,9.943,2.1218,1.5471
57,陕西省,2017,9.8383,26.2136,9.5895,7.5713,8.6998,1.8671,1.3962
58,陕西省,2018,8.2498,23.3336,8.4877,6.369,7.4453,1.859,1.4047
59,陕西省,2019,10.9191,25.7529,7.3018,5.1756,7.5071,1.89,1.4347
60,西藏自治区,2008,0.5219,2.1003,0.2436,0.0705,1.0696,0.0745,0.0541
61,西藏自治区,2009,1.1038,2.1357,0.3603,0.1322,0.6342,0.0797,0.0601
62,西藏自治区,2010,0.7319,2.2613,0.7312,0.2261,0.8812,0.0731,0.0591
63,西藏自治区,2011,0.5368,1.9767,0.8625,0.2574,0.9267,0.074,0.0595
64,西藏自治区,2012,0.7901,1.8291,0.935,0.4861,0.6526,0.0746,0.0632
65,西藏自治区,2013,0.6471,1.7491,0.6412,0.5063,0.6448,0.0763,0.0652
66,西藏自治区,2014,0.7087,1.699,0.6408,0.1892,0.6102,0.1125,0.0993
67,西藏自治区,2015,0.5568,1.5796,0.6139,0.2988,0.4315,0.1253,0.1142
68,西藏自治区,2016,0.7434,1.8157,0.4162,0.0833,0.5639,0.1403,0.1295
69,西藏自治区,2017,0.7462,1.93,0.5599,0.0509,0.5285,0.1631,0.152
70,西藏自治区,2018,0.969,2.2817,0.5228,0.0545,0.6683,0.1869,0.1754
71,西藏自治区,2019,1.0537,2.5402,0.6601,0.0873,0.6225,0.1905,0.1784
72,云南省,2008,16.7146,41.3914,10.3236,4.8161,11.9365,2.6171,1.8543
73,云南省,2009,20.3187,47.193,11.7236,5.5459,13.4713,2.7062,1.9441
74,云南省,2010,27.9015,57.5301,12.8904,7.3277,13.0519,2.7623,2.012
75,云南省,2011,18.4875,57.8273,12.948,8.0941,16.384,2.7879,2.0989
76,云南省,2012,18.3174,56.7843,16.2754,9.5764,21.9728,2.7842,2.1174
77,云南省,2013,17.9685,49.4103,21.0191,14.5918,15.5852,2.7023,2.1147
78,云南省,2014,17.603,49.0558,14.6232,11.402,15.6033,2.7303,2.1312
79,云南省,2015,17.5583,48.4189,14.9924,12.3749,15.5181,2.6808,2.1338
80,云南省,2016,18.3589,48.6248,14.7993,11.378,14.9874,2.6677,2.1453
81,云南省,2017,18.79,50.1015,14.4267,10.3555,14.867,2.6342,2.168
82,云南省,2018,18.5565,50.5415,14.2093,9.1732,15.8284,2.4941,2.0898
83,云南省,2019,19.4839,51.3232,14.8998,10.1414,15.5543,2.3948,2.0128
84,贵州省,2008,16.1156,35.6725,7.5594,3.7396,8.7311,1.4693,1.0237
85,贵州省,2009,16.2831,38.6865,8.2599,4.2733,11.5479,1.5412,1.0889
86,贵州省,2010,15.5527,37.574,10.0997,6.0332,10.8643,1.5789,1.1291
87,贵州省,2011,14.8242,37.9908,9.0966,5.8055,11.3255,1.568,1.1635
88,贵州省,2012,15.0784,38.3367,10.034,6.8419,11.6931,1.6473,1.2585
89,贵州省,2013,24.7135,47.5512,10.0281,8.78,11.8953,1.8188,1.4326
90,贵州省,2014,23.5809,54.4462,10.85,9.3567,12.5508,2.0257,1.6342
91,贵州省,2015,22.8109,60.2491,11.8846,10.28,19.1238,2.1753,1.7787
92,贵州省,2016,19.6615,55.0922,17.3046,14.0369,17.903,2.176,1.7717
93,贵州省,2017,18.3061,50.3118,15.8978,12.2463,16.4982,2.1839,1.8181
94,贵州省,2018,16.6564,47.2182,15.267,10.7925,15.2504,2.1003,1.7386
95,贵州省,2019,15.4707,43.8121,14.217,9.4041,14.6221,2.0976,1.747
96,四川省,2008,49.0369,108.0937,26.5395,17.7344,28.3847,5.0731,3.5347
97,四川省,2009,52.8075,120.315,28.6549,18.9132,31.5094,5.1172,3.6264
98,四川省,2010,51.1629,123.6943,31.4065,21.6459,35.1305,5.0376,3.6215
99,四川省,2011,52.3302,126.6229,34.0512,24.4196,38.2662,5.4691,3.9933
100,四川省,2012,50.111,126.26,35.9099,32.2539,44.5125,5.362,4.0076
101,四川省,2013,48.9969,119.5085,41.4213,38.3817,47.5213,5.269,4.0292
102,四川省,2014,44.3842,107.9228,46.8087,42.7842,43.2457,5.24,4.0653
103,四川省,2015,40.078,98.7491,42.3086,39.6937,40.2941,5.0539,3.9577
104,四川省,2016,37.4774,91.4426,40.3808,37.3569,36.0223,4.8896,3.8759
105,四川省,2017,34.9331,86.0013,35.349,32.9562,33.4289,4.8804,3.834
106,四川省,2018,32.5773,82.006,32.7834,29.2927,31.5884,4.8342,3.7892
107,四川省,2019,32.3855,79.6091,30.7889,26.9076,28.5895,4.7098,3.7463
108,重庆市,2008,15.237,42.6955,9.4009,6.3222,12.6027,1.9845,1.3979
109,重庆市,2009,15.4903,42.527,12.222,7.7931,13.4716,1.8075,1.2953
110,重庆市,2010,13.2467,39.1601,12.5018,8.4193,12.3434,1.9171,1.3875
111,重庆市,2011,14.6484,37.9534,11.8634,7.8477,11.5026,1.8307,1.3911
112,重庆市,2012,13.6624,37.2049,10.8446,6.8602,9.4473,1.7964,1.4241
113,重庆市,2013,12.2154,36.2827,10.2518,8.408,11.8159,1.8594,1.485
114,重庆市,2014,11.5977,33.911,11.5701,9.8258,11.106,1.9022,1.5239
115,重庆市,2015,11.9002,32.8028,10.8659,9.3069,10.0919,1.8669,1.512
116,重庆市,2016,11.1203,31.1632,9.9687,8.1735,9.5183,1.8074,1.4808
117,重庆市,2017,10.9163,30.8252,9.4965,7.836,9.9575,1.8156,1.4932
118,重庆市,2018,10.9202,29.9909,9.9289,7.2003,9.2909,1.7979,1.482
119,重庆市,2019,12.3645,31.7203,9.2141,7.1461,9.2972,1.819,1.5114
120,海南省,2008,4.246,9.6672,2.027,0.7202,2.298,0.5073,0.3231
121,海南省,2009,5.7364,12.1591,2.2003,0.9186,3.3417,0.5712,0.3627
122,海南省,2010,5.4732,13.6905,2.9692,1.4598,3.4449,0.5846,0.3824
123,海南省,2011,5.7964,14.8743,3.2182,1.6293,4.3113,0.6484,0.4289
124,海南省,2012,5.1055,14.1876,4.1583,1.5022,4.2405,0.6755,0.4579
125,海南省,2013,5.1756,14.0225,4.0386,1.8879,4.4262,0.7162,0.4709
126,海南省,2014,4.541,12.9497,4.3688,2.1628,4.122,0.7123,0.4819
127,海南省,2015,4.3133,11.7129,3.9356,2.0428,3.6512,0.6821,0.4576
128,海南省,2016,4.4176,11.5088,3.6121,1.4979,3.3395,0.6298,0.4448
129,海南省,2017,4.5413,11.8819,3.3989,1.6128,3.3406,0.6378,0.4421
130,海南省,2018,4.4177,11.9241,3.3132,0.9817,3.5329,0.6293,0.4518
131,海南省,2019,4.2818,11.7313,3.4764,1.0802,3.584,0.6034,0.4286
132,广西壮族自治区,2008,24.8976,58.5715,13.1577,8.5546,15.7301,3.3635,2.1061
133,广西壮族自治区,2009,27.4911,62.8888,14.7542,9.754,17.026,3.2596,2.0798
134,广西壮族自治区,2010,38.0908,80.9508,16.3557,10.8486,20.4167,3.1234,2.0469
135,广西壮族自治区,2011,31.7077,84.1953,18.0013,11.7351,23.2763,3.0433,2.061
