年份,高等教育学校数,研究生培养机构学校数,普通高校研究生培养机构学校数,科研机构研究生培养机构学校数,普通高等学校学校数,本科院校学校数,专科院校学校数,职业技术学院学校数,其他机构(教学点)学校数_x,独立学院学校数,成人高等学校学校数,民办的其他高等教育机构学校数,中等教育学校数,高中阶段教育学校数,高中学校数,普通高中学校数,普通高中完全中学数,高级中学数,十二年一贯制普通高中学校数,成人高中学校数,中等职业教育学校数,普通中专学校数,成人中专学校数,职业高中学校数,技工学校学校数,其他机构(教学点)学校数_y,初中阶段教育学校数,普通初中学校数,初级中学数,九年一贯制普通初中学校数,十二年一贯制普通初中学校数,普通初中完全中学数,职业初中学校数,成人初中学校数,初等教育学校数,普通小学学校数,小学学校数,九年一贯制普通小学学校数,十二年一贯制普通小学学校数,成人小学学校数,扫盲班学校数,工读学校学校数,特殊教育学校数,学前教育学校数
2009,,796.0,481.0,315.0,2305.0,1090.0,1215.0,1071.0,74.0,322.0,384.0,812.0,87639.0,29761.0,15360.0,14607.0,8131.0,6476.0,,753.0,14388.0,3789.0,1883.0,5652.0,3064.0,2390.0,57878.0,56167.0,43744.0,12423.0,,,153.0,1558.0,322094.0,280184.0,,,,41910.0,27850.0,72.0,1672.0,138209.0
2008,,796.0,479.0,317.0,2263.0,1079.0,1184.0,1036.0,77.0,322.0,400.0,866.0,90121.0,30806.0,15959.0,15206.0,8655.0,6551.0,,753.0,14847.0,3846.0,1983.0,5915.0,3075.0,2483.0,59315.0,57701.0,45811.0,11890.0,,,213.0,1401.0,349126.0,300854.0,,,,48272.0,34213.0,74.0,1640.0,133722.0
2007,,795.0,479.0,316.0,1908.0,740.0,1168.0,1015.0,425.0,,413.0,906.0,92267.0,31255.0,16423.0,15681.0,9130.0,6551.0,,742.0,14832.0,3801.0,2120.0,5916.0,2995.0,2868.0,61012.0,59109.0,47602.0,11507.0,,,275.0,1628.0,369063.0,320061.0,,,,49002.0,33024.0,76.0,1618.0,129086.0
2006,,767.0,450.0,317.0,1867.0,720.0,1147.0,981.0,428.0,,444.0,994.0,94116.0,31685.0,16992.0,16153.0,9659.0,6494.0,,839.0,14693.0,3698.0,2350.0,5765.0,2880.0,2502.0,62431.0,60550.0,49491.0,11059.0,,,335.0,1546.0,396567.0,341639.0,,,,54928.0,40397.0,74.0,1605.0,130495.0
2005,,766.0,450.0,316.0,1792.0,701.0,1091.0,921.0,428.0,,481.0,1077.0,96082.0,31532.0,17066.0,16092.0,9639.0,6453.0,,974.0,14466.0,3207.0,2582.0,5822.0,2855.0,2386.0,64550.0,61885.0,51991.0,9894.0,,,601.0,2064.0,427697.0,366213.0,,,,61484.0,43572.0,77.0,1593.0,124402.0
2004,,769.0,454.0,315.0,1731.0,684.0,1047.0,872.0,364.0,,505.0,1187.0,97144.0,31407.0,16953.0,15998.0,9837.0,6161.0,,955.0,14454.0,3047.0,2742.0,5781.0,2884.0,2295.0,65737.0,63060.0,53887.0,9173.0,,,697.0,1980.0,463635.0,394183.0,,,,69452.0,47239.0,76.0,1560.0,117899.0
2003,,,,,1552.0,,,,,,,,,,,15779.0,,,,,14682.0,3065.0,,,2970.0,,,63711.0,,,,,1019.0,,,425846.0,,,,,,,1551.0,116390.0
2002,,,,,1396.0,,,,,,,,,,,15406.0,,,,,15919.0,2953.0,,,3075.0,,,64661.0,,,,,984.0,,,456903.0,,,,,,,1540.0,111752.0
2001,,,,,1225.0,,,,,,,,,,,14907.0,,,,,17580.0,3260.0,,,3470.0,,,65525.0,,,,,1065.0,,,491273.0,,,,,,,1531.0,111706.0
2000,,,,,1041.0,,,,,,,,,,,14564.0,,,,,19727.0,3646.0,,,3792.0,,,62704.0,,,,,1194.0,,,553622.0,,,,,,,1539.0,175836.0
