年份,高等教育专任教师数,研究生培养机构专任教师数,普通高校研究生培养机构专任教师数,科研机构研究生培养机构专任教师数,普通高等学校专任教师数,本科院校专任教师数,专科院校专任教师数,职业技术学院专任教师数,其他机构(教学点)专任教师数_x,独立学院专任教师数,成人高等学校专任教师数,民办的其他高等教育机构专任教师数,中等教育专任教师数,高中阶段教育专任教师数,高中专任教师数,普通高中专任教师数,普通高中完全中学专任教师数,高级中学专任教师数,十二年一贯制普通高中专任教师数,成人高中专任教师数,中等职业教育专任教师数,普通中专专任教师数,成人中专专任教师数,职业高中专任教师数,技工学校专任教师数,其他机构(教学点)专任教师数_y,初中阶段教育专任教师数,普通初中专任教师数,初级中学专任教师数,九年一贯制普通初中专任教师数,十二年一贯制普通初中专任教师数,普通初中完全中学专任教师数,职业初中专任教师数,成人初中专任教师数,初等教育专任教师数,普通小学专任教师数,小学专任教师数,九年一贯制普通小学专任教师数,十二年一贯制普通小学专任教师数,成人小学专任教师数,扫盲班专任教师数,工读学校专任教师数,特殊教育专任教师数,学前教育专任教师数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,183.2982,127.6101,55.6424,,0.0457,11.7154,1.8951,0.8106,665.4481,279.2398,193.4997,193.3228,56.6062,126.8407,9.8759,0.1769,85.7401,31.6091,3.6273,28.6344,20.8683,1.001,386.2083,,263.2799,68.535,11.2093,43.0186,0.0313,0.1342,644.1585,643.4178,523.3888,74.211,9.9964,0.7407,0.5901,0.2139,6.6169,291.3426
2019,,,,,174.0145,122.531,51.4436,,0.0399,12.0617,2.0641,0.8569,645.3302,270.4109,186.1175,185.9242,54.4134,122.8091,8.7017,0.1933,84.2934,30.9536,3.7973,28.4754,20.0737,0.9934,374.9193,,258.6066,63.838,9.9941,42.2685,0.0357,0.1764,627.8607,626.9084,548.6258,69.4041,8.8785,0.9523,0.7298,0.2157,6.2358,276.3104
2018,,,,,167.3,117.4334,49.7682,,0.0737,12.3958,2.1908,0.9096,628.941,264.8232,181.4713,181.3,53.7624,119.9404,7.5556,0.2129,83.4,30.4959,3.951,28.2996,19.8058,0.7996,364.1178,,254.7534,59.1283,8.6243,41.3647,0.0292,0.2179,610.2307,609.2,537.2468,64.2135,7.7305,1.0399,0.6363,0.2099,5.9,258.1
2017,,,,,163.3,115.0467,48.207,,0.0711,12.2151,2.399,0.9643,616.5625,261.557,177.6374,177.4,53.1255,117.6082,6.6616,0.2421,83.9,30.1577,4.4773,28.6053,19.8798,0.7995,355.0055,,251.9334,55.1604,7.3131,40.4179,0.044,0.1367,595.5726,594.5,528.2512,59.6348,6.605,1.0816,0.7546,0.2177,5.6,243.2
2016,,,,,160.2,113.403,46.6934,,0.1004,12.3428,2.5214,1.0326,606.5556,257.5569,173.598,173.3,52.6135,114.7876,5.9448,0.2521,84.0,30.2697,4.721,28.5074,19.6446,0.8162,348.9987,,251.4419,51.5074,6.3816,39.4019,0.0461,0.2198,580.1544,578.9,517.6454,55.4609,5.8082,1.2399,0.7405,0.2081,5.3,223.2
2015,,,,,157.3,111.6372,45.4576,,0.1617,13.2124,3.0246,1.1107,602.2172,254.2844,169.8758,169.5,52.1363,112.143,5.2561,0.3404,84.4,30.4295,4.821,29.0034,19.1639,0.9908,347.9328,,253.3306,49.4711,5.5992,39.1047,0.1,0.3692,570.0786,568.5,511.2774,52.1434,5.091,1.5668,1.0712,0.2077,5.0,205.1
2014,,,,,153.5,109.1654,43.83,,0.4556,13.6303,3.1538,1.2083,602.5122,252.9133,167.072,166.3,51.4675,110.0768,4.7257,0.802,85.8,30.6906,5.3134,29.3323,19.4631,1.0419,349.5989,,256.3537,47.5624,4.9637,39.8863,0.1,0.7559,565.5561,563.4,510.5281,48.3924,4.4701,2.1655,1.0848,0.19,4.8,184.4
2013,,,,,149.7,105.5036,43.6561,,0.5268,13.8815,3.3647,1.335,598.8381,250.1569,163.3626,162.9,52.1094,106.5888,4.2026,0.4618,86.8,30.3585,5.2021,30.144,19.9189,1.1708,348.6812,,258.7399,44.9797,4.2848,39.9952,0.1,0.5833,560.7283,558.5,509.6634,44.9126,3.8884,2.2639,1.5399,0.1851,4.6,166.3
2012,,,,,144.0,101.3957,42.3381,,0.2954,13.9657,3.9393,1.4868,599.3789,248.1798,160.0836,159.5,52.5142,103.019,3.9703,0.5801,88.0,30.5564,5.4207,31.1743,19.6891,1.2557,351.1991,350.4363,261.8519,43.1814,3.9938,41.2566,0.2,0.7628,561.5781,558.5476,512.1626,42.7841,3.6009,3.0305,1.7801,0.1756,4.4,147.9
