年份,高等教育专任教师数,研究生培养机构专任教师数,普通高校研究生培养机构专任教师数,科研机构研究生培养机构专任教师数,普通高等学校专任教师数,本科院校专任教师数,专科院校专任教师数,职业技术学院专任教师数,其他机构(教学点)专任教师数_x,独立学院专任教师数,成人高等学校专任教师数,民办的其他高等教育机构专任教师数,中等教育专任教师数,高中阶段教育专任教师数,高中专任教师数,普通高中专任教师数,普通高中完全中学专任教师数,高级中学专任教师数,十二年一贯制普通高中专任教师数,成人高中专任教师数,中等职业教育专任教师数,普通中专专任教师数,成人中专专任教师数,职业高中专任教师数,技工学校专任教师数,其他机构(教学点)专任教师数_y,初中阶段教育专任教师数,普通初中专任教师数,初级中学专任教师数,九年一贯制普通初中专任教师数,十二年一贯制普通初中专任教师数,普通初中完全中学专任教师数,职业初中专任教师数,成人初中专任教师数,初等教育专任教师数,普通小学专任教师数,小学专任教师数,九年一贯制普通小学专任教师数,十二年一贯制普通小学专任教师数,成人小学专任教师数,扫盲班专任教师数,工读学校专任教师数,特殊教育专任教师数,学前教育专任教师数
2011,144.9686,,,,139.3,97.6937,41.2624,,0.3115,13.2733,4.0903,1.6107,597.6024,244.4548,156.261,155.7,52.3198,99.5434,3.8197,0.5781,88.1,30.3864,5.5192,31.5472,19.2575,1.4835,353.1476,352.2976,265.5,41.4894,3.6824,41.6258,0.2,0.6959,563.856,560.5,516.3882,40.9103,3.1876,3.3699,2.3233,0.1764,4.1,131.6
2010,,,,,134.3,93.5493,40.4098,35.9074,0.3536,12.672,4.5887,1.7794,592.296,239.3232,152.1736,151.8,,,,0.3542,87.1,29.5029,5.6979,30.6973,19.0542,2.1973,352.9728,352.3382,,,,,0.2,0.4371,564.5777,561.7,,,,2.8686,1.9474,0.1737,4.0,114.4
2009,,,,,129.5,89.6013,39.5016,34.5926,0.4219,11.6218,5.0402,1.7881,588.8521,236.627,149.7687,149.3,,,,0.4374,86.7,27.227,6.2587,32.1511,18.6432,2.5783,352.2251,351.3438,,,,,0.5,0.4242,566.7481,563.3,,,,3.4034,2.1602,0.1745,3.8,98.6
2008,,,,,123.7451,85.604,37.7137,32.8214,0.4274,10.3816,5.3227,1.9121,585.544,237.4939,148.0052,147.6,,,,0.4519,89.5,26.1402,6.6611,31.9683,22.0718,2.6473,348.0501,346.8957,,,,,0.7,0.4967,566.8674,562.2,,,,4.6736,3.7006,0.1735,3.6,89.9
2007,,,,,116.8,71.7173,35.4817,30.7443,9.631,8.9911,8.0173,2.056,578.398,230.6762,144.7865,144.3,,,,0.4761,85.9,24.8974,6.7566,30.866,20.4297,2.94,347.7218,346.4296,,,,,0.9,0.4223,565.216,561.3,,,,3.9597,2.794,0.1658,3.5,82.7
2006,,,,,107.6,67.7056,31.6299,26.6609,8.2634,7.382,8.1403,2.1776,567.0834,219.1402,139.2307,138.7,,,,0.5125,79.9,22.9182,7.0302,29.5863,17.7155,2.6593,347.9432,346.3,,,,,1.2,0.4408,562.8904,558.8,,,,4.1347,2.892,0.1603,3.3,77.6
2005,,,,,96.6,63.001,26.7855,22.0994,6.7974,5.5476,8.4325,2.2528,555.3569,205.6377,130.6589,129.946,,,,0.7129,75.0,20.2994,7.4952,28.2499,16.1094,2.8249,349.7192,347.1839,,,,,2.0,0.5113,563.7144,559.2453,,,,4.4691,3.1685,0.1658,3.2,72.2
2004,,,,,85.8,57.5334,23.7654,19.3432,4.5405,3.5448,8.6065,2.6048,543.8391,193.2934,119.6897,119.1,,,,0.6216,73.6,19.7084,7.5758,27.0612,16.5,2.7583,350.5457,347.7,,,,,2.4,0.4993,567.2189,562.9,,,,4.3329,2.8941,0.1533,3.1,65.6
2003,,,,,72.5,,,,,,,,,,,107.1,,,,,71.3,19.9,,,,,,346.7,,,,,3.1,,,570.3,,,,,,,3.0,61.3
2002,,,,,61.8,,,,,,,,,,,94.6,,,,,69.1,20.78,,,,,,343.03,,,,,3.7,,,577.9,,,,,,,3.0,57.1
2001,,,,,53.2,,,,,,,,,,,84.0,,,,,73.8,23.0,,,,,,334.84,,,,,3.7,,,579.8,,,,,,,2.9,54.6
2000,,,,,46.3,,,,,,,,,,,75.7,,,,,79.7,25.6419,,,,,,324.86,,,,,3.8,,,586.0,,,,,,,3.2,85.6
