年份,高等教育教职工数,研究生培养机构教职工数,普通高校研究生培养机构教职工数,科研机构研究生培养机构教职工数,普通高等学校教职工数,本科院校教职工数,专科院校教职工数,职业技术学院教职工数,其他机构(教学点)教职工数_x,独立学院教职工数,成人高等学校教职工数,民办的其他高等教育机构教职工数,中等教育教职工数,高中阶段教育教职工数,高中教职工数,普通高中教职工数,普通高中完全中学教职工数,高级中学教职工数,十二年一贯制普通高中教职工数,成人高中教职工数,中等职业教育教职工数,普通中专教职工数,成人中专教职工数,职业高中教职工数,技工学校教职工数,其他机构(教学点)教职工数_y,初中阶段教育教职工数,普通初中教职工数,初级中学教职工数,九年一贯制普通初中教职工数,十二年一贯制普通初中教职工数,普通初中完全中学教职工数,职业初中教职工数,成人初中教职工数,初等教育教职工数,普通小学教职工数,小学教职工数,九年一贯制普通小学教职工数,十二年一贯制普通小学教职工数,成人小学教职工数,扫盲班教职工数,工读学校教职工数,特殊教育教职工数,学前教育教职工数
2011,230.8631,,,,220.4819,158.5694,61.4717,,0.4408,18.1039,6.9032,3.478,759.8937,364.5725,243.4528,242.7386,110.0491,118.2946,14.3949,0.7142,121.1197,43.503,8.1292,40.6722,26.5,2.2037,395.3212,394.2471,299.3587,94.8884,,,0.1698,0.9043,565.0416,558.4868,558.4868,,,6.5548,4.9516,0.2573,5.1189,220.4367
2010,,,,,215.6601,154.8043,60.3201,53.4718,0.5357,17.5288,7.7108,3.814,709.6276,708.6834,586.3935,585.9271,,,,0.4664,122.2899,43.5046,8.5346,40.3233,26.5,3.3006,0.9,,,,,,0.2187,0.7255,617.5629,610.9847,,,,6.5782,5.0355,0.2576,4.9249,184.9301
2009,,,,,211.1451,151.2099,59.2918,51.6948,0.6434,16.2571,8.4196,3.8075,709.3557,708.0743,585.1542,584.5444,,,,0.6098,122.9201,41.1303,9.4181,42.5577,25.8,3.8416,1.3,,,,,,0.5198,0.7616,621.8272,613.5536,,,,8.2736,6.1621,0.2669,4.7466,157.0756
2008,,,,,205.1029,147.3856,57.0651,49.461,0.6522,14.6665,8.9892,4.0261,705.9921,704.4498,582.2253,581.5712,,,,0.6541,122.2245,40.2758,10.3289,42.7826,24.7,3.9558,1.5423,,,,,,0.7615,0.7808,623.9294,613.2903,,,,10.6391,8.6159,0.2687,4.599,143.4211
2007,,,,,197.4526,129.2872,54.2382,46.9151,13.9272,12.8531,13.6264,4.3338,703.0865,701.2905,581.684,580.973,,,,0.711,95.6076,38.8457,10.6201,41.7291,23.9989,4.4127,1.796,,,,,,1.0405,0.7555,622.9018,613.3815,,,,9.5203,7.231,0.2524,4.4862,131.7247
2006,,,,,187.2601,124.9028,50.1397,42.0952,12.2176,10.6648,13.9994,4.5866,695.2445,693.0093,579.2737,578.4564,,,,0.8173,92.2007,36.678,11.1186,40.371,21.5,4.0331,2.2352,,,,,,1.411,0.8242,622.7522,611.9992,,,,10.753,8.2379,0.2525,4.3572,123.8567
2005,,,,,174.2073,119.7846,43.9967,36.2066,10.426,8.0986,14.8901,4.8121,685.7699,682.477,573.159,572.0244,,,,1.1346,88.9171,33.48,12.1312,38.925,20.4009,4.3809,3.2929,,,,,,2.4009,0.892,624.8248,613.2155,,,,11.6093,8.9361,0.2584,4.2256,115.2046
2004,,,,,161.0658,113.7005,40.3616,32.7536,7.0037,5.3211,15.4986,5.4941,671.6633,671.6633,563.2941,562.3981,,,,0.896,108.3692,33.277,12.5266,37.7221,20.4,4.3435,,,,,,,2.7997,0.8791,631.1639,617.1358,,,,14.0281,10.8409,0.2539,4.1384,104.7323
2003,,,,,145.3,,,,,,,,,,,549.7,,,,,,34.7,,,20.2,,,,,,,,,,,625.6185,,,,,,,4.0853,97.3159
2002,,,,,130.36,,,,,,,,,,,533.5,,,,,,38.15,,,20.3,,,,,,,,,,,634.02,,,,,,,4.04,90.33
2001,,,,,121.4429,,,,,,,,,,,514.9,,,,,,42.8955,,,22.0,,,,,,,,,,,637.9718,,,,,,,3.8906,86.1726
2000,,,,,111.2776,,,,,,,,,,,491.1,,,,,,48.8083,,,24.0,,,,,,,,,,,645.4862,,,,,,,4.3678,114.4297
