年份,网络专科毕业生数,师范网络专科毕业生数,农林牧渔大类网络专科毕业生数,交通运输大类网络专科毕业生数,生化与药品大类网络专科毕业生数,资源开发与测绘大类网络专科毕业生数,材料与能源大类网络专科毕业生数,土建大类网络专科毕业生数,水利大类网络专科毕业生数,制造大类网络专科毕业生数,电子信息大类网络专科毕业生数,环保、气象与安全大类网络专科毕业生数,轻纺食品大类网络专科毕业生数,财经大类网络专科毕业生数,医药卫生大类网络专科毕业生数,旅游大类网络专科毕业生数,公共事业大类网络专科毕业生数,文化教育大类网络专科毕业生数,艺术设计传媒大类网络专科毕业生数,公安大类网络专科毕业生数,法律大类网络专科毕业生数
2021,,,,,,,,,,,,,,,,,,,,,
2020,185.6377,,,,,,,,,,,,,,,,,,,,
2019,152.162,,,,,,,,,,,,,,,,,,,,
2018,126.7274,,,,,,,,,,,,,,,,,,,,
2017,111.8346,,,,,,,,,,,,,,,,,,,,
2016,117.3881,,,,,,,,,,,,,,,,,,,,
2015,115.0671,1.6814,5.4708,2.306,0.4195,1.7698,0.4433,11.8881,0.5445,6.5346,4.3157,0.2974,0.0788,33.917,5.0079,0.4511,23.4462,10.9954,0.443,0.0699,6.6681
2014,107.5034,1.1471,5.7479,2.5638,0.3444,1.346,0.4443,10.1674,0.5217,5.1429,3.9947,0.2845,0.0765,31.9835,4.3871,0.3935,21.6717,10.7899,0.5333,0.088,7.0223
2013,102.406,1.645,5.7671,2.2114,0.3381,1.0773,0.5254,8.3221,0.491,4.5993,4.3146,0.1908,0.0877,31.5424,4.9849,0.4049,19.3084,10.1149,0.5203,0.0848,7.5206
2012,88.2921,1.4641,5.8618,1.8058,0.2773,0.8325,0.4486,5.6733,0.4925,3.4869,4.4941,0.1548,0.038,28.6377,4.4939,0.4141,16.3253,7.1758,0.4474,0.0844,7.1479
2011,83.9104,1.3973,5.9936,1.6932,0.2324,0.6499,0.5947,4.8585,0.3717,3.1531,4.1571,0.1144,0.0904,28.4262,2.837,0.4878,14.5321,7.7786,0.7754,0.0909,7.0734
2010,68.2986,,,,,,,,,,,,,,,,,,,,
2009,57.7972,,,,,,,,,,,,,,,,,,,,
2008,49.7698,,,,,,,,,,,,,,,,,,,,
2007,45.1064,,,,,,,,,,,,,,,,,,,,
2006,44.841,,,,,,,,,,,,,,,,,,,,
2005,36.7317,,,,,,,,,,,,,,,,,,,,
2004,18.1987,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
