年份,普通高中学校数,教育部门办普通高中学校数,其他部门办普通高中学校数,地方企业办普通高中学校数,民办普通高中学校数,城市普通高中学校数,城市教育部门办普通高中学校数,城市其他部门办普通高中学校数,城市地方企业办普通高中学校数,城市民办普通高中学校数,县镇普通高中学校数,县镇教育部门办普通高中学校数,县镇其他部门办普通高中学校数,县镇地方企业办普通高中学校数,县镇民办普通高中学校数,农村普通高中学校数,农村教育部门办普通高中学校数,农村其他部门办普通高中学校数,农村地方企业办普通高中学校数,农村民办普通高中学校数,高级中学学校数,教育部门办高级中学学校数,其他部门办高级中学学校数,地方企业办高级中学学校数,民办高级中学学校数,城市高级中学学校数,城市教育部门办高级中学学校数,城市其他部门办高级中学学校数,城市地方企业办高级中学学校数,城市民办高级中学学校数,县镇高级中学学校数,县镇教育部门办高级中学学校数,县镇其他部门办高级中学学校数,县镇地方企业办高级中学学校数,县镇民办高级中学学校数,农村高级中学学校数,农村教育部门办高级中学学校数,农村其他部门办高级中学学校数,农村地方企业办高级中学学校数,农村民办高级中学学校数,普通高中完全中学学校数,教育部门办普通高中完全中学学校数,其他部门办普通高中完全中学学校数,地方企业办普通高中完全中学学校数,民办普通高中完全中学学校数,城市普通高中完全中学学校数,城市教育部门办普通高中完全中学学校数,城市其他部门办普通高中完全中学学校数,城市地方企业办普通高中完全中学学校数,城市民办普通高中完全中学学校数,县镇普通高中完全中学学校数,县镇教育部门办普通高中完全中学学校数,县镇其他部门办普通高中完全中学学校数,县镇地方企业办普通高中完全中学学校数,县镇民办普通高中完全中学学校数,农村普通高中完全中学学校数,农村教育部门办普通高中完全中学学校数,农村其他部门办普通高中完全中学学校数,农村地方企业办普通高中完全中学学校数,农村民办普通高中完全中学学校数,十二年一贯制普通高中学校数,教育部门办十二年一贯制普通高中学校数,其他部门办十二年一贯制普通高中学校数,地方企业办十二年一贯制普通高中学校数,民办十二年一贯制普通高中学校数,城市十二年一贯制普通高中学校数,城市教育部门办十二年一贯制普通高中学校数,城市其他部门办十二年一贯制普通高中学校数,城市地方企业办十二年一贯制普通高中学校数,城市民办十二年一贯制普通高中学校数,县镇十二年一贯制普通高中学校数,县镇教育部门办十二年一贯制普通高中学校数,县镇其他部门办十二年一贯制普通高中学校数,县镇地方企业办十二年一贯制普通高中学校数,县镇民办十二年一贯制普通高中学校数,农村十二年一贯制普通高中学校数,农村教育部门办十二年一贯制普通高中学校数,农村其他部门办十二年一贯制普通高中学校数,农村地方企业办十二年一贯制普通高中学校数,农村民办十二年一贯制普通高中学校数
2011,13688.0,11087.0,177.0,30.0,2394.0,6389.0,4879.0,97.0,12.0,1401.0,6451.0,5549.0,76.0,17.0,809.0,848.0,659.0,4.0,1.0,184.0,6532.0,5650.0,72.0,7.0,803.0,2906.0,2399.0,34.0,3.0,470.0,3280.0,2949.0,37.0,4.0,290.0,346.0,302.0,1.0,,43.0,6357.0,5222.0,70.0,18.0,1047.0,2996.0,2331.0,42.0,9.0,614.0,2926.0,2549.0,27.0,8.0,342.0,435.0,342.0,1.0,1.0,91.0,799.0,215.0,35.0,5.0,544.0,487.0,149.0,21.0,,317.0,245.0,51.0,12.0,5.0,177.0,67.0,15.0,2.0,,50.0
2010,14058.0,11334.0,225.0,,2499.0,5494.0,4102.0,105.0,,1287.0,7136.0,6091.0,59.0,,986.0,1428.0,1141.0,61.0,,226.0,6461.0,5574.0,73.0,,814.0,2342.0,1872.0,28.0,,442.0,3539.0,3197.0,25.0,,317.0,580.0,505.0,20.0,,55.0,7597.0,5760.0,152.0,,1685.0,3152.0,2230.0,77.0,,845.0,3597.0,2894.0,34.0,,669.0,848.0,636.0,41.0,,171.0,,,,,,,,,,,,,,,,,,,,
2009,14607.0,11695.0,242.0,,2670.0,5675.0,4187.0,114.0,,1374.0,7314.0,6202.0,62.0,,1050.0,1618.0,1306.0,66.0,,246.0,6476.0,5550.0,70.0,,856.0,2367.0,1877.0,28.0,,462.0,3489.0,3131.0,22.0,,336.0,620.0,542.0,20.0,,58.0,8131.0,6145.0,172.0,,1814.0,3308.0,2310.0,86.0,,912.0,3825.0,3071.0,40.0,,714.0,998.0,764.0,46.0,,188.0,,,,,,,,,,,,,,,,,,,,
2008,15206.0,11970.0,323.0,,2913.0,5918.0,4264.0,158.0,,1496.0,7526.0,6304.0,73.0,,1149.0,1762.0,1402.0,92.0,,268.0,6551.0,5508.0,92.0,,951.0,2418.0,1851.0,42.0,,525.0,3476.0,3089.0,30.0,,357.0,657.0,568.0,20.0,,69.0,8655.0,6462.0,231.0,,1962.0,3500.0,2413.0,116.0,,971.0,4050.0,3215.0,43.0,,792.0,1105.0,834.0,72.0,,199.0,,,,,,,,,,,,,,,,,,,,
2007,15681.0,12122.0,458.0,,3101.0,6132.0,4299.0,229.0,,1604.0,7637.0,6341.0,108.0,,1188.0,1912.0,1482.0,121.0,,309.0,6551.0,5427.0,104.0,,1020.0,2434.0,1818.0,48.0,,568.0,3451.0,3041.0,34.0,,376.0,666.0,568.0,22.0,,76.0,9130.0,6695.0,354.0,,2081.0,3698.0,2481.0,181.0,,1036.0,4186.0,3300.0,74.0,,812.0,1246.0,914.0,99.0,,233.0,,,,,,,,,,,,,,,,,,,,
2006,16153.0,12268.0,639.0,,3246.0,5907.0,3976.0,340.0,,1591.0,8086.0,6653.0,152.0,,1281.0,,1639.0,147.0,,374.0,6494.0,5306.0,134.0,,1054.0,2180.0,1556.0,64.0,,560.0,3586.0,3142.0,42.0,,402.0,728.0,608.0,28.0,,92.0,9659.0,6962.0,505.0,,2192.0,3727.0,2420.0,276.0,,1031.0,4500.0,3511.0,110.0,,879.0,1432.0,1031.0,119.0,,282.0,,,,,,,,,,,,,,,,,,,,
2005,16092.0,12016.0,901.0,,3175.0,6251.0,4057.0,518.0,,1676.0,7661.0,6306.0,193.0,,1162.0,2180.0,1653.0,190.0,,337.0,6453.0,5210.0,179.0,,1064.0,2299.0,1600.0,94.0,,605.0,3428.0,2993.0,51.0,,384.0,726.0,617.0,34.0,,75.0,9639.0,6806.0,722.0,,2111.0,3952.0,2457.0,424.0,,1071.0,4233.0,3313.0,142.0,,778.0,1454.0,1036.0,156.0,,262.0,,,,,,,,,,,,,,,,,,,,
2004,15998.0,11944.0,1101.0,,2953.0,6375.0,4057.0,678.0,,1640.0,7169.0,5909.0,211.0,,1049.0,2454.0,1978.0,212.0,,264.0,6161.0,4943.0,227.0,,991.0,2248.0,1536.0,142.0,,570.0,3149.0,2750.0,46.0,,353.0,764.0,657.0,39.0,,68.0,9837.0,7001.0,874.0,,1962.0,4127.0,2521.0,536.0,,1070.0,4020.0,3159.0,165.0,,696.0,1690.0,1321.0,173.0,,196.0,,,,,,,,,,,,,,,,,,,,
2003,15779.0,,,,,6300.0,,,,,7191.0,,,,,2288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,15406.0,,,,,5996.0,,,,,7098.0,,,,,2312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,14907.0,,,,,5656.0,,,,,6939.0,,,,,2312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,14564.0,,,,,5760.0,,,,,6175.0,,,,,2629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
