年份,普通高中学校数,教育部门办普通高中学校数,其他部门办普通高中学校数,地方企业办普通高中学校数,民办普通高中学校数,城市普通高中学校数,城市教育部门办普通高中学校数,城市其他部门办普通高中学校数,城市地方企业办普通高中学校数,城市民办普通高中学校数,县镇普通高中学校数,县镇教育部门办普通高中学校数,县镇其他部门办普通高中学校数,县镇地方企业办普通高中学校数,县镇民办普通高中学校数,农村普通高中学校数,农村教育部门办普通高中学校数,农村其他部门办普通高中学校数,农村地方企业办普通高中学校数,农村民办普通高中学校数,高级中学学校数,教育部门办高级中学学校数,其他部门办高级中学学校数,地方企业办高级中学学校数,民办高级中学学校数,城市高级中学学校数,城市教育部门办高级中学学校数,城市其他部门办高级中学学校数,城市地方企业办高级中学学校数,城市民办高级中学学校数,县镇高级中学学校数,县镇教育部门办高级中学学校数,县镇其他部门办高级中学学校数,县镇地方企业办高级中学学校数,县镇民办高级中学学校数,农村高级中学学校数,农村教育部门办高级中学学校数,农村其他部门办高级中学学校数,农村地方企业办高级中学学校数,农村民办高级中学学校数,普通高中完全中学学校数,教育部门办普通高中完全中学学校数,其他部门办普通高中完全中学学校数,地方企业办普通高中完全中学学校数,民办普通高中完全中学学校数,城市普通高中完全中学学校数,城市教育部门办普通高中完全中学学校数,城市其他部门办普通高中完全中学学校数,城市地方企业办普通高中完全中学学校数,城市民办普通高中完全中学学校数,县镇普通高中完全中学学校数,县镇教育部门办普通高中完全中学学校数,县镇其他部门办普通高中完全中学学校数,县镇地方企业办普通高中完全中学学校数,县镇民办普通高中完全中学学校数,农村普通高中完全中学学校数,农村教育部门办普通高中完全中学学校数,农村其他部门办普通高中完全中学学校数,农村地方企业办普通高中完全中学学校数,农村民办普通高中完全中学学校数,十二年一贯制普通高中学校数,教育部门办十二年一贯制普通高中学校数,其他部门办十二年一贯制普通高中学校数,地方企业办十二年一贯制普通高中学校数,民办十二年一贯制普通高中学校数,城市十二年一贯制普通高中学校数,城市教育部门办十二年一贯制普通高中学校数,城市其他部门办十二年一贯制普通高中学校数,城市地方企业办十二年一贯制普通高中学校数,城市民办十二年一贯制普通高中学校数,县镇十二年一贯制普通高中学校数,县镇教育部门办十二年一贯制普通高中学校数,县镇其他部门办十二年一贯制普通高中学校数,县镇地方企业办十二年一贯制普通高中学校数,县镇民办十二年一贯制普通高中学校数,农村十二年一贯制普通高中学校数,农村教育部门办十二年一贯制普通高中学校数,农村其他部门办十二年一贯制普通高中学校数,农村地方企业办十二年一贯制普通高中学校数,农村民办十二年一贯制普通高中学校数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,14235.0,,,,3694.0,,,,,,,,,,,,,,,,7202.0,,,,1038.0,,,,,,,,,,,,,,,,5353.0,,,,1314.0,,,,,,,,,,,,,,,,1680.0,,,,1342.0,,,,,,,,,,,,,,,
2019,13964.0,,,,3427.0,,,,,,,,,,,,,,,,7003.0,,,,1124.0,,,,,,,,,,,,,,,,5392.0,,,,1068.0,,,,,,,,,,,,,,,,1569.0,,,,1235.0,,,,,,,,,,,,,,,
2018,13737.0,,,,3216.0,,,,,,,,,,,,,,,,6898.0,,,,1018.0,,,,,,,,,,,,,,,,5412.0,,,,1084.0,,,,,,,,,,,,,,,,1427.0,,,,1114.0,,,,,,,,,,,,,,,
2017,13555.0,,,,3002.0,,,,,,,,,,,,,,,,6780.0,,,,,,,,,,,,,,,,,,,,5460.0,,,,,,,,,,,,,,,,,,,,1315.0,,,,,,,,,,,,,,,,,,,
2016,13383.0,,,,2787.0,,,,,,,,,,,,,,,,6706.0,,,,869.0,,,,,,,,,,,,,,,,5479.0,,,,1008.0,,,,,,,,,,,,,,,,1198.0,,,,910.0,,,,,,,,,,,,,,,
2015,13240.0,10478.0,170.0,7.0,2585.0,6425.0,4817.0,81.0,4.0,1523.0,6147.0,5183.0,83.0,2.0,879.0,668.0,478.0,6.0,1.0,183.0,6628.0,5743.0,70.0,1.0,814.0,3074.0,2560.0,33.0,1.0,480.0,3302.0,2977.0,37.0,,288.0,252.0,206.0,,,46.0,5538.0,4504.0,57.0,2.0,975.0,2709.0,2104.0,26.0,2.0,577.0,2506.0,2145.0,27.0,,334.0,323.0,255.0,4.0,,64.0,1074.0,231.0,43.0,4.0,796.0,642.0,153.0,22.0,1.0,466.0,339.0,61.0,19.0,2.0,257.0,93.0,17.0,2.0,1.0,73.0
2014,13253.0,10624.0,177.0,10.0,2442.0,6422.0,4856.0,85.0,8.0,1473.0,6164.0,5269.0,86.0,2.0,807.0,667.0,499.0,6.0,,162.0,6619.0,5765.0,70.0,3.0,781.0,3080.0,2570.0,32.0,3.0,475.0,3286.0,2980.0,38.0,,268.0,253.0,215.0,,,38.0,5647.0,4630.0,64.0,3.0,950.0,2736.0,2134.0,31.0,3.0,568.0,2580.0,2233.0,29.0,,318.0,331.0,263.0,4.0,,64.0,987.0,229.0,43.0,4.0,711.0,606.0,152.0,22.0,2.0,430.0,298.0,56.0,19.0,2.0,221.0,83.0,21.0,2.0,,60.0
2013,13352.0,10788.0,176.0,13.0,2375.0,6348.0,4851.0,85.0,7.0,1405.0,6296.0,5404.0,85.0,6.0,801.0,708.0,533.0,6.0,,169.0,6591.0,5736.0,70.0,3.0,782.0,3026.0,2526.0,32.0,3.0,465.0,3294.0,2982.0,38.0,,274.0,271.0,228.0,,,43.0,5861.0,4834.0,65.0,6.0,956.0,2774.0,2178.0,32.0,4.0,560.0,2722.0,2369.0,30.0,2.0,321.0,365.0,287.0,3.0,,75.0,900.0,218.0,41.0,4.0,637.0,548.0,147.0,21.0,,380.0,280.0,53.0,17.0,4.0,206.0,72.0,18.0,3.0,,51.0
2012,13509.0,10948.0,175.0,15.0,2371.0,6401.0,4908.0,84.0,7.0,1402.0,6390.0,5491.0,84.0,8.0,807.0,718.0,549.0,7.0,,162.0,6547.0,5682.0,68.0,4.0,793.0,2983.0,2479.0,30.0,3.0,471.0,3284.0,2965.0,37.0,1.0,281.0,280.0,238.0,1.0,,41.0,6108.0,5039.0,72.0,8.0,989.0,2892.0,2276.0,35.0,4.0,577.0,2842.0,2467.0,34.0,4.0,337.0,374.0,296.0,3.0,,75.0,854.0,227.0,35.0,3.0,589.0,526.0,153.0,19.0,,354.0,264.0,59.0,13.0,3.0,189.0,64.0,15.0,3.0,,46.0
