年份,高等教育在校学生数,研究生在校学生数,博士在校学生数,硕士在校学生数,普通本专科在校学生数,普通本科在校学生数,普通专科在校学生数,成人本专科在校学生数,成人本科在校学生数,成人专科在校学生数,其他高等学历教育在校学生数,在职人员攻读博士、硕士学位在校学生数,网络本专科生在校学生数,网络本科在校学生数,网络专科在校学生数,中等教育在校学生数,高中阶段教育在校学生数,高中在校学生数,普通高中在校学生数,普通高中完全中学在校学生数,高级中学在校学生数,十二年一贯制普通高中在校学生数,成人高中在校学生数,中等职业教育在校学生数,普通中专在校学生数,成人中专在校学生数,职业高中在校学生数,技工学校在校学生数,初中阶段教育在校学生数,普通初中在校学生数,初级中学在校学生数,九年一贯制普通初中在校学生数,十二年一贯制普通初中在校学生数,普通初中完全中学在校学生数,职业初中在校学生数,成人初中在校学生数,初等教育在校学生数,普通小学在校学生数,小学在校学生数,九年一贯制普通小学在校学生数,十二年一贯制普通小学在校学生数,成人小学在校学生数,扫盲班在校学生数,工读学校在校学生数,特殊教育在校学生数,学前教育在校学生数
2021,,333.2,,,3496.1,,,,,,,,,,,,,,2605.0,,,,,1738.5,,,,,,,,,,,,,,10779.9,,,,,,,92.0,4805.2
2020,,313.9598,46.6549,267.3049,3285.2948,1825.746,1459.5488,777.2942,405.1025,372.1917,,,846.4464,311.1899,535.2565,9082.0113,4163.023,2499.6545,2494.4529,758.3547,1601.2155,134.8827,5.2016,1663.3685,735.4168,112.6747,419.7464,395.5306,4918.9883,,3319.6223,838.5205,158.3723,597.3572,0.217,4.899,10750.8746,10725.3532,9311.0218,1255.4065,158.9249,25.5214,13.4545,0.6012,88.08,4818.2634
2019,,286.3712,42.4182,243.953,3031.5262,1750.8204,1280.7058,668.5603,341.3174,327.2429,,,857.8345,294.161,563.6735,8832.3364,3994.9,2418.4287,2414.305,733.5411,1560.8338,119.9301,4.1237,1576.4713,703.5872,106.8475,405.7316,360.305,4837.4364,,3300.769,789.3721,144.7591,591.7913,0.4447,10.3002,10603.4691,10561.2358,9225.8887,1191.9389,143.4082,42.2333,16.864,0.6488,79.4612,4713.881
2018,,273.1257,38.9518,234.1739,2831.0,1697.3343,1133.7005,590.9878,297.1134,293.8744,,,825.6553,282.5757,543.0796,8602.7102,3934.6687,2379.4053,2375.4,724.6165,1544.9469,105.8075,4.0344,1555.2634,699.4205,113.125,401.0825,341.6,4668.0415,,3224.9484,725.6642,126.2258,575.542,0.21,15.4561,10412.5004,10339.3,9098.6857,1114.0679,126.5005,73.2463,22.9141,0.6818,66.6,4656.4
2017,,263.9561,36.1997,227.7564,2753.6,1648.632,1105.0,544.1429,258.9809,285.162,,,735.9267,258.7338,477.1929,8425.7502,3970.9871,2378.4903,2374.5,732.2134,1547.273,95.062,3.9419,1592.5,712.9894,127.2446,414.0553,338.2,4454.7631,,3121.5383,658.5126,107.5624,554.1759,0.27,12.7001,10169.1216,10093.7,8946.0245,1038.4335,109.24,75.4236,30.4043,0.6048,57.9,4600.1
2016,,198.1051,34.2027,163.9024,2695.8,1612.9535,1082.9,584.3883,268.6619,315.7264,,,644.9329,233.927,411.0059,8327.4403,3970.0588,2371.0461,2366.6,734.1339,1546.9418,85.5708,4.3996,1599.0,718.1209,141.168,416.5715,323.2,4357.3815,,3088.2372,601.1849,94.3819,545.191,0.4,28.0131,9996.2809,9913.0,8846.8544,970.369,95.7892,83.2683,33.4201,0.7181,49.2,4413.9
2015,,191.1406,32.6687,158.4719,2625.3,1576.6848,1048.6,635.9352,279.3354,356.5998,,,628.4671,229.4807,398.9864,8383.3441,4037.6929,2380.9905,2374.4,742.3958,1555.8531,76.1503,6.5913,1656.7,732.7076,162.6741,439.8597,321.5,4345.6512,,3103.3176,569.6085,82.706,555.8098,0.5,33.7012,9786.9989,9692.2,8693.1676,913.2151,85.8004,94.8158,47.4805,0.792,44.2,4264.8
2014,,184.7689,31.2676,153.5013,2547.7,1541.0653,1006.6,653.1212,279.7917,373.3295,,59.6086,631.4472,228.701,402.7462,8601.5438,4170.651,2415.3687,2400.5,757.6658,1573.5711,69.2354,14.8964,1755.3,749.1366,194.3596,472.8165,339.0,4430.8928,,3172.0045,552.443,75.5092,583.9005,0.8,46.2631,9567.4926,9451.1,8526.0959,848.5902,76.379,116.4275,45.5524,0.8494,39.5,4050.7
2013,,179.3953,29.8283,149.567,2468.1,1494.4353,973.6,626.4145,265.4596,360.9549,,55.873,614.6406,217.51,397.1306,8858.2754,4369.9228,2446.9522,2435.9,791.4286,1581.4322,63.0209,11.0705,1923.0,772.1842,229.9806,534.2194,386.6,4488.3526,,3234.0393,525.6281,66.6538,612.752,1.1,48.2278,9484.805,9360.5,8499.8824,792.0436,68.6227,124.2563,61.9228,0.9307,36.8,3894.7
2012,,171.9818,28.381,143.6008,2391.3,1427.0888,964.2,583.1123,247.5495,335.5628,,48.9857,570.4112,200.2698,370.1414,9421.4196,4595.2782,2481.5911,2467.2,827.8864,1578.81,60.4748,14.4199,2113.7,812.5608,254.2747,623.0465,422.8,4826.1414,4763.0607,3503.2212,540.2756,63.3749,654.3086,1.9,63.0807,9860.2286,9695.9,8852.7616,777.8434,65.2935,164.3301,68.9067,1.064,37.9,3685.8
2011,,164.5845,27.1261,137.4584,2308.5,1349.6577,958.9,547.4962,233.6132,313.883,,46.1693,492.4833,175.476,317.0073,9807.854,4686.606,2481.276,2454.8,839.1776,1559.1233,56.5218,26.4533,2205.3,855.2071,238.7275,680.9722,429.4,5121.248,5064.2058,3769.7057,551.3859,58.6326,684.4816,2.6,54.4456,10094.2847,9926.4,9111.5452,756.5579,58.2643,167.9173,74.889,0.8976,39.9,3424.5
2010,,153.8416,25.895,127.9466,2231.8,1265.6132,966.2,536.0388,225.0457,310.9931,,42.0294,453.1443,164.0403,289.104,10019.6629,4677.3297,2438.8321,2427.3,,,,11.497,2238.5,877.7141,212.3974,726.3332,421.0,5342.3332,5275.9127,,,,,3.4,63.0032,10135.3616,9940.7,,,,194.6573,108.0807,1.0735,42.6,2976.7
2009,,140.4942,24.6319,115.8623,2144.7,1179.8511,964.8,541.3513,225.6662,315.6851,,39.4331,417.2721,157.2642,260.0079,10130.6413,4640.9122,2445.7459,2434.3,,,,11.4676,2195.2,840.4291,160.9942,778.424,414.3,5489.7291,5433.642,,,,,7.3,48.7876,10282.286,10071.5,,,,210.8199,114.855,0.9213,42.8,2657.8
