年份,高等教育毕业生数,研究生毕业生数,博士毕业生数,硕士毕业生数,普通本专科毕业生数,普通本科毕业生数,普通专科毕业生数,成人本专科毕业生数,成人本科毕业生数,成人专科毕业生数,其他高等学历教育毕业生数,在职人员攻读博士、硕士学位毕业生数,网络本专科生毕业生数,网络本科毕业生数,网络专科毕业生数,中等教育毕业生数,高中阶段教育毕业生数,高中毕业生数,普通高中毕业生数,普通高中完全中学毕业生数,高级中学毕业生数,十二年一贯制普通高中毕业生数,成人高中毕业生数,中等职业教育毕业生数,普通中专毕业生数,成人中专毕业生数,职业高中毕业生数,技工学校毕业生数,初中阶段教育毕业生数,普通初中毕业生数,初级中学毕业生数,九年一贯制普通初中毕业生数,十二年一贯制普通初中毕业生数,普通初中完全中学毕业生数,职业初中毕业生数,成人初中毕业生数,初等教育毕业生数,普通小学毕业生数,小学毕业生数,九年一贯制普通小学毕业生数,十二年一贯制普通小学毕业生数,成人小学毕业生数,扫盲班毕业生数,工读学校毕业生数,特殊教育毕业生数,学前教育毕业生数
2021,,77.3,,,826.5,,,,,,,,,,,,,,780.2,,,,,484.1,,,,,,,,,,,,,,1718.0,,,,,,,14.6,
2020,,72.8627,6.6176,66.2451,797.1991,420.5097,376.6894,246.9562,122.6385,124.3177,,,272.2497,86.612,185.6377,2815.9684,1275.3535,790.4823,786.5315,240.2204,509.5039,36.8072,3.9508,484.8712,216.231,43.0267,124.2065,101.407,1540.6149,,1063.0682,241.7894,45.6211,184.7224,0.0907,5.3231,1665.3674,1640.3201,1419.0719,195.5019,25.7463,25.0473,12.2869,0.4031,12.1411,1779.4338
2019,,63.9666,6.2578,57.7088,758.5298,394.7157,363.8141,213.1369,101.6733,111.4636,,,232.3128,80.1508,152.162,2750.9216,1286.1417,792.6743,789.2494,240.9074,515.0544,33.2876,3.4249,493.4674,219.9648,48.1851,126.8928,98.4247,1464.7799,,1018.6259,217.5281,38.7692,179.1018,0.0686,10.6863,1693.0561,1647.9006,1435.4811,189.2686,23.1509,45.1555,16.0851,0.3449,9.7587,1765.1692
2018,,60.4368,6.0724,54.3644,753.3,386.8358,366.4729,217.7408,99.5851,118.1557,,,194.9189,68.1915,126.7274,2653.2791,1270.1215,782.8452,779.2,238.809,511.55,28.8853,3.6009,487.2763,218.585,51.0987,127.2933,90.3,1383.1576,,968.2552,196.6137,32.7926,170.016,0.1,15.389,1688.8395,1616.5,1416.8663,179.8155,19.8109,72.3468,21.0127,0.2716,8.1,1790.6
2017,,57.8045,5.8032,52.0013,735.8,384.1839,351.6,247.037,109.1226,137.9144,,,177.7905,65.9559,111.8346,2686.6428,1276.5032,779.6262,775.7,237.2222,512.5357,25.9713,3.897,496.9,216.9933,60.4125,128.9923,90.5,1410.1396,,997.8057,191.605,30.7082,177.2477,0.1,12.6697,1650.4019,1565.9,1384.3045,164.535,17.0604,84.502,28.2673,0.3311,6.9,1652.7
2016,,56.3938,5.5011,50.8927,704.2,374.368,329.8,244.465,102.1846,142.2804,,,187.4787,70.0906,117.3881,2785.6325,1330.6142,796.9902,792.4,244.07,524.7743,23.5057,4.6402,533.6,229.0235,69.6629,141.8708,93.1,1455.0183,,1026.0439,183.9773,28.0519,185.6446,0.2,31.1504,1593.2974,1507.4,1339.0494,152.7985,15.5987,85.8508,33.115,0.3298,5.9,1623.2
2015,,55.1522,5.3778,49.7744,680.9,358.594,322.3,236.2593,96.2495,140.0098,,,179.9757,64.9086,115.0671,2825.9773,1371.7336,803.8503,797.7,247.4229,528.0238,22.2068,6.1968,567.9,236.7455,80.5105,156.0094,94.6,1454.2437,,1029.3001,175.4445,24.761,187.8861,0.2,36.6496,1533.1734,1437.3,1283.3772,140.6554,13.2191,95.9217,44.7541,0.4141,5.3,1590.3
2014,,53.5863,5.3653,48.221,659.4,341.3787,318.0,221.2329,89.905,131.3279,,,166.1306,58.6272,107.5034,2892.8894,1434.9208,811.9745,799.6,251.4209,528.1303,20.0677,12.3556,622.9,247.7321,90.047,178.3728,106.8,1457.9686,,1029.618,168.1372,21.9881,193.4473,0.3,44.4559,1588.2235,1476.6,1326.5761,137.6765,12.3754,111.5955,44.1537,0.3,4.9,1527.2
2013,,51.3626,5.3139,46.0487,638.7,319.9716,318.7,199.7729,81.1159,118.657,,,156.0762,53.6702,102.406,3088.754,1483.8197,809.3801,799.0,255.1466,524.2878,19.5445,10.4012,674.4,265.2082,87.8323,204.5182,116.9,1604.9343,,1155.9429,176.0777,20.645,208.1587,0.7,43.3891,1698.8501,1581.1,1431.5683,137.2707,12.2193,117.7918,50.5877,0.3596,5.1,1491.7
2012,,48.6455,5.1713,43.4742,624.7,303.8473,320.9,195.4357,80.1015,115.3342,,,136.087,47.7949,88.2921,3202.0579,1478.0256,803.131,791.5,261.3879,511.9686,18.1481,11.6264,674.6,265.3135,71.6307,217.4398,120.2,1724.0323,1660.7751,1238.2897,180.1127,19.7499,221.6885,0.9,63.2572,1800.7271,1641.6,1490.2844,139.808,11.4641,159.1706,58.5749,0.3653,4.9,1433.6
