年份,普通小学毕业生数,教育部门办普通小学毕业生数,其他部门办普通小学毕业生数,地方企业办普通小学毕业生数,民办普通小学毕业生数,城市普通小学毕业生数,城市教育部门办普通小学毕业生数,城市其他部门办普通小学毕业生数,城市地方企业办普通小学毕业生数,城市民办普通小学毕业生数,县镇普通小学毕业生数,县镇教育部门办普通小学毕业生数,县镇其他部门办普通小学毕业生数,县镇地方企业办普通小学毕业生数,县镇民办普通小学毕业生数,农村普通小学毕业生数,农村教育部门办普通小学毕业生数,农村其他部门办普通小学毕业生数,农村地方企业办普通小学毕业生数,农村民办普通小学毕业生数
2021,1718.0,,,,,,,,,,,,,,,,,,,
2020,1640.3201,,,,156.5518,,,,,,,,,,,,,,,
2019,1647.9006,,,,149.8354,,,,,,,,,,,,,,,
2018,1616.5,,,,66.8608,,,,,,,,,,,,,,,
2017,1565.9,,,,126.7129,,,,,,,,,,,,,,,
2016,1507.4,,,,119.259,,,,,,,,,,,,,,,
2015,1437.3,,,,110.1053,,,,,,,,,,,,,,,
2014,1476.6,,,,104.5563,,,,,,,,,,,,,,,
2013,1581.1,1471.1594,8.6551,0.4147,100.8291,443.9115,390.8306,2.6053,0.1684,50.3072,576.8325,535.1738,5.0341,0.2019,36.4227,560.3143,545.155,1.0157,0.0444,14.0992
2012,1641.6,1533.4152,10.7023,0.5676,96.8714,440.2989,388.501,2.7606,0.1959,48.8414,577.0092,535.9849,6.6944,0.3197,34.0102,624.2484,608.9293,1.2473,0.052,14.0198
2011,1662.8,1562.9604,10.3839,0.9178,88.5433,421.9876,373.3466,3.548,0.2584,44.8346,559.6606,523.5505,5.5232,0.5395,30.0474,681.1572,666.0633,1.3127,0.1199,13.6613
2010,1739.6,1642.0921,11.1156,,86.4287,304.4307,269.1909,3.0485,,32.1913,492.4676,458.7999,1.7721,,31.8956,942.7381,914.1013,6.295,,22.3418
2009,1805.2,1710.8113,12.2891,,82.0993,303.7241,268.2389,3.5831,,31.9021,483.6902,452.0051,2.0713,,29.6138,1017.7854,990.5673,6.6347,,20.5834
2008,1865.0,1771.1208,16.916,,76.9144,308.1633,272.5614,4.8354,,30.7665,480.704,451.9001,2.5334,,26.2705,1076.0839,1046.6593,9.5472,,19.8774
2007,1870.2,1778.6905,22.5144,,68.9659,296.7205,261.5711,7.7845,,27.3649,462.7,435.9081,3.8302,,22.9617,1110.7503,1081.2113,10.8997,,18.6393
2006,1928.5,1834.8345,29.3372,,64.3121,276.6402,241.2547,12.4216,,22.9639,436.2883,411.8062,4.8111,,19.671,1215.5553,1181.7736,12.1045,,21.6772
2005,2019.5,1923.9852,40.1383,,55.3533,291.9645,250.9202,20.1733,,20.871,396.4944,376.248,5.9731,,14.2733,1331.0179,1296.817,13.9919,,20.209
2004,2135.2,2041.6787,50.0698,,43.4241,302.8051,257.0562,28.1462,,17.6027,376.2044,358.9434,6.5119,,10.7491,1456.1631,1425.6786,15.4117,,15.0728
2003,2267.9,,,,,317.9926,,,,,426.5248,,,,,1523.3683,,,,
2002,2351.9,,,,,325.0742,,,,,450.1415,,,,,1576.7083,,,,
2001,2396.9,,,,,325.4837,,,,,449.0348,,,,,1622.3781,,,,
2000,2419.2,,,,,347.8149,,,,,503.7549,,,,,1567.6075,,,,
