年份,普通小学学校数,教育部门办普通小学学校数,其他部门办普通小学学校数,地方企业办普通小学学校数,民办普通小学学校数,城市普通小学学校数,城市教育部门办普通小学学校数,城市其他部门办普通小学学校数,城市地方企业办普通小学学校数,城市民办普通小学学校数,县镇普通小学学校数,县镇教育部门办普通小学学校数,县镇其他部门办普通小学学校数,县镇地方企业办普通小学学校数,县镇民办普通小学学校数,农村普通小学学校数,农村教育部门办普通小学学校数,农村其他部门办普通小学学校数,农村地方企业办普通小学学校数,农村民办普通小学学校数
2021,,,,,,,,,,,,,,,,,,,,
2020,157979.0,,,,6187.0,,,,,,,,,,,,,,,
2019,160148.0,,,,6228.0,,,,,,,,,,,,,,,
2018,161811.0,,,,6179.0,,,,,,,,,,,,,,,
2017,167009.0,,,,6107.0,,,,,,,,,,,,,,,
2016,177633.0,,,,5975.0,,,,,,,,,,,,,,,
2015,190525.0,,,,5859.0,,,,,,,,,,,,,,,
2014,201377.0,,,,5681.0,,,,,,,,,,,,,,,
2013,213529.0,207614.0,468.0,40.0,5407.0,26049.0,23930.0,158.0,14.0,1947.0,47152.0,45125.0,193.0,13.0,1821.0,140328.0,138559.0,117.0,13.0,1639.0
2012,228585.0,222741.0,579.0,52.0,5213.0,26146.0,24007.0,166.0,16.0,1957.0,47431.0,45474.0,238.0,21.0,1698.0,155008.0,153260.0,175.0,15.0,1558.0
2011,241249.0,235269.0,717.0,77.0,5186.0,26227.0,24027.0,217.0,20.0,1963.0,45977.0,44089.0,258.0,37.0,1593.0,169045.0,167153.0,242.0,20.0,1630.0
2010,257410.0,251423.0,636.0,,5351.0,16400.0,14769.0,164.0,,1467.0,30116.0,28506.0,131.0,,1479.0,210894.0,208148.0,341.0,,2405.0
2009,280184.0,273919.0,769.0,,5496.0,16363.0,14584.0,200.0,,1579.0,29664.0,27975.0,167.0,,1522.0,234157.0,231360.0,402.0,,2395.0
2008,300854.0,293732.0,1362.0,,5760.0,17339.0,15372.0,288.0,,1679.0,30466.0,28812.0,232.0,,1430.0,253041.0,249548.0,842.0,,2651.0
2007,320061.0,312530.0,1733.0,,5798.0,17535.0,15407.0,425.0,,1703.0,30942.0,29251.0,319.0,,1372.0,271584.0,267872.0,989.0,,2723.0
2006,341639.0,333058.0,2420.0,,6161.0,16999.0,14571.0,734.0,,1694.0,29588.0,27849.0,404.0,,1335.0,295052.0,290638.0,1282.0,,3132.0
2005,366213.0,356528.0,3443.0,,6242.0,20372.0,17334.0,1232.0,,1806.0,29050.0,27299.0,540.0,,1211.0,316791.0,311895.0,1671.0,,3225.0
2004,394183.0,383622.0,4514.0,,6047.0,23445.0,19833.0,1861.0,,1751.0,33420.0,31599.0,684.0,,1137.0,337318.0,332190.0,1969.0,,3159.0
2003,425846.0,,,,,25473.0,,,,,40007.0,,,,,360366.0,,,,
2002,456903.0,,,,,25950.0,,,,,46949.0,,,,,384004.0,,,,
2001,491273.0,,,,,26311.0,,,,,48764.0,,,,,416198.0,,,,
2000,553622.0,,,,,32154.0,,,,,81184.0,,,,,440284.0,,,,
