年份,普通小学在校学生数,教育部门办普通小学在校学生数,其他部门办普通小学在校学生数,地方企业办普通小学在校学生数,民办普通小学在校学生数,城市普通小学在校学生数,城市教育部门办普通小学在校学生数,城市其他部门办普通小学在校学生数,城市地方企业办普通小学在校学生数,城市民办普通小学在校学生数,县镇普通小学在校学生数,县镇教育部门办普通小学在校学生数,县镇其他部门办普通小学在校学生数,县镇地方企业办普通小学在校学生数,县镇民办普通小学在校学生数,农村普通小学在校学生数,农村教育部门办普通小学在校学生数,农村其他部门办普通小学在校学生数,农村地方企业办普通小学在校学生数,农村民办普通小学在校学生数
2021,10779.9,,,,,,,,,,,,,,,,,,,
2020,10725.3532,,,,966.0348,,,,,,,,,,,,,,,
2019,10561.2358,,,,944.9051,,,,,,,,,,,,,,,
2018,10339.3,,,,432.5633,,,,,,,,,,,,,,,
2017,10093.7,,,,814.172,,,,,,,,,,,,,,,
2016,9913.0,,,,756.3291,,,,,,,,,,,,,,,
2015,9692.2,,,,713.8225,,,,,,,,,,,,,,,
2014,9451.1,,,,674.1425,,,,,,,,,,,,,,,
2013,9360.5,8686.1496,43.3095,2.4881,628.6015,2772.9719,2424.913,13.6108,1.0692,333.3789,3370.5362,3140.452,24.2794,1.19,204.6148,3217.0406,3120.7846,5.4193,0.2289,90.6078
2012,9695.9,9043.4874,51.5377,3.0199,597.8535,2688.4287,2359.2976,14.1429,1.1011,313.8871,3354.9812,3128.6429,30.5982,1.6408,194.0993,3652.4886,3555.5469,6.7966,0.278,89.8671
2011,9926.4,9296.4233,57.1292,4.9894,567.8255,2606.9589,2288.7298,19.4833,1.4151,297.3307,3254.2101,3042.1434,29.8544,2.9508,179.2615,4065.1984,3965.5501,7.7915,0.6235,91.2333
2010,9940.7,9346.2251,56.8537,,537.6255,1820.4675,1598.6038,16.1749,,205.6888,2770.017,2571.3044,8.5677,,190.1449,5350.2198,5176.3169,32.1111,,141.7918
2009,10071.5,9503.3065,65.283,,502.8766,1778.7684,1558.2143,19.1307,,201.4234,2637.1538,2450.9918,10.7323,,175.4297,5655.5439,5494.1004,35.42,,126.0235
2008,10331.5,9763.5808,87.5299,,480.4015,1804.3818,1578.9483,26.0342,,199.3993,2602.2475,2429.0196,13.4013,,159.8266,5924.8829,5755.6129,48.0944,,121.1756
2007,10564.0,9995.5442,119.667,,448.7915,1761.0813,1533.1935,42.0891,,185.7987,2552.1904,2386.7011,20.5897,,144.8996,6250.731,6075.6496,56.9882,,118.0932
2006,10711.5,10138.0996,161.3443,,412.0907,1603.5689,1371.2383,69.5898,,162.7408,2431.8225,2291.5072,26.0374,,114.2779,6676.1432,6475.3541,65.7171,,135.072
2005,10864.1,10251.9069,223.2182,,388.9404,1730.3773,1460.5376,112.7835,,157.0562,2185.8606,2056.352,32.6373,,96.8713,6947.8276,6735.0173,77.7974,,135.0129
2004,11246.2,10629.5624,288.3419,,328.3213,1831.4007,1524.8552,165.545,,141.0005,2036.2265,1925.8956,37.691,,72.6399,7378.5984,7178.8116,85.1059,,114.6809
2003,11689.7,,,,,1807.6855,,,,,2192.9021,,,,,7689.1519,,,,
2002,12156.7,,,,,1721.2547,,,,,2293.7748,,,,,8141.6791,,,,
2001,12543.5,,,,,1680.8781,,,,,2257.7859,,,,,8604.8027,,,,
2000,13013.3,,,,,1816.6507,,,,,2692.8904,,,,,8503.7137,,,,
