年份,职业技术培训机构教职工数,职工技术培训学校(机构)教职工数,教育部门和集体办职工技术培训学校(机构)教职工数,其他部门办职工技术培训学校(机构)教职工数,民办职工技术培训学校(机构)教职工数,农村成人文化技术培训学校(机构)教职工数,教育部门和集体办农村成人文化技术培训学校(机构)教职工数,县办农村成人文化技术培训学校(机构)教职工数,乡办农村成人文化技术培训学校(机构)教职工数,村办农村成人文化技术培训学校(机构)教职工数,其他部门办农村成人文化技术培训学校(机构)教职工数,民办农村成人文化技术培训学校(机构)教职工数,其他培训机构(含社会培训机构)教职工数,教育部门和集体办其他培训机构(含社会培训机构)教职工数,其他部门办其他培训机构(含社会培训机构)教职工数,民办其他培训机构(含社会培训机构)教职工数
2021,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,
2013,48.2211,6.2083,3.9387,1.2464,1.0232,16.7308,15.6599,2.0098,5.8825,7.7676,0.6083,0.4626,25.282,1.2943,2.5198,21.4679
2012,50.6609,5.9974,4.0213,1.2286,0.7475,17.0322,16.1422,1.7208,6.0357,8.3857,0.4139,0.4761,27.6313,1.5414,2.6878,23.4021
2011,52.1758,6.747,4.582,1.2473,0.9177,18.8523,18.0779,1.7877,6.7599,9.5303,0.3432,0.4312,26.5765,1.0872,1.7557,23.7336
2010,47.3108,4.6924,2.691,1.2131,0.7883,19.016,18.3029,1.6173,7.0711,9.6145,0.4907,0.2224,23.6024,1.1352,1.642,20.8252
2009,49.5885,4.5879,2.4351,1.2793,0.8735,21.2637,20.4197,1.5768,6.8515,11.9914,0.5258,0.3182,23.7369,1.5544,1.3146,20.8679
2008,49.5848,4.4962,2.464,1.1383,0.8939,21.8263,21.0189,1.4314,7.176,12.4115,0.4452,0.3622,23.2623,1.4286,1.9321,19.9016
2007,52.8002,6.5474,4.0432,1.342,1.1622,22.3665,21.4201,1.1562,7.294,12.9699,0.6162,0.3302,23.8863,1.2526,1.3648,21.2689
2006,50.7008,4.2573,1.9251,1.0824,1.2498,23.2579,22.488,1.1789,7.3077,14.0014,0.4098,0.3601,23.1856,1.2295,1.8925,20.0636
2005,52.624,5.0589,2.8377,0.9644,1.2568,25.0694,23.2963,1.0699,7.6068,14.6196,0.6397,1.1334,22.4957,1.491,1.1518,19.8529
2004,51.4534,3.4699,1.7116,1.2161,0.5422,27.0515,26.0128,1.179,8.5514,16.2824,0.6979,0.3408,20.932,1.3954,2.13,17.4066
2003,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
