年份,初中毕业生数,教育部门办初中毕业生数,其他部门办初中毕业生数,地方企业办初中毕业生数,民办初中毕业生数,城市初中毕业生数,城市教育部门办初中毕业生数,城市其他部门办初中毕业生数,城市地方企业办初中毕业生数,城市民办初中毕业生数,县镇初中毕业生数,县镇教育部门办初中毕业生数,县镇其他部门办初中毕业生数,县镇地方企业办初中毕业生数,县镇民办初中毕业生数,农村初中毕业生数,农村教育部门办初中毕业生数,农村其他部门办初中毕业生数,农村地方企业办初中毕业生数,农村民办初中毕业生数
2021,1587.1,,,,,,,,,,,,,,,,,,,
2020,1535.2918,,,,207.9337,,,,,,,,,,,,,,,
2019,1454.0936,,,,189.4224,,,,,,,,,,,,,,,
2018,1367.8,,,,171.4188,,,,,,,,,,,,,,,
2017,1397.5,,,,,,,,,,,,,,,,,,,
2016,1423.9,,,,160.574,,,,,,,,,,,,,,,
2015,1417.6,,,,,,,,,,,,,,,,,,,
2014,1413.5,,,,,,,,,,,,,,,,,,,
2013,1561.5,1411.9204,10.59,0.5431,138.4917,459.0441,387.0973,3.3584,0.2526,68.3358,788.5935,723.3829,6.349,0.2714,58.5902,313.9076,301.4402,0.8826,0.0191,11.5657
2012,1660.8,1515.0099,10.9617,0.6053,134.1982,461.8755,392.4881,3.231,0.257,65.8994,834.9423,771.0895,6.69,0.3289,56.8339,363.9573,351.4323,1.0407,0.0194,11.4649
2011,1736.7,1593.1572,11.2902,1.0431,131.1881,464.0192,395.7574,3.9826,0.3763,63.9029,855.313,794.0281,6.4038,0.6178,54.2633,417.3464,403.3717,0.9038,0.049,13.0219
2010,1750.4,,,,,,,,,,,,,,,,,,,
2009,1797.7,,,,,,,,,,,,,,,,,,,
2008,1868.0,,,,,,,,,,,,,,,,,,,
2007,1963.7,,,,,,,,,,,,,,,,,,,
2006,2071.6,,,,,,,,,,,,,,,,,,,
2005,2123.4,,,,,,,,,,,,,,,,,,,
2004,2087.3,,,,,,,,,,,,,,,,,,,
2003,2018.5,,,,,,,,,,,,,,,,,,,
2002,1903.7,,,,,,,,,,,,,,,,,,,
2001,1731.5,,,,,,,,,,,,,,,,,,,
2000,1633.5,,,,,,,,,,,,,,,,,,,
