年份,普通初中学校数,教育部门办普通初中学校数,其他部门办普通初中学校数,地方企业办普通初中学校数,民办普通初中学校数,城市普通初中学校数,城市教育部门办普通初中学校数,城市其他部门办普通初中学校数,城市地方企业办普通初中学校数,城市民办普通初中学校数,县镇普通初中学校数,县镇教育部门办普通初中学校数,县镇其他部门办普通初中学校数,县镇地方企业办普通初中学校数,县镇民办普通初中学校数,农村普通初中学校数,农村教育部门办普通初中学校数,农村其他部门办普通初中学校数,农村地方企业办普通初中学校数,农村民办普通初中学校数,初级中学学校数,教育部门办初级中学学校数,其他部门办初级中学学校数,地方企业办初级中学学校数,民办初级中学学校数,城市初级中学学校数,城市教育部门办初级中学学校数,城市其他部门办初级中学学校数,城市地方企业办初级中学学校数,城市民办初级中学学校数,县镇初级中学学校数,县镇教育部门办初级中学学校数,县镇其他部门办初级中学学校数,县镇地方企业办初级中学学校数,县镇民办初级中学学校数,农村初级中学学校数,农村教育部门办初级中学学校数,农村其他部门办初级中学学校数,农村地方企业办初级中学学校数,农村民办初级中学学校数,九年一贯制普通初中学校数,教育部门办九年一贯制普通初中学校数,其他部门办九年一贯制普通初中学校数,地方企业办九年一贯制普通初中学校数,民办九年一贯制普通初中学校数,城市九年一贯制普通初中学校数,城市教育部门办九年一贯制普通初中学校数,城市其他部门办九年一贯制普通初中学校数,城市地方企业办九年一贯制普通初中学校数,城市民办九年一贯制普通初中学校数,县镇九年一贯制普通初中学校数,县镇教育部门办九年一贯制普通初中学校数,县镇其他部门办九年一贯制普通初中学校数,县镇地方企业办九年一贯制普通初中学校数,县镇民办九年一贯制普通初中学校数,农村九年一贯制普通初中学校数,农村教育部门办九年一贯制普通初中学校数,农村其他部门办九年一贯制普通初中学校数,农村地方企业办九年一贯制普通初中学校数,农村民办九年一贯制普通初中学校数
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,34895.0,,,,1296.0,,,,,,,,,,,,,,,,17900.0,,,,4743.0,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,35038.0,,,,1300.0,,,,,,,,,,,,,,,,17366.0,,,,4491.0,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,35275.0,,,,1279.0,,,,,,,,,,,,,,,,16696.0,,,,4181.0,,,,,,,,,,,,,,,
2017,,,,,5276.0,,,,,,,,,,,,,,,,35696.0,,,,,,,,,,,,,,,,,,,,16183.0,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,36471.0,,,,1316.0,,,,,,,,,,,,,,,,15631.0,,,,3768.0,,,,,,,,,,,,,,,
2015,,,,,4875.0,,,,,,,,,,,,,,,,37217.0,,,,,,,,,,,,,,,,,,,,15166.0,,,,,,,,,,,,,,,,,,,
2014,,,,,4743.0,,,,,,,,,,,,,,,,37958.0,,,,,,,,,,,,,,,,,,,,14639.0,,,,,,,,,,,,,,,,,,,
2013,52764.0,47654.0,551.0,24.0,4535.0,11120.0,8840.0,143.0,11.0,2126.0,23174.0,21129.0,342.0,10.0,1693.0,18470.0,17685.0,66.0,3.0,716.0,38747.0,37181.0,187.0,5.0,1374.0,7533.0,6860.0,71.0,2.0,600.0,18437.0,17784.0,555.0,96.0,2.0,12777.0,12537.0,20.0,1.0,219.0,14017.0,10473.0,364.0,19.0,3161.0,3587.0,1980.0,72.0,9.0,1526.0,4737.0,3345.0,246.0,8.0,1138.0,5693.0,5148.0,46.0,2.0,497.0
2012,53167.0,48251.0,555.0,28.0,4333.0,10928.0,8758.0,131.0,10.0,2029.0,22850.0,20884.0,343.0,14.0,1609.0,19389.0,18609.0,81.0,4.0,695.0,39592.0,37980.0,192.0,8.0,1412.0,7476.0,6826.0,66.0,3.0,581.0,18403.0,17708.0,591.0,100.0,4.0,13713.0,13446.0,26.0,1.0,240.0,13575.0,10271.0,363.0,20.0,2921.0,3452.0,1932.0,65.0,7.0,1448.0,4447.0,3176.0,243.0,10.0,1018.0,5676.0,5163.0,55.0,3.0,455.0
2011,54063.0,49173.0,566.0,42.0,4282.0,10754.0,8625.0,162.0,12.0,1955.0,22335.0,20419.0,327.0,22.0,1567.0,20974.0,20129.0,77.0,8.0,760.0,40759.0,39052.0,218.0,17.0,1472.0,7433.0,6772.0,77.0,3.0,581.0,18214.0,17498.0,593.0,111.0,12.0,15112.0,14782.0,30.0,2.0,298.0,13304.0,10121.0,348.0,25.0,2810.0,3321.0,1853.0,85.0,9.0,1374.0,4121.0,2921.0,216.0,10.0,974.0,5862.0,5347.0,47.0,6.0,462.0
2010,54823.0,50011.0,553.0,,4259.0,7279.0,5709.0,127.0,,1443.0,18874.0,17163.0,86.0,,1625.0,28670.0,27139.0,340.0,,1191.0,42121.0,40236.0,209.0,,1676.0,5010.0,4434.0,53.0,,523.0,15800.0,15071.0,675.0,54.0,,21311.0,20731.0,102.0,,478.0,12702.0,9775.0,344.0,,2583.0,2269.0,1275.0,74.0,,920.0,3074.0,2092.0,32.0,,950.0,7359.0,6408.0,238.0,,713.0
2009,56167.0,51199.0,637.0,,4331.0,7336.0,5642.0,170.0,,1524.0,18653.0,16967.0,101.0,,1585.0,30178.0,28590.0,366.0,,1222.0,43744.0,41623.0,271.0,,1850.0,5034.0,4383.0,72.0,,579.0,15789.0,15000.0,714.0,75.0,,22921.0,22240.0,124.0,,557.0,12423.0,9576.0,366.0,,2481.0,2302.0,1259.0,98.0,,945.0,2864.0,1967.0,26.0,,871.0,7257.0,6350.0,242.0,,665.0
