年份,职业初中学校数,教育部门办职业初中学校数,其他部门办职业初中学校数,民办职业初中学校数,城市职业初中学校数,城市教育部门办职业初中学校数,城市其他部门办职业初中学校数,城市民办职业初中学校数,县镇职业初中学校数,县镇教育部门办职业初中学校数,县镇其他部门办职业初中学校数,县镇民办职业初中学校数,农村职业初中学校数,农村教育部门办职业初中学校数,农村其他部门办职业初中学校数,农村民办职业初中学校数
2021,,,,,,,,,,,,,,,,
2020,10.0,,,2.0,,,,,,,,,,,,
2019,11.0,,,2.0,,,,,,,,,,,,
2018,11.0,,,2.0,,,,,,,,,,,,
2017,15.0,,,,,,,,,,,,,,,
2016,16.0,,,1.0,,,,,,,,,,,,
2015,22.0,,,,,,,,,,,,,,,
2014,26.0,,,,,,,,,,,,,,,
2013,40.0,39.0,1.0,,4.0,3.0,1.0,,21.0,21.0,,,15.0,15.0,,
2012,49.0,48.0,1.0,,4.0,3.0,1.0,,26.0,26.0,,,19.0,19.0,,
2011,54.0,53.0,1.0,,4.0,3.0,1.0,,27.0,27.0,,,23.0,23.0,,
2010,67.0,66.0,1.0,,4.0,3.0,1.0,,26.0,26.0,,,37.0,37.0,,
2009,153.0,146.0,3.0,4.0,11.0,10.0,1.0,,56.0,54.0,1.0,1.0,86.0,82.0,1.0,3.0
2008,213.0,201.0,5.0,7.0,10.0,9.0,1.0,,76.0,71.0,2.0,3.0,127.0,121.0,2.0,4.0
2007,275.0,265.0,4.0,6.0,13.0,11.0,1.0,1.0,85.0,80.0,2.0,3.0,177.0,174.0,1.0,2.0
2006,335.0,322.0,2.0,11.0,16.0,14.0,1.0,1.0,97.0,93.0,,4.0,222.0,215.0,1.0,6.0
2005,601.0,575.0,1.0,25.0,26.0,18.0,1.0,7.0,144.0,136.0,,8.0,431.0,421.0,,10.0
2004,697.0,669.0,4.0,24.0,28.0,18.0,3.0,7.0,168.0,161.0,1.0,6.0,501.0,490.0,,11.0
2003,1019.0,,,,,,,,,,,,,,,
2002,984.0,,,,,,,,,,,,,,,
2001,1065.0,,,,,,,,,,,,,,,
2000,1194.0,,,,,,,,,,,,,,,
